10.07.17/3:14 PM SW ver:OXY10v3_33
Header Ch-4
Description: WWE2-32
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 99855
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
10.07.17;3:14:21 PM;0.00;94.020;26.250;31411.000;32.000
10.07.17;3:14:30 PM;0.14;94.160;26.240;31397.000;32.000
10.07.17;3:14:45 PM;0.39;93.990;26.260;31403.000;32.000
10.07.17;3:15:00 PM;0.64;96.200;26.020;31434.000;32.000
10.07.17;3:15:15 PM;0.89;93.300;26.330;31452.000;32.000
10.07.17;3:15:30 PM;1.14;94.250;26.230;31455.000;32.000
10.07.17;3:15:45 PM;1.39;93.900;26.270;31464.000;32.000
10.07.17;3:16:00 PM;1.64;93.740;26.280;31455.000;32.000
10.07.17;3:16:15 PM;1.89;93.340;26.330;31498.000;32.000
10.07.17;3:16:30 PM;2.14;92.560;26.420;31446.000;32.000
10.07.17;3:16:45 PM;2.39;93.630;26.300;31488.000;32.000
10.07.17;3:17:00 PM;2.64;93.940;26.260;31532.000;32.000
10.07.17;3:17:15 PM;2.89;93.460;26.320;31532.000;32.000
10.07.17;3:17:30 PM;3.14;93.280;26.330;31528.000;32.000
10.07.17;3:17:45 PM;3.39;93.370;26.320;31559.000;32.000
10.07.17;3:18:00 PM;3.64;92.910;26.380;31545.000;32.000
10.07.17;3:18:15 PM;3.89;93.250;26.340;31565.000;32.000
10.07.17;3:18:30 PM;4.14;93.420;26.320;31618.000;32.000
10.07.17;3:18:45 PM;4.39;92.910;26.380;31623.000;32.000
10.07.17;3:19:00 PM;4.64;93.260;26.340;31639.000;32.000
10.07.17;3:19:15 PM;4.89;92.590;26.410;31663.000;32.000
10.07.17;3:19:30 PM;5.14;92.630;26.410;31673.000;32.000
10.07.17;3:19:45 PM;5.39;92.420;26.430;31693.000;32.000
10.07.17;3:20:00 PM;5.64;92.680;26.400;31688.000;32.000
10.07.17;3:20:15 PM;5.89;92.260;26.450;31691.000;32.000
10.07.17;3:20:30 PM;6.14;92.270;26.450;31742.000;32.000
10.07.17;3:20:45 PM;6.39;92.180;26.460;31751.000;32.000
