11.07.17/8:19 AM SW ver:OXY10v3_33
Header Ch-2
Description: DRIFT-18
IDENTIFICATION
PHIboard number   : v1231474
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 075
Ref LED amplitude : 103044
Frequency         : 006
Sending interval  : 0001
Averaging         : 4
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 029100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 029400
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
11.07.17;8:19:08 AM;0.00;97.490;28.320;11826.000;18.000
11.07.17;8:19:09 AM;0.02;96.340;28.450;11821.000;18.000
11.07.17;8:19:15 AM;0.12;95.540;28.540;11838.000;18.000
11.07.17;8:19:30 AM;0.37;96.840;28.390;11820.000;18.000
11.07.17;8:19:45 AM;0.62;96.880;28.390;11808.000;18.000
11.07.17;8:20:00 AM;0.87;96.660;28.410;11820.000;18.000
11.07.17;8:20:15 AM;1.12;96.810;28.390;11813.000;18.000
11.07.17;8:20:30 AM;1.37;96.450;28.430;11806.000;18.000
11.07.17;8:20:45 AM;1.62;97.400;28.330;11816.000;18.000
11.07.17;8:21:00 AM;1.87;96.790;28.400;11776.000;18.000
11.07.17;8:21:15 AM;2.12;96.950;28.380;11790.000;18.000
11.07.17;8:21:30 AM;2.37;96.660;28.410;11785.000;18.000
11.07.17;8:21:45 AM;2.62;96.860;28.390;11820.000;18.000
11.07.17;8:22:00 AM;2.87;97.390;28.330;11791.000;18.000
11.07.17;8:22:15 AM;3.12;96.930;28.380;11809.000;18.000
11.07.17;8:22:30 AM;3.37;96.710;28.410;11794.000;18.000
11.07.17;8:22:45 AM;3.62;97.210;28.350;11787.000;18.000
11.07.17;8:23:00 AM;3.87;97.160;28.350;11777.000;18.000
