11.07.17/8:19 AM SW ver:OXY10v3_33
Header Ch-3
Description: WWF3-18
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 106617
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 030000
100.00%a.s.phase 2: 27.68 at 020.0°C amp 033000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
11.07.17;8:19:09 AM;0.00;94.810;28.620;33190.000;18.000
11.07.17;8:19:10 AM;0.02;94.560;28.650;33184.000;18.000
11.07.17;8:19:17 AM;0.14;94.280;28.680;33223.000;18.000
11.07.17;8:19:32 AM;0.39;94.460;28.660;33205.000;18.000
11.07.17;8:19:47 AM;0.64;94.560;28.650;33175.000;18.000
11.07.17;8:20:02 AM;0.89;94.510;28.660;33169.000;18.000
11.07.17;8:20:17 AM;1.14;94.270;28.680;33175.000;18.000
11.07.17;8:20:32 AM;1.39;94.040;28.710;33163.000;18.000
11.07.17;8:20:47 AM;1.64;94.400;28.670;33194.000;18.000
11.07.17;8:21:02 AM;1.89;94.270;28.680;33174.000;18.000
11.07.17;8:21:17 AM;2.14;94.290;28.680;33184.000;18.000
11.07.17;8:21:32 AM;2.39;94.190;28.690;33204.000;18.000
11.07.17;8:21:47 AM;2.64;93.990;28.720;33181.000;18.000
11.07.17;8:22:02 AM;2.89;94.050;28.710;33191.000;18.000
11.07.17;8:22:17 AM;3.14;94.000;28.720;33196.000;18.000
11.07.17;8:22:32 AM;3.39;94.060;28.710;33234.000;18.000
11.07.17;8:22:47 AM;3.64;94.180;28.690;33205.000;18.000
11.07.17;8:23:02 AM;3.89;94.400;28.670;33194.000;18.000
11.07.17;8:23:17 AM;4.14;93.920;28.720;33224.000;18.000
11.07.17;8:23:32 AM;4.39;93.890;28.730;33200.000;18.000
11.07.17;8:23:47 AM;4.64;93.750;28.740;33210.000;18.000
11.07.17;8:24:02 AM;4.89;93.710;28.750;33212.000;18.000
11.07.17;8:24:17 AM;5.14;93.740;28.750;33221.000;18.000
11.07.17;8:24:32 AM;5.39;93.800;28.740;33230.000;18.000
11.07.17;8:24:47 AM;5.64;93.410;28.780;33204.000;18.000
11.07.17;8:25:02 AM;5.89;93.430;28.780;33186.000;18.000
11.07.17;8:25:17 AM;6.14;93.240;28.800;33216.000;18.000
11.07.17;8:25:32 AM;6.39;93.570;28.770;33198.000;18.000
11.07.17;8:25:47 AM;6.64;93.680;28.750;33221.000;18.000
11.07.17;8:26:02 AM;6.89;93.530;28.770;33213.000;18.000
11.07.17;8:26:17 AM;7.14;93.420;28.780;33264.000;18.000
11.07.17;8:26:32 AM;7.39;93.620;28.760;33256.000;18.000
11.07.17;8:26:47 AM;7.64;93.250;28.800;33244.000;18.000
11.07.17;8:27:02 AM;7.89;93.410;28.780;33244.000;18.000
11.07.17;8:27:17 AM;8.14;92.910;28.840;33242.000;18.000
11.07.17;8:27:32 AM;8.39;93.140;28.820;33250.000;18.000
11.07.17;8:27:47 AM;8.64;93.080;28.820;33276.000;18.000
11.07.17;8:28:02 AM;8.89;93.030;28.830;33264.000;18.000
11.07.17;8:28:17 AM;9.14;93.340;28.790;33290.000;18.000
11.07.17;8:28:32 AM;9.39;93.030;28.830;33293.000;18.000
11.07.17;8:28:47 AM;9.64;93.190;28.810;33285.000;18.000
11.07.17;8:29:02 AM;9.89;92.950;28.840;33293.000;18.000
11.07.17;8:29:17 AM;10.14;92.640;28.870;33302.000;18.000
11.07.17;8:29:32 AM;10.39;93.010;28.830;33287.000;18.000
11.07.17;8:29:47 AM;10.64;92.690;28.870;33331.000;18.000
11.07.17;8:30:02 AM;10.89;92.640;28.880;33313.000;18.000
11.07.17;8:30:17 AM;11.14;92.490;28.890;33297.000;18.000
11.07.17;8:30:32 AM;11.39;92.560;28.880;33347.000;18.000
11.07.17;8:30:47 AM;11.64;92.780;28.860;33348.000;18.000
11.07.17;8:31:02 AM;11.89;92.270;28.920;33335.000;18.000
11.07.17;8:31:17 AM;12.14;92.090;28.940;33341.000;18.000
11.07.17;8:31:32 AM;12.39;92.220;28.920;33360.000;18.000
11.07.17;8:31:47 AM;12.64;92.650;28.870;33349.000;18.000
11.07.17;8:32:02 AM;12.89;92.270;28.920;33381.000;18.000
11.07.17;8:32:17 AM;13.14;91.950;28.960;33352.000;18.000
11.07.17;8:32:32 AM;13.39;92.230;28.920;33378.000;18.000
