11.07.17/8:19 AM SW ver:OXY10v3_33
Header Ch-4
Description: TWL1-18
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 100047
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
11.07.17;8:19:10 AM;0.00;94.580;28.650;39163.000;18.000
11.07.17;8:19:11 AM;0.02;94.320;28.680;39150.000;18.000
11.07.17;8:19:19 AM;0.15;94.510;28.660;39165.000;18.000
11.07.17;8:19:34 AM;0.40;94.370;28.670;39184.000;18.000
11.07.17;8:19:49 AM;0.65;94.570;28.650;39167.000;18.000
11.07.17;8:20:04 AM;0.90;94.520;28.650;39165.000;18.000
11.07.17;8:20:19 AM;1.15;94.410;28.670;39156.000;18.000
11.07.17;8:20:34 AM;1.40;94.450;28.660;39171.000;18.000
11.07.17;8:20:49 AM;1.65;94.200;28.690;39179.000;18.000
11.07.17;8:21:04 AM;1.90;94.320;28.680;39170.000;18.000
11.07.17;8:21:19 AM;2.15;94.140;28.700;39146.000;18.000
11.07.17;8:21:34 AM;2.40;93.930;28.720;39186.000;18.000
11.07.17;8:21:49 AM;2.65;94.110;28.700;39159.000;18.000
11.07.17;8:22:04 AM;2.90;94.070;28.710;39189.000;18.000
11.07.17;8:22:19 AM;3.15;94.110;28.700;39222.000;18.000
11.07.17;8:22:34 AM;3.40;94.270;28.680;39194.000;18.000
11.07.17;8:22:49 AM;3.65;93.710;28.750;39227.000;18.000
11.07.17;8:23:04 AM;3.90;93.970;28.720;39181.000;18.000
11.07.17;8:23:19 AM;4.15;93.640;28.760;39201.000;18.000
11.07.17;8:23:34 AM;4.40;93.770;28.740;39177.000;18.000
11.07.17;8:23:49 AM;4.65;94.000;28.720;39204.000;18.000
11.07.17;8:24:04 AM;4.90;93.770;28.740;39207.000;18.000
11.07.17;8:24:19 AM;5.15;93.810;28.740;39219.000;18.000
11.07.17;8:24:34 AM;5.40;93.380;28.790;39230.000;18.000
11.07.17;8:24:49 AM;5.65;93.650;28.760;39223.000;18.000
11.07.17;8:25:04 AM;5.90;93.390;28.790;39224.000;18.000
11.07.17;8:25:19 AM;6.15;93.340;28.790;39233.000;18.000
11.07.17;8:25:34 AM;6.40;93.160;28.810;39240.000;18.000
11.07.17;8:25:49 AM;6.65;93.280;28.800;39254.000;18.000
11.07.17;8:26:04 AM;6.90;93.480;28.780;39249.000;18.000
11.07.17;8:26:19 AM;7.15;93.230;28.810;39240.000;18.000
11.07.17;8:26:34 AM;7.40;93.320;28.790;39268.000;18.000
11.07.17;8:26:49 AM;7.65;93.000;28.830;39276.000;18.000
11.07.17;8:27:04 AM;7.90;93.420;28.780;39271.000;18.000
11.07.17;8:27:19 AM;8.15;92.880;28.850;39290.000;18.000
11.07.17;8:27:34 AM;8.40;93.240;28.800;39286.000;18.000
11.07.17;8:27:49 AM;8.65;92.950;28.840;39285.000;18.000
11.07.17;8:28:04 AM;8.90;92.880;28.850;39276.000;18.000
11.07.17;8:28:19 AM;9.15;92.630;28.880;39281.000;18.000
11.07.17;8:28:34 AM;9.40;92.620;28.880;39292.000;18.000
11.07.17;8:28:49 AM;9.65;92.890;28.850;39327.000;18.000
11.07.17;8:29:04 AM;9.90;92.360;28.910;39331.000;18.000
11.07.17;8:29:19 AM;10.15;92.800;28.860;39303.000;18.000
11.07.17;8:29:34 AM;10.40;92.250;28.920;39296.000;18.000
11.07.17;8:29:49 AM;10.65;92.330;28.910;39306.000;18.000
11.07.17;8:30:04 AM;10.90;92.550;28.890;39321.000;18.000
11.07.17;8:30:19 AM;11.15;92.590;28.880;39347.000;18.000
11.07.17;8:30:34 AM;11.40;92.800;28.860;39326.000;18.000
11.07.17;8:30:49 AM;11.65;92.250;28.920;39377.000;18.000
11.07.17;8:31:04 AM;11.90;92.300;28.920;39337.000;18.000
11.07.17;8:31:19 AM;12.15;92.230;28.920;39369.000;18.000
11.07.17;8:31:34 AM;12.40;92.100;28.940;39350.000;18.000
11.07.17;8:31:49 AM;12.65;92.160;28.930;39384.000;18.000
11.07.17;8:32:04 AM;12.90;92.260;28.920;39387.000;18.000
11.07.17;8:32:19 AM;13.15;91.960;28.960;39403.000;18.000
11.07.17;8:32:34 AM;13.40;91.950;28.960;39404.000;18.000
11.07.17;8:32:49 AM;13.65;92.180;28.930;39420.000;18.000
11.07.17;8:33:04 AM;13.90;91.760;28.980;39405.000;18.000
11.07.17;8:33:19 AM;14.15;91.650;28.990;39416.000;18.000
11.07.17;8:33:34 AM;14.40;91.650;28.990;39422.000;18.000
11.07.17;8:33:49 AM;14.65;91.690;28.990;39423.000;18.000
11.07.17;8:34:04 AM;14.90;91.780;28.980;39429.000;18.000
11.07.17;8:34:19 AM;15.15;91.470;29.010;39459.000;18.000
11.07.17;8:34:34 AM;15.40;91.520;29.010;39445.000;18.000
11.07.17;8:34:49 AM;15.65;91.490;29.010;39454.000;18.000
11.07.17;8:35:04 AM;15.90;91.520;29.010;39458.000;18.000
11.07.17;8:35:19 AM;16.15;90.980;29.070;39473.000;18.000
11.07.17;8:35:34 AM;16.40;91.560;29.000;39485.000;18.000
11.07.17;8:35:49 AM;16.65;91.240;29.040;39498.000;18.000
11.07.17;8:36:04 AM;16.90;91.210;29.050;39494.000;18.000
11.07.17;8:36:19 AM;17.15;90.900;29.080;39494.000;18.000
11.07.17;8:36:34 AM;17.40;91.190;29.050;39499.000;18.000
11.07.17;8:36:49 AM;17.65;91.380;29.030;39500.000;18.000
11.07.17;8:37:04 AM;17.90;91.170;29.050;39531.000;18.000
11.07.17;8:37:19 AM;18.15;90.630;29.120;39508.000;18.000
11.07.17;8:37:34 AM;18.40;91.290;29.040;39506.000;18.000
11.07.17;8:37:49 AM;18.65;91.090;29.060;39558.000;18.000
11.07.17;8:38:04 AM;18.90;91.370;29.030;39566.000;18.000
11.07.17;8:38:19 AM;19.15;91.080;29.060;39553.000;18.000
11.07.17;8:38:34 AM;19.40;90.560;29.120;39553.000;18.000
11.07.17;8:38:49 AM;19.65;90.690;29.110;39571.000;18.000
11.07.17;8:39:04 AM;19.90;90.720;29.110;39596.000;18.000
11.07.17;8:39:19 AM;20.15;90.840;29.090;39548.000;18.000
11.07.17;8:39:34 AM;20.40;90.670;29.110;39605.000;18.000
11.07.17;8:39:49 AM;20.65;90.750;29.100;39583.000;18.000
11.07.17;8:40:04 AM;20.90;90.510;29.130;39592.000;18.000
11.07.17;8:40:19 AM;21.15;90.450;29.140;39597.000;18.000
11.07.17;8:40:34 AM;21.40;90.600;29.120;39614.000;18.000
11.07.17;8:40:49 AM;21.65;90.660;29.110;39598.000;18.000
11.07.17;8:41:04 AM;21.90;90.570;29.120;39625.000;18.000
11.07.17;8:41:19 AM;22.15;90.110;29.180;39629.000;18.000
11.07.17;8:41:34 AM;22.40;90.380;29.150;39617.000;18.000
