11.07.17/8:19 AM SW ver:OXY10v3_33
Header Ch-5
Description: TWH2-18
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 105515
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
11.07.17;8:19:11 AM;0.00;93.650;28.760;47413.000;18.000
11.07.17;8:19:12 AM;0.02;93.530;28.770;47416.000;18.000
11.07.17;8:19:21 AM;0.17;93.690;28.750;47401.000;18.000
11.07.17;8:19:36 AM;0.42;93.440;28.780;47437.000;18.000
11.07.17;8:19:51 AM;0.67;93.700;28.750;47467.000;18.000
11.07.17;8:20:06 AM;0.92;93.370;28.790;47497.000;18.000
11.07.17;8:20:21 AM;1.17;93.450;28.780;47491.000;18.000
11.07.17;8:20:36 AM;1.42;93.480;28.780;47520.000;18.000
11.07.17;8:20:51 AM;1.67;93.440;28.780;47546.000;18.000
11.07.17;8:21:06 AM;1.92;93.200;28.810;47551.000;18.000
11.07.17;8:21:21 AM;2.17;93.490;28.770;47555.000;18.000
11.07.17;8:21:36 AM;2.42;93.370;28.790;47562.000;18.000
11.07.17;8:21:51 AM;2.67;93.040;28.830;47584.000;18.000
11.07.17;8:22:06 AM;2.92;93.190;28.810;47604.000;18.000
11.07.17;8:22:21 AM;3.17;93.320;28.790;47647.000;18.000
11.07.17;8:22:36 AM;3.42;92.990;28.830;47650.000;18.000
11.07.17;8:22:51 AM;3.67;93.180;28.810;47635.000;18.000
11.07.17;8:23:06 AM;3.92;92.840;28.850;47679.000;18.000
11.07.17;8:23:21 AM;4.17;93.140;28.820;47703.000;18.000
11.07.17;8:23:36 AM;4.42;92.960;28.840;47717.000;18.000
11.07.17;8:23:51 AM;4.67;92.960;28.840;47704.000;18.000
11.07.17;8:24:06 AM;4.92;92.630;28.880;47713.000;18.000
11.07.17;8:24:21 AM;5.17;92.890;28.850;47746.000;18.000
11.07.17;8:24:36 AM;5.42;92.530;28.890;47728.000;18.000
11.07.17;8:24:51 AM;5.67;92.630;28.880;47760.000;18.000
11.07.17;8:25:06 AM;5.92;92.650;28.870;47756.000;18.000
11.07.17;8:25:21 AM;6.17;92.800;28.860;47763.000;18.000
11.07.17;8:25:36 AM;6.42;92.470;28.900;47774.000;18.000
11.07.17;8:25:51 AM;6.67;92.320;28.910;47798.000;18.000
11.07.17;8:26:06 AM;6.92;92.430;28.900;47803.000;18.000
11.07.17;8:26:21 AM;7.17;92.480;28.890;47790.000;18.000
11.07.17;8:26:36 AM;7.42;92.120;28.940;47820.000;18.000
11.07.17;8:26:51 AM;7.67;92.330;28.910;47823.000;18.000
11.07.17;8:27:06 AM;7.92;92.340;28.910;47844.000;18.000
11.07.17;8:27:21 AM;8.17;92.100;28.940;47856.000;18.000
11.07.17;8:27:36 AM;8.42;91.950;28.960;47843.000;18.000
11.07.17;8:27:51 AM;8.67;91.990;28.950;47843.000;18.000
11.07.17;8:28:06 AM;8.92;92.140;28.930;47867.000;18.000
11.07.17;8:28:21 AM;9.17;92.010;28.950;47858.000;18.000
11.07.17;8:28:36 AM;9.42;91.870;28.970;47863.000;18.000
11.07.17;8:28:51 AM;9.67;91.970;28.950;47894.000;18.000
11.07.17;8:29:06 AM;9.92;92.020;28.950;47895.000;18.000
11.07.17;8:29:21 AM;10.17;91.840;28.970;47895.000;18.000
11.07.17;8:29:36 AM;10.42;91.570;29.000;47930.000;18.000
11.07.17;8:29:51 AM;10.67;91.810;28.970;47918.000;18.000
11.07.17;8:30:06 AM;10.92;91.750;28.980;47917.000;18.000
11.07.17;8:30:21 AM;11.17;91.600;29.000;47946.000;18.000
11.07.17;8:30:36 AM;11.42;91.550;29.010;47960.000;18.000
11.07.17;8:30:51 AM;11.67;91.840;28.970;47936.000;18.000
11.07.17;8:31:06 AM;11.92;91.390;29.020;47983.000;18.000
11.07.17;8:31:21 AM;12.17;91.490;29.010;47953.000;18.000
11.07.17;8:31:36 AM;12.42;91.650;28.990;48011.000;18.000
11.07.17;8:31:51 AM;12.67;91.460;29.020;48008.000;18.000
