11.07.17/10:38 AM SW ver:OXY10v3_33
Header Ch-3
Description: WWF3-22
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 106617
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 030000
100.00%a.s.phase 2: 27.68 at 020.0°C amp 033000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
11.07.17;10:38:59 AM;0.00;94.300;27.940;31543.000;22.000
11.07.17;10:39:13 AM;0.24;93.580;28.030;31528.000;22.000
11.07.17;10:39:28 AM;0.49;93.760;28.000;31516.000;22.000
11.07.17;10:39:43 AM;0.74;94.270;27.950;31505.000;22.000
11.07.17;10:39:58 AM;0.99;93.990;27.980;31526.000;22.000
11.07.17;10:40:13 AM;1.24;93.890;27.990;31568.000;22.000
11.07.17;10:40:28 AM;1.49;94.190;27.950;31522.000;22.000
11.07.17;10:40:43 AM;1.74;93.790;28.000;31551.000;22.000
11.07.17;10:40:58 AM;1.99;94.140;27.960;31561.000;22.000
11.07.17;10:41:13 AM;2.24;93.520;28.030;31614.000;22.000
11.07.17;10:41:28 AM;2.49;93.860;27.990;31596.000;22.000
11.07.17;10:41:43 AM;2.74;93.520;28.030;31585.000;22.000
11.07.17;10:41:58 AM;2.99;93.790;28.000;31612.000;22.000
11.07.17;10:42:13 AM;3.24;93.710;28.010;31633.000;22.000
11.07.17;10:42:28 AM;3.49;93.350;28.050;31614.000;22.000
11.07.17;10:42:43 AM;3.74;94.000;27.980;31681.000;22.000
11.07.17;10:42:58 AM;3.99;93.340;28.050;31645.000;22.000
11.07.17;10:43:13 AM;4.24;93.550;28.030;31690.000;22.000
11.07.17;10:43:28 AM;4.49;93.450;28.040;31683.000;22.000
11.07.17;10:43:43 AM;4.74;93.430;28.040;31689.000;22.000
11.07.17;10:43:58 AM;4.99;93.110;28.080;31687.000;22.000
11.07.17;10:44:13 AM;5.24;93.350;28.050;31726.000;22.000
11.07.17;10:44:28 AM;5.49;92.830;28.110;31676.000;22.000
11.07.17;10:44:43 AM;5.74;93.320;28.060;31716.000;22.000
11.07.17;10:44:58 AM;5.99;93.620;28.020;31748.000;22.000
11.07.17;10:45:13 AM;6.24;92.830;28.110;31794.000;22.000
11.07.17;10:45:28 AM;6.49;93.010;28.090;31760.000;22.000
11.07.17;10:45:43 AM;6.74;93.040;28.090;31788.000;22.000
11.07.17;10:45:58 AM;6.99;92.270;28.180;31837.000;22.000
11.07.17;10:46:13 AM;7.24;92.760;28.120;31811.000;22.000
11.07.17;10:46:28 AM;7.49;92.360;28.170;31849.000;22.000
11.07.17;10:46:43 AM;7.74;92.150;28.190;31824.000;22.000
11.07.17;10:46:58 AM;7.99;92.020;28.210;31847.000;22.000
11.07.17;10:47:13 AM;8.24;91.530;28.260;31861.000;22.000
11.07.17;10:47:28 AM;8.49;91.950;28.220;31939.000;22.000
11.07.17;10:47:43 AM;8.74;92.070;28.200;31873.000;22.000
11.07.17;10:47:58 AM;8.99;92.010;28.210;31931.000;22.000
11.07.17;10:48:13 AM;9.24;91.820;28.230;31960.000;22.000
11.07.17;10:48:28 AM;9.49;91.240;28.300;31916.000;22.000
11.07.17;10:48:43 AM;9.74;91.020;28.330;32034.000;22.000
11.07.17;10:48:58 AM;9.99;91.550;28.260;31999.000;22.000
11.07.17;10:49:13 AM;10.24;91.080;28.320;32030.000;22.000
11.07.17;10:49:28 AM;10.49;90.770;28.360;32053.000;22.000
11.07.17;10:49:43 AM;10.74;91.800;28.230;32072.000;22.000
11.07.17;10:49:58 AM;10.99;91.290;28.290;32057.000;22.000
11.07.17;10:50:13 AM;11.24;91.390;28.280;32112.000;22.000
11.07.17;10:50:28 AM;11.49;90.910;28.340;32123.000;22.000
11.07.17;10:50:43 AM;11.74;90.330;28.410;32099.000;22.000
11.07.17;10:50:58 AM;11.99;90.710;28.360;32153.000;22.000
11.07.17;10:51:13 AM;12.24;90.450;28.390;32138.000;22.000
11.07.17;10:51:28 AM;12.49;90.350;28.410;32168.000;22.000
11.07.17;10:51:43 AM;12.74;90.440;28.390;32232.000;22.000
11.07.17;10:51:58 AM;12.99;90.150;28.430;32180.000;22.000
11.07.17;10:52:13 AM;13.24;90.680;28.370;32226.000;22.000
11.07.17;10:52:28 AM;13.49;90.060;28.440;32210.000;22.000
11.07.17;10:52:43 AM;13.74;90.210;28.420;32301.000;22.000
11.07.17;10:52:58 AM;13.99;90.100;28.440;32274.000;22.000
11.07.17;10:53:13 AM;14.24;90.130;28.430;32280.000;22.000
