11.07.17/10:39 AM SW ver:OXY10v3_33
Header Ch-4
Description: TWL1-22
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 100047
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
11.07.17;10:39:00 AM;0.00;94.570;27.910;37229.000;22.000
11.07.17;10:39:15 AM;0.25;94.300;27.940;37166.000;22.000
11.07.17;10:39:30 AM;0.50;94.120;27.960;37207.000;22.000
11.07.17;10:39:45 AM;0.75;94.650;27.900;37200.000;22.000
11.07.17;10:40:00 AM;1.00;93.990;27.980;37225.000;22.000
11.07.17;10:40:15 AM;1.25;93.890;27.990;37233.000;22.000
11.07.17;10:40:30 AM;1.50;93.670;28.010;37216.000;22.000
11.07.17;10:40:45 AM;1.75;94.120;27.960;37275.000;22.000
11.07.17;10:41:00 AM;2.00;93.600;28.020;37264.000;22.000
11.07.17;10:41:15 AM;2.25;93.860;27.990;37327.000;22.000
11.07.17;10:41:30 AM;2.50;93.590;28.020;37309.000;22.000
11.07.17;10:41:45 AM;2.75;93.890;27.990;37291.000;22.000
11.07.17;10:42:00 AM;3.00;93.920;27.990;37303.000;22.000
11.07.17;10:42:15 AM;3.25;94.330;27.940;37304.000;22.000
11.07.17;10:42:30 AM;3.50;93.450;28.040;37310.000;22.000
11.07.17;10:42:45 AM;3.75;92.770;28.120;37370.000;22.000
11.07.17;10:43:00 AM;4.00;93.770;28.000;37350.000;22.000
11.07.17;10:43:15 AM;4.25;93.720;28.010;37361.000;22.000
11.07.17;10:43:30 AM;4.50;93.070;28.080;37353.000;22.000
11.07.17;10:43:45 AM;4.75;93.790;28.000;37361.000;22.000
11.07.17;10:44:00 AM;5.00;93.650;28.020;37364.000;22.000
11.07.17;10:44:15 AM;5.25;93.820;28.000;37396.000;22.000
11.07.17;10:44:30 AM;5.50;93.630;28.020;37421.000;22.000
11.07.17;10:44:45 AM;5.75;93.580;28.030;37399.000;22.000
11.07.17;10:45:00 AM;6.00;93.590;28.020;37438.000;22.000
11.07.17;10:45:15 AM;6.25;93.610;28.020;37424.000;22.000
11.07.17;10:45:30 AM;6.50;92.650;28.130;37473.000;22.000
11.07.17;10:45:45 AM;6.75;93.370;28.050;37476.000;22.000
11.07.17;10:46:00 AM;7.00;93.070;28.080;37464.000;22.000
11.07.17;10:46:15 AM;7.25;93.190;28.070;37483.000;22.000
11.07.17;10:46:30 AM;7.50;93.340;28.050;37499.000;22.000
11.07.17;10:46:45 AM;7.75;93.440;28.040;37471.000;22.000
11.07.17;10:47:00 AM;8.00;92.850;28.110;37509.000;22.000
11.07.17;10:47:15 AM;8.25;92.120;28.200;37512.000;22.000
11.07.17;10:47:30 AM;8.50;92.560;28.140;37521.000;22.000
11.07.17;10:47:45 AM;8.75;93.030;28.090;37582.000;22.000
11.07.17;10:48:00 AM;9.00;92.160;28.190;37567.000;22.000
11.07.17;10:48:15 AM;9.25;92.400;28.160;37580.000;22.000
11.07.17;10:48:30 AM;9.50;92.740;28.120;37586.000;22.000
11.07.17;10:48:45 AM;9.75;92.400;28.160;37614.000;22.000
11.07.17;10:49:00 AM;10.00;92.810;28.110;37652.000;22.000
11.07.17;10:49:15 AM;10.25;91.650;28.250;37674.000;22.000
11.07.17;10:49:30 AM;10.50;92.220;28.180;37622.000;22.000
11.07.17;10:49:45 AM;10.75;93.010;28.090;37639.000;22.000
11.07.17;10:50:00 AM;11.00;92.600;28.140;37593.000;22.000
11.07.17;10:50:15 AM;11.25;92.470;28.150;37653.000;22.000
11.07.17;10:50:30 AM;11.50;91.740;28.240;37712.000;22.000
11.07.17;10:50:45 AM;11.75;91.830;28.230;37675.000;22.000
11.07.17;10:51:00 AM;12.00;91.490;28.270;37685.000;22.000
11.07.17;10:51:15 AM;12.25;91.880;28.220;37690.000;22.000
