11.07.17/10:39 AM SW ver:OXY10v3_33
Header Ch-5
Description: TWH2-22
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 105515
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
11.07.17;10:39:02 AM;0.00;92.970;28.100;45515.000;22.000
11.07.17;10:39:17 AM;0.25;93.430;28.040;45547.000;22.000
11.07.17;10:39:32 AM;0.50;93.620;28.020;45563.000;22.000
11.07.17;10:39:47 AM;0.75;93.280;28.060;45601.000;22.000
11.07.17;10:40:02 AM;1.00;93.220;28.070;45545.000;22.000
11.07.17;10:40:17 AM;1.25;92.950;28.100;45555.000;22.000
11.07.17;10:40:32 AM;1.50;93.410;28.040;45599.000;22.000
11.07.17;10:40:47 AM;1.75;93.370;28.050;45588.000;22.000
11.07.17;10:41:02 AM;2.00;93.010;28.090;45671.000;22.000
11.07.17;10:41:17 AM;2.25;92.710;28.130;45671.000;22.000
11.07.17;10:41:32 AM;2.50;92.900;28.100;45642.000;22.000
11.07.17;10:41:47 AM;2.75;92.760;28.120;45644.000;22.000
11.07.17;10:42:02 AM;3.00;92.610;28.140;45693.000;22.000
11.07.17;10:42:17 AM;3.25;92.430;28.160;45713.000;22.000
11.07.17;10:42:32 AM;3.50;92.550;28.140;45709.000;22.000
11.07.17;10:42:47 AM;3.75;92.630;28.140;45733.000;22.000
11.07.17;10:43:02 AM;4.00;92.840;28.110;45727.000;22.000
