11.07.17/10:39 AM SW ver:OXY10v3_33
Header Ch-6
Description: TBM1-22
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 102416
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
11.07.17;10:39:04 AM;0.00;97.210;27.620;36338.000;22.000
11.07.17;10:39:19 AM;0.25;95.930;27.760;36400.000;22.000
11.07.17;10:39:34 AM;0.50;95.620;27.790;36397.000;22.000
11.07.17;10:39:49 AM;0.75;95.900;27.760;36459.000;22.000
11.07.17;10:40:04 AM;1.00;95.820;27.770;36415.000;22.000
11.07.17;10:40:19 AM;1.25;96.720;27.670;36419.000;22.000
11.07.17;10:40:34 AM;1.50;96.520;27.690;36393.000;22.000
11.07.17;10:40:49 AM;1.75;95.950;27.760;36414.000;22.000
11.07.17;10:41:04 AM;2.00;95.520;27.800;36477.000;22.000
11.07.17;10:41:19 AM;2.25;96.240;27.720;36502.000;22.000
11.07.17;10:41:34 AM;2.50;95.580;27.800;36489.000;22.000
11.07.17;10:41:49 AM;2.75;96.530;27.690;36495.000;22.000
11.07.17;10:42:04 AM;3.00;95.960;27.760;36465.000;22.000
11.07.17;10:42:19 AM;3.25;96.310;27.720;36514.000;22.000
11.07.17;10:42:34 AM;3.50;95.710;27.780;36498.000;22.000
11.07.17;10:42:49 AM;3.75;95.500;27.810;36510.000;22.000
11.07.17;10:43:04 AM;4.00;94.920;27.870;36543.000;22.000
11.07.17;10:43:19 AM;4.25;95.190;27.840;36531.000;22.000
11.07.17;10:43:34 AM;4.50;96.100;27.740;36571.000;22.000
11.07.17;10:43:49 AM;4.75;95.680;27.790;36597.000;22.000
11.07.17;10:44:04 AM;5.00;95.010;27.860;36564.000;22.000
11.07.17;10:44:19 AM;5.25;95.540;27.800;36614.000;22.000
11.07.17;10:44:34 AM;5.50;95.880;27.760;36598.000;22.000
11.07.17;10:44:49 AM;5.75;95.550;27.800;36637.000;22.000
11.07.17;10:45:04 AM;6.00;95.860;27.770;36601.000;22.000
11.07.17;10:45:19 AM;6.25;95.590;27.800;36652.000;22.000
11.07.17;10:45:34 AM;6.50;95.620;27.790;36616.000;22.000
11.07.17;10:45:49 AM;6.75;94.120;27.960;36670.000;22.000
11.07.17;10:46:04 AM;7.00;95.000;27.860;36719.000;22.000
11.07.17;10:46:19 AM;7.25;95.590;27.800;36704.000;22.000
11.07.17;10:46:34 AM;7.50;94.670;27.900;36699.000;22.000
11.07.17;10:46:49 AM;7.75;94.820;27.880;36656.000;22.000
11.07.17;10:47:04 AM;8.00;94.670;27.900;36716.000;22.000
11.07.17;10:47:19 AM;8.25;94.390;27.930;36739.000;22.000
11.07.17;10:47:34 AM;8.50;94.400;27.930;36707.000;22.000
11.07.17;10:47:49 AM;8.75;94.580;27.910;36718.000;22.000
11.07.17;10:48:04 AM;9.00;95.210;27.840;36723.000;22.000
11.07.17;10:48:19 AM;9.25;93.650;28.020;36815.000;22.000
11.07.17;10:48:34 AM;9.50;94.140;27.960;36859.000;22.000
11.07.17;10:48:49 AM;9.75;94.410;27.930;36780.000;22.000
11.07.17;10:49:04 AM;10.00;93.630;28.020;36818.000;22.000
