11.07.17/10:05 AM SW ver:OXY10v3_33
Header Ch-7
Description: WBP2-22
IDENTIFICATION
PHIboard number   : v1231479
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 07

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 98184
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 040800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 027000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
11.07.17;10:05:03 AM;0.00;94.440;27.930;32939.000;22.000
11.07.17;10:05:06 AM;0.05;94.580;27.910;32983.000;22.000
11.07.17;10:05:21 AM;0.30;94.460;27.920;32912.000;22.000
11.07.17;10:05:36 AM;0.55;94.250;27.950;32924.000;22.000
11.07.17;10:05:51 AM;0.80;94.390;27.930;32912.000;22.000
11.07.17;10:06:06 AM;1.05;94.050;27.970;32938.000;22.000
11.07.17;10:06:21 AM;1.30;94.350;27.940;32949.000;22.000
11.07.17;10:06:36 AM;1.55;94.050;27.970;32984.000;22.000
11.07.17;10:06:51 AM;1.80;94.070;27.970;32973.000;22.000
11.07.17;10:07:06 AM;2.05;93.600;28.020;32978.000;22.000
11.07.17;10:07:21 AM;2.30;93.630;28.020;32984.000;22.000
11.07.17;10:07:36 AM;2.55;94.480;27.920;32993.000;22.000
11.07.17;10:07:51 AM;2.80;94.110;27.960;33005.000;22.000
11.07.17;10:08:06 AM;3.05;94.200;27.950;33025.000;22.000
11.07.17;10:08:21 AM;3.30;93.660;28.020;33010.000;22.000
11.07.17;10:08:36 AM;3.55;93.650;28.020;33036.000;22.000
11.07.17;10:08:51 AM;3.80;93.620;28.020;33063.000;22.000
11.07.17;10:09:06 AM;4.05;93.590;28.020;33069.000;22.000
11.07.17;10:09:21 AM;4.30;93.980;27.980;33068.000;22.000
11.07.17;10:09:36 AM;4.55;93.520;28.030;33080.000;22.000
11.07.17;10:09:51 AM;4.80;93.650;28.020;33110.000;22.000
11.07.17;10:10:06 AM;5.05;93.460;28.040;33109.000;22.000
11.07.17;10:10:21 AM;5.30;93.430;28.040;33158.000;22.000
11.07.17;10:10:36 AM;5.55;93.040;28.090;33158.000;22.000
11.07.17;10:10:51 AM;5.80;92.970;28.100;33157.000;22.000
11.07.17;10:11:06 AM;6.05;92.920;28.100;33190.000;22.000
11.07.17;10:11:21 AM;6.30;93.230;28.070;33177.000;22.000
11.07.17;10:11:36 AM;6.55;92.650;28.130;33218.000;22.000
11.07.17;10:11:51 AM;6.80;92.770;28.120;33217.000;22.000
11.07.17;10:12:06 AM;7.05;92.350;28.170;33250.000;22.000
11.07.17;10:12:21 AM;7.30;92.710;28.130;33254.000;22.000
11.07.17;10:12:36 AM;7.55;92.590;28.140;33270.000;22.000
11.07.17;10:12:51 AM;7.80;92.710;28.130;33300.000;22.000
11.07.17;10:13:06 AM;8.05;92.350;28.170;33313.000;22.000
