11.07.17/2:07 PM SW ver:OXY10v3_33
Header Ch-9
Description: WWB1-29
IDENTIFICATION
PHIboard number   : v1231481
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 09

PARAMETERS
Signal LED current: 050
Ref LED current   : 072
Ref LED amplitude : 104301
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 034700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 023000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
11.07.17;2:07:14 PM;0.00;94.280;26.720;31388.000;29.000
11.07.17;2:07:29 PM;0.24;94.320;26.720;31423.000;29.000
11.07.17;2:07:44 PM;0.49;93.720;26.790;31427.000;29.000
11.07.17;2:07:59 PM;0.74;94.130;26.740;31485.000;29.000
11.07.17;2:08:14 PM;0.99;94.520;26.700;31433.000;29.000
11.07.17;2:08:29 PM;1.25;94.130;26.740;31524.000;29.000
11.07.17;2:08:44 PM;1.49;93.650;26.790;31514.000;29.000
11.07.17;2:08:59 PM;1.75;93.670;26.790;31476.000;29.000
11.07.17;2:09:14 PM;1.99;93.550;26.800;31518.000;29.000
11.07.17;2:09:29 PM;2.25;93.340;26.830;31538.000;29.000
11.07.17;2:09:44 PM;2.49;93.590;26.800;31505.000;29.000
11.07.17;2:09:59 PM;2.75;93.500;26.810;31554.000;29.000
11.07.17;2:10:14 PM;2.99;93.240;26.840;31543.000;29.000
11.07.17;2:10:29 PM;3.25;93.490;26.810;31561.000;29.000
11.07.17;2:10:44 PM;3.50;93.420;26.820;31595.000;29.000
11.07.17;2:10:59 PM;3.75;93.520;26.810;31578.000;29.000
11.07.17;2:11:14 PM;4.00;93.940;26.760;31578.000;29.000
11.07.17;2:11:29 PM;4.24;93.550;26.800;31611.000;29.000
11.07.17;2:11:44 PM;4.50;93.790;26.780;31630.000;29.000
11.07.17;2:11:59 PM;4.75;93.580;26.800;31641.000;29.000
11.07.17;2:12:14 PM;4.99;92.780;26.890;31671.000;29.000
11.07.17;2:12:29 PM;5.24;92.950;26.870;31670.000;29.000
11.07.17;2:12:44 PM;5.49;92.350;26.940;31688.000;29.000
11.07.17;2:12:59 PM;5.75;92.340;26.940;31666.000;29.000
11.07.17;2:13:14 PM;5.99;92.720;26.900;31687.000;29.000
11.07.17;2:13:29 PM;6.24;92.650;26.910;31693.000;29.000
11.07.17;2:13:44 PM;6.49;92.770;26.890;31755.000;29.000
11.07.17;2:13:59 PM;6.74;92.580;26.910;31741.000;29.000
11.07.17;2:14:14 PM;6.99;92.030;26.980;31794.000;29.000
11.07.17;2:14:29 PM;7.25;92.130;26.960;31767.000;29.000
11.07.17;2:14:44 PM;7.50;92.630;26.910;31778.000;29.000
11.07.17;2:14:59 PM;7.75;91.920;26.990;31786.000;29.000
11.07.17;2:15:14 PM;8.00;92.590;26.910;31809.000;29.000
11.07.17;2:15:29 PM;8.25;92.350;26.940;31836.000;29.000
11.07.17;2:15:44 PM;8.49;92.350;26.940;31819.000;29.000
11.07.17;2:15:59 PM;8.74;91.570;27.030;31844.000;29.000
11.07.17;2:16:14 PM;9.00;91.470;27.040;31874.000;29.000
11.07.17;2:16:29 PM;9.25;92.200;26.960;31874.000;29.000
11.07.17;2:16:44 PM;9.50;91.520;27.040;31891.000;29.000
11.07.17;2:16:59 PM;9.74;91.650;27.020;31909.000;29.000
11.07.17;2:17:14 PM;10.00;91.650;27.020;31882.000;29.000
11.07.17;2:17:29 PM;10.25;91.720;27.010;31924.000;29.000
11.07.17;2:17:44 PM;10.49;91.480;27.040;31928.000;29.000
11.07.17;2:17:59 PM;10.75;91.200;27.070;31950.000;29.000
11.07.17;2:18:14 PM;10.99;91.290;27.060;31989.000;29.000
11.07.17;2:18:29 PM;11.24;91.710;27.010;31986.000;29.000
11.07.17;2:18:44 PM;11.50;91.110;27.080;31979.000;29.000
11.07.17;2:18:59 PM;11.74;92.060;26.970;32018.000;29.000
11.07.17;2:19:14 PM;12.00;90.400;27.170;32040.000;29.000
11.07.17;2:19:29 PM;12.24;90.890;27.110;32018.000;29.000
11.07.17;2:19:44 PM;12.50;90.960;27.100;32046.000;29.000
11.07.17;2:19:59 PM;12.75;90.600;27.140;32063.000;29.000
11.07.17;2:20:14 PM;12.99;90.460;27.160;32078.000;29.000
11.07.17;2:20:29 PM;13.25;90.880;27.110;32088.000;29.000
11.07.17;2:20:44 PM;13.49;90.340;27.170;32114.000;29.000
11.07.17;2:20:59 PM;13.74;90.580;27.140;32079.000;29.000
11.07.17;2:21:14 PM;13.99;91.000;27.100;32112.000;29.000
11.07.17;2:21:29 PM;14.25;90.900;27.110;32140.000;29.000
11.07.17;2:21:44 PM;14.50;90.320;27.170;32150.000;29.000
11.07.17;2:21:59 PM;14.75;90.360;27.170;32199.000;29.000
11.07.17;2:22:14 PM;15.00;89.650;27.250;32210.000;29.000
11.07.17;2:22:29 PM;15.24;90.060;27.200;32200.000;29.000
11.07.17;2:22:44 PM;15.50;89.910;27.220;32231.000;29.000
11.07.17;2:22:59 PM;15.75;89.710;27.250;32264.000;29.000
11.07.17;2:23:14 PM;16.00;89.880;27.230;32254.000;29.000
11.07.17;2:23:29 PM;16.25;89.700;27.250;32270.000;29.000
11.07.17;2:23:44 PM;16.50;89.830;27.230;32315.000;29.000
11.07.17;2:23:59 PM;16.75;89.700;27.250;32310.000;29.000
11.07.17;2:24:14 PM;17.00;88.980;27.330;32316.000;29.000
11.07.17;2:24:29 PM;17.25;89.250;27.300;32325.000;29.000
11.07.17;2:24:44 PM;17.49;89.340;27.290;32357.000;29.000
11.07.17;2:24:59 PM;17.75;89.060;27.320;32337.000;29.000
11.07.17;2:25:14 PM;17.99;88.960;27.330;32381.000;29.000
11.07.17;2:25:29 PM;18.24;88.820;27.350;32413.000;29.000
11.07.17;2:25:44 PM;18.49;88.840;27.350;32457.000;29.000
11.07.17;2:25:59 PM;18.74;88.760;27.360;32436.000;29.000
11.07.17;2:26:14 PM;19.00;89.220;27.300;32469.000;29.000
11.07.17;2:26:29 PM;19.25;89.130;27.310;32495.000;29.000
11.07.17;2:26:44 PM;19.50;88.480;27.390;32528.000;29.000
11.07.17;2:26:59 PM;19.75;88.990;27.330;32507.000;29.000
11.07.17;2:27:14 PM;19.99;88.590;27.380;32588.000;29.000
11.07.17;2:27:29 PM;20.25;87.460;27.520;32549.000;29.000
11.07.17;2:27:44 PM;20.50;88.690;27.370;32550.000;29.000
