11.07.17/1:31 PM SW ver:OXY10v3_33
Header Ch-10
Description: TBG2-29
IDENTIFICATION
PHIboard number   : v1231482
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 10

PARAMETERS
Signal LED current: 050
Ref LED current   : 068
Ref LED amplitude : 101903
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 045200
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
11.07.17;1:31:37 PM;0.00;95.510;26.590;34309.000;29.000
11.07.17;1:31:46 PM;0.14;94.630;26.680;34309.000;29.000
11.07.17;1:32:01 PM;0.39;94.920;26.650;34303.000;29.000
11.07.17;1:32:16 PM;0.64;95.070;26.640;34315.000;29.000
11.07.17;1:32:31 PM;0.89;94.890;26.660;34323.000;29.000
11.07.17;1:32:46 PM;1.14;94.700;26.680;34316.000;29.000
11.07.17;1:33:01 PM;1.39;95.230;26.620;34319.000;29.000
11.07.17;1:33:16 PM;1.64;95.110;26.630;34348.000;29.000
11.07.17;1:33:31 PM;1.89;95.420;26.600;34363.000;29.000
11.07.17;1:33:46 PM;2.14;94.940;26.650;34376.000;29.000
11.07.17;1:34:01 PM;2.39;94.710;26.680;34388.000;29.000
11.07.17;1:34:16 PM;2.64;94.760;26.670;34357.000;29.000
11.07.17;1:34:31 PM;2.89;94.880;26.660;34390.000;29.000
11.07.17;1:34:46 PM;3.14;94.960;26.650;34390.000;29.000
11.07.17;1:35:01 PM;3.39;94.320;26.720;34397.000;29.000
11.07.17;1:35:16 PM;3.64;94.660;26.680;34432.000;29.000
11.07.17;1:35:31 PM;3.89;94.130;26.740;34429.000;29.000
11.07.17;1:35:46 PM;4.14;94.520;26.700;34463.000;29.000
11.07.17;1:36:01 PM;4.39;94.420;26.710;34468.000;29.000
11.07.17;1:36:16 PM;4.64;94.510;26.700;34495.000;29.000
11.07.17;1:36:31 PM;4.89;94.410;26.710;34510.000;29.000
11.07.17;1:36:46 PM;5.14;93.730;26.780;34520.000;29.000
11.07.17;1:37:01 PM;5.39;93.600;26.800;34525.000;29.000
11.07.17;1:37:16 PM;5.64;94.120;26.740;34543.000;29.000
11.07.17;1:37:31 PM;5.89;93.600;26.800;34575.000;29.000
11.07.17;1:37:46 PM;6.14;93.700;26.790;34555.000;29.000
11.07.17;1:38:01 PM;6.39;93.160;26.850;34590.000;29.000
11.07.17;1:38:16 PM;6.64;93.340;26.830;34607.000;29.000
11.07.17;1:38:31 PM;6.89;93.370;26.820;34605.000;29.000
11.07.17;1:38:46 PM;7.14;93.050;26.860;34633.000;29.000
11.07.17;1:39:01 PM;7.39;93.180;26.850;34713.000;29.000
11.07.17;1:39:16 PM;7.64;92.570;26.910;34678.000;29.000
11.07.17;1:39:31 PM;7.89;93.120;26.850;34724.000;29.000
