11.07.17/1:31 PM SW ver:OXY10v3_33
Header Ch-8
Description: WBN3-29
IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 103813
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
11.07.17;1:31:36 PM;0.00;94.250;26.730;25823.000;29.000
11.07.17;1:31:42 PM;0.10;93.960;26.760;25832.000;29.000
11.07.17;1:31:57 PM;0.35;94.250;26.730;25856.000;29.000
11.07.17;1:32:12 PM;0.60;94.260;26.730;25785.000;29.000
11.07.17;1:32:27 PM;0.85;94.290;26.720;25914.000;29.000
11.07.17;1:32:42 PM;1.10;93.890;26.770;25905.000;29.000
11.07.17;1:32:57 PM;1.35;93.350;26.830;25938.000;29.000
11.07.17;1:33:12 PM;1.60;93.260;26.840;25942.000;29.000
11.07.17;1:33:27 PM;1.85;93.480;26.810;25981.000;29.000
11.07.17;1:33:42 PM;2.10;92.860;26.880;25992.000;29.000
11.07.17;1:33:57 PM;2.35;93.430;26.820;26028.000;29.000
11.07.17;1:34:12 PM;2.60;92.780;26.890;26005.000;29.000
11.07.17;1:34:27 PM;2.85;93.410;26.820;26051.000;29.000
11.07.17;1:34:42 PM;3.10;93.150;26.850;26076.000;29.000
11.07.17;1:34:57 PM;3.35;92.220;26.950;26065.000;29.000
11.07.17;1:35:12 PM;3.60;92.020;26.980;26125.000;29.000
11.07.17;1:35:27 PM;3.85;92.610;26.910;26140.000;29.000
11.07.17;1:35:42 PM;4.10;92.010;26.980;26159.000;29.000
11.07.17;1:35:57 PM;4.35;91.790;27.000;26163.000;29.000
11.07.17;1:36:12 PM;4.60;91.620;27.020;26181.000;29.000
11.07.17;1:36:27 PM;4.85;91.320;27.060;26207.000;29.000
11.07.17;1:36:42 PM;5.10;91.380;27.050;26259.000;29.000
11.07.17;1:36:57 PM;5.35;91.140;27.080;26267.000;29.000
11.07.17;1:37:12 PM;5.60;91.420;27.050;26310.000;29.000
11.07.17;1:37:27 PM;5.85;90.880;27.110;26328.000;29.000
11.07.17;1:37:42 PM;6.10;90.310;27.180;26352.000;29.000
11.07.17;1:37:57 PM;6.35;90.840;27.110;26368.000;29.000
11.07.17;1:38:12 PM;6.60;90.460;27.160;26417.000;29.000
11.07.17;1:38:27 PM;6.85;90.510;27.150;26427.000;29.000
11.07.17;1:38:42 PM;7.10;90.220;27.190;26454.000;29.000
11.07.17;1:38:57 PM;7.35;90.130;27.200;26463.000;29.000
11.07.17;1:39:12 PM;7.60;89.600;27.260;26502.000;29.000
11.07.17;1:39:27 PM;7.85;89.960;27.220;26532.000;29.000
11.07.17;1:39:42 PM;8.10;89.390;27.280;26531.000;29.000
11.07.17;1:39:57 PM;8.35;89.440;27.280;26556.000;29.000
11.07.17;1:40:12 PM;8.60;89.190;27.310;26580.000;29.000
11.07.17;1:40:27 PM;8.85;89.600;27.260;26587.000;29.000
11.07.17;1:40:42 PM;9.10;89.080;27.320;26648.000;29.000
11.07.17;1:40:57 PM;9.35;89.260;27.300;26636.000;29.000
11.07.17;1:41:12 PM;9.60;88.720;27.360;26674.000;29.000
11.07.17;1:41:27 PM;9.85;88.230;27.420;26681.000;29.000
11.07.17;1:41:42 PM;10.10;88.750;27.360;26733.000;29.000
11.07.17;1:41:57 PM;10.35;88.650;27.370;26745.000;29.000
11.07.17;1:42:12 PM;10.60;88.010;27.450;26750.000;29.000
