11.07.17/3:51 PM SW ver:OXY10v3_33
Header Ch-8
Description: WBN3-32
IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 103813
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
11.07.17;3:51:56 PM;0.00;92.780;26.390;24984.000;32.000
11.07.17;3:52:08 PM;0.21;93.240;26.340;25037.000;32.000
11.07.17;3:52:23 PM;0.46;93.230;26.340;25025.000;32.000
11.07.17;3:52:38 PM;0.71;94.150;26.240;25043.000;32.000
11.07.17;3:52:53 PM;0.96;93.700;26.290;25079.000;32.000
11.07.17;3:53:08 PM;1.21;92.550;26.420;25050.000;32.000
11.07.17;3:53:23 PM;1.46;92.550;26.420;25045.000;32.000
11.07.17;3:53:38 PM;1.71;93.570;26.300;25070.000;32.000
11.07.17;3:53:53 PM;1.96;93.870;26.270;25079.000;32.000
11.07.17;3:54:08 PM;2.21;92.110;26.470;25077.000;32.000
11.07.17;3:54:23 PM;2.46;93.730;26.290;25079.000;32.000
11.07.17;3:54:38 PM;2.71;92.460;26.430;25111.000;32.000
11.07.17;3:54:53 PM;2.96;92.670;26.400;25133.000;32.000
11.07.17;3:55:08 PM;3.21;92.640;26.410;25108.000;32.000
11.07.17;3:55:23 PM;3.46;92.420;26.430;25156.000;32.000
11.07.17;3:55:38 PM;3.71;92.740;26.400;25150.000;32.000
11.07.17;3:55:53 PM;3.96;92.610;26.410;25144.000;32.000
11.07.17;3:56:08 PM;4.21;91.840;26.500;25158.000;32.000
11.07.17;3:56:23 PM;4.46;92.650;26.410;25182.000;32.000
11.07.17;3:56:38 PM;4.71;92.720;26.400;25229.000;32.000
11.07.17;3:56:53 PM;4.96;92.710;26.400;25165.000;32.000
11.07.17;3:57:08 PM;5.21;92.230;26.450;25213.000;32.000
11.07.17;3:57:23 PM;5.46;92.250;26.450;25265.000;32.000
11.07.17;3:57:38 PM;5.71;91.490;26.540;25276.000;32.000
11.07.17;3:57:53 PM;5.96;91.870;26.490;25203.000;32.000
11.07.17;3:58:08 PM;6.21;91.550;26.530;25263.000;32.000
11.07.17;3:58:23 PM;6.46;91.270;26.560;25261.000;32.000
11.07.17;3:58:38 PM;6.71;91.100;26.580;25295.000;32.000
11.07.17;3:58:53 PM;6.96;91.680;26.510;25274.000;32.000
11.07.17;3:59:08 PM;7.21;91.080;26.580;25312.000;32.000
11.07.17;3:59:23 PM;7.46;91.970;26.480;25314.000;32.000
11.07.17;3:59:38 PM;7.71;91.230;26.570;25328.000;32.000
11.07.17;3:59:53 PM;7.96;91.330;26.550;25352.000;32.000
11.07.17;4:00:08 PM;8.21;91.030;26.590;25370.000;32.000
11.07.17;4:00:23 PM;8.46;91.310;26.560;25359.000;32.000
11.07.17;4:00:38 PM;8.71;90.760;26.620;25431.000;32.000
11.07.17;4:00:53 PM;8.96;90.090;26.700;25424.000;32.000
11.07.17;4:01:08 PM;9.21;89.840;26.730;25377.000;32.000
11.07.17;4:01:23 PM;9.46;89.690;26.740;25442.000;32.000
11.07.17;4:01:38 PM;9.71;90.130;26.690;25443.000;32.000
11.07.17;4:01:53 PM;9.96;90.580;26.640;25468.000;32.000
11.07.17;4:02:08 PM;10.21;90.410;26.660;25475.000;32.000
11.07.17;4:02:23 PM;10.46;90.050;26.700;25498.000;32.000
11.07.17;4:02:38 PM;10.71;89.850;26.720;25462.000;32.000
11.07.17;4:02:53 PM;10.96;90.340;26.670;25530.000;32.000
