11.07.17/3:18 PM SW ver:OXY10v3_33
Header Ch-8
Description: WBN3-32
IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 103813
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
11.07.17;3:18:44 PM;0.00;91.600;26.520;25503.000;32.000
11.07.17;3:18:53 PM;0.16;91.550;26.530;25493.000;32.000
11.07.17;3:19:08 PM;0.41;91.390;26.550;25532.000;32.000
11.07.17;3:19:23 PM;0.66;90.990;26.590;25554.000;32.000
11.07.17;3:19:38 PM;0.91;90.950;26.600;25532.000;32.000
11.07.17;3:19:53 PM;1.16;91.030;26.590;25598.000;32.000
11.07.17;3:20:08 PM;1.41;89.990;26.710;25575.000;32.000
11.07.17;3:20:23 PM;1.66;90.610;26.640;25644.000;32.000
11.07.17;3:20:38 PM;1.91;90.130;26.690;25633.000;32.000
11.07.17;3:20:53 PM;2.16;90.660;26.630;25672.000;32.000
11.07.17;3:21:08 PM;2.41;89.960;26.710;25698.000;32.000
11.07.17;3:21:23 PM;2.66;89.740;26.740;25720.000;32.000
11.07.17;3:21:38 PM;2.91;89.580;26.760;25762.000;32.000
11.07.17;3:21:53 PM;3.16;89.340;26.780;25750.000;32.000
11.07.17;3:22:08 PM;3.41;89.490;26.770;25780.000;32.000
11.07.17;3:22:23 PM;3.66;88.910;26.840;25786.000;32.000
11.07.17;3:22:38 PM;3.91;89.000;26.820;25811.000;32.000
11.07.17;3:22:53 PM;4.16;88.770;26.850;25849.000;32.000
11.07.17;3:23:08 PM;4.41;89.300;26.790;25851.000;32.000
