11.07.17/3:18 PM SW ver:OXY10v3_33
Header Ch-9
Description: WWB1-32
IDENTIFICATION
PHIboard number   : v1231481
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 09

PARAMETERS
Signal LED current: 050
Ref LED current   : 072
Ref LED amplitude : 104301
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 034700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 023000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
11.07.17;3:18:45 PM;0.00;92.590;26.410;30667.000;32.000
11.07.17;3:18:55 PM;0.17;93.480;26.310;30710.000;32.000
11.07.17;3:19:10 PM;0.42;92.860;26.380;30706.000;32.000
11.07.17;3:19:25 PM;0.67;93.320;26.330;30720.000;32.000
11.07.17;3:19:40 PM;0.92;92.500;26.420;30750.000;32.000
11.07.17;3:19:55 PM;1.17;92.560;26.420;30761.000;32.000
11.07.17;3:20:10 PM;1.42;92.640;26.410;30792.000;32.000
11.07.17;3:20:25 PM;1.67;92.750;26.390;30766.000;32.000
11.07.17;3:20:40 PM;1.92;92.760;26.390;30837.000;32.000
11.07.17;3:20:55 PM;2.17;92.130;26.460;30823.000;32.000
11.07.17;3:21:10 PM;2.42;92.240;26.450;30866.000;32.000
11.07.17;3:21:25 PM;2.67;92.580;26.410;30888.000;32.000
11.07.17;3:21:40 PM;2.92;92.770;26.390;30895.000;32.000
11.07.17;3:21:55 PM;3.17;92.290;26.450;30947.000;32.000
11.07.17;3:22:10 PM;3.42;91.710;26.510;30941.000;32.000
11.07.17;3:22:25 PM;3.67;91.890;26.490;30949.000;32.000
11.07.17;3:22:40 PM;3.92;91.930;26.490;30999.000;32.000
11.07.17;3:22:55 PM;4.17;91.480;26.540;30991.000;32.000
11.07.17;3:23:10 PM;4.42;91.880;26.490;30987.000;32.000
11.07.17;3:23:25 PM;4.67;91.550;26.530;31040.000;32.000
11.07.17;3:23:40 PM;4.92;91.340;26.550;31039.000;32.000
11.07.17;3:23:55 PM;5.17;91.340;26.550;31047.000;32.000
