12.07.17/12:50 PM SW ver:OXY10v3_33
Header Ch-4
Description: TBO3-12
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 99754
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
12.07.17;12:50:18 PM;0.00;95.780;29.670;27865.000;12.000
12.07.17;12:50:27 PM;0.15;95.530;29.700;27890.000;12.000
12.07.17;12:50:42 PM;0.40;95.250;29.730;27915.000;12.000
12.07.17;12:50:57 PM;0.65;96.030;29.640;27879.000;12.000
12.07.17;12:51:12 PM;0.90;95.860;29.660;27879.000;12.000
12.07.17;12:51:27 PM;1.15;95.670;29.680;27873.000;12.000
12.07.17;12:51:42 PM;1.40;95.980;29.650;27888.000;12.000
12.07.17;12:51:57 PM;1.65;95.460;29.710;27933.000;12.000
12.07.17;12:52:12 PM;1.90;96.140;29.630;27955.000;12.000
12.07.17;12:52:27 PM;2.15;96.100;29.640;27987.000;12.000
12.07.17;12:52:42 PM;2.40;95.430;29.710;27917.000;12.000
12.07.17;12:52:57 PM;2.65;96.290;29.610;27966.000;12.000
12.07.17;12:53:12 PM;2.90;95.100;29.750;27957.000;12.000
12.07.17;12:53:27 PM;3.15;95.420;29.710;27954.000;12.000
12.07.17;12:53:42 PM;3.40;95.390;29.720;27917.000;12.000
12.07.17;12:53:57 PM;3.65;95.040;29.760;27928.000;12.000
12.07.17;12:54:12 PM;3.90;95.460;29.710;27928.000;12.000
12.07.17;12:54:27 PM;4.15;95.690;29.680;27914.000;12.000
12.07.17;12:54:42 PM;4.40;95.200;29.740;27915.000;12.000
12.07.17;12:54:57 PM;4.65;95.980;29.650;27922.000;12.000
12.07.17;12:55:12 PM;4.90;95.110;29.750;27892.000;12.000
12.07.17;12:55:27 PM;5.15;95.260;29.730;27922.000;12.000
12.07.17;12:55:42 PM;5.40;96.070;29.640;27876.000;12.000
12.07.17;12:55:57 PM;5.65;95.420;29.710;27930.000;12.000
12.07.17;12:56:12 PM;5.90;95.650;29.690;27890.000;12.000
12.07.17;12:56:27 PM;6.15;94.880;29.780;27902.000;12.000
12.07.17;12:56:42 PM;6.40;95.190;29.740;27903.000;12.000
12.07.17;12:56:57 PM;6.65;95.170;29.740;27885.000;12.000
12.07.17;12:57:12 PM;6.90;95.030;29.760;27889.000;12.000
12.07.17;12:57:27 PM;7.15;95.610;29.690;27890.000;12.000
12.07.17;12:57:42 PM;7.40;94.260;29.850;27891.000;12.000
12.07.17;12:57:57 PM;7.65;95.450;29.710;27855.000;12.000
12.07.17;12:58:12 PM;7.90;95.660;29.690;27887.000;12.000
12.07.17;12:58:27 PM;8.15;95.940;29.650;27855.000;12.000
12.07.17;12:58:42 PM;8.40;95.130;29.750;27897.000;12.000
12.07.17;12:58:57 PM;8.65;95.380;29.720;27915.000;12.000
12.07.17;12:59:12 PM;8.90;95.050;29.760;27922.000;12.000
12.07.17;12:59:27 PM;9.15;95.790;29.670;27920.000;12.000
12.07.17;12:59:42 PM;9.40;95.800;29.670;27915.000;12.000
12.07.17;12:59:57 PM;9.65;95.760;29.670;27948.000;12.000
12.07.17;1:00:12 PM;9.90;94.860;29.780;27959.000;12.000
12.07.17;1:00:27 PM;10.15;95.330;29.720;27951.000;12.000
12.07.17;1:00:42 PM;10.40;95.100;29.750;27903.000;12.000
12.07.17;1:00:57 PM;10.65;95.270;29.730;27923.000;12.000
12.07.17;1:01:12 PM;10.90;95.190;29.740;27898.000;12.000
12.07.17;1:01:27 PM;11.15;95.980;29.650;27918.000;12.000
12.07.17;1:01:42 PM;11.40;95.150;29.750;27913.000;12.000
12.07.17;1:01:57 PM;11.65;95.690;29.680;27890.000;12.000
12.07.17;1:02:12 PM;11.90;95.060;29.760;27883.000;12.000
12.07.17;1:02:27 PM;12.15;95.240;29.740;27895.000;12.000
12.07.17;1:02:42 PM;12.40;95.030;29.760;27891.000;12.000
12.07.17;1:02:57 PM;12.65;95.020;29.760;27919.000;12.000
12.07.17;1:03:12 PM;12.90;95.490;29.710;27877.000;12.000
12.07.17;1:03:27 PM;13.15;95.670;29.690;27909.000;12.000
12.07.17;1:03:42 PM;13.40;95.580;29.700;27884.000;12.000
12.07.17;1:03:57 PM;13.65;95.560;29.700;27883.000;12.000
12.07.17;1:04:12 PM;13.90;95.790;29.670;27867.000;12.000
12.07.17;1:04:27 PM;14.15;94.890;29.780;27897.000;12.000
12.07.17;1:04:42 PM;14.40;95.450;29.710;27873.000;12.000
12.07.17;1:04:57 PM;14.65;94.530;29.820;27897.000;12.000
12.07.17;1:05:12 PM;14.90;95.400;29.720;27926.000;12.000
12.07.17;1:05:27 PM;15.15;95.700;29.680;27907.000;12.000
12.07.17;1:05:42 PM;15.40;94.650;29.800;27935.000;12.000
12.07.17;1:05:57 PM;15.65;95.920;29.660;27945.000;12.000
12.07.17;1:06:12 PM;15.90;94.820;29.780;27955.000;12.000
12.07.17;1:06:27 PM;16.15;96.130;29.630;27909.000;12.000
12.07.17;1:06:42 PM;16.40;95.220;29.740;27940.000;12.000
12.07.17;1:06:57 PM;16.65;94.920;29.770;27910.000;12.000
12.07.17;1:07:12 PM;16.90;94.860;29.780;27963.000;12.000
12.07.17;1:07:27 PM;17.15;94.970;29.770;27900.000;12.000
12.07.17;1:07:42 PM;17.40;95.780;29.670;27916.000;12.000
12.07.17;1:07:57 PM;17.65;95.440;29.710;27909.000;12.000
12.07.17;1:08:12 PM;17.90;95.250;29.730;27895.000;12.000
12.07.17;1:08:27 PM;18.15;94.940;29.770;27892.000;12.000
12.07.17;1:08:42 PM;18.40;94.880;29.780;27909.000;12.000
12.07.17;1:08:57 PM;18.65;94.380;29.840;27912.000;12.000
12.07.17;1:09:12 PM;18.90;95.050;29.760;27920.000;12.000
12.07.17;1:09:27 PM;19.15;94.870;29.780;27909.000;12.000
12.07.17;1:09:42 PM;19.40;94.860;29.780;27925.000;12.000
12.07.17;1:09:57 PM;19.65;95.500;29.700;27925.000;12.000
12.07.17;1:10:12 PM;19.90;95.400;29.720;27906.000;12.000
12.07.17;1:10:27 PM;20.15;95.090;29.750;27991.000;12.000
12.07.17;1:10:42 PM;20.40;95.070;29.760;27903.000;12.000
12.07.17;1:10:57 PM;20.65;95.460;29.710;27912.000;12.000
