12.07.17/12:50 PM SW ver:OXY10v3_33
Header Ch-6
Description: WBF5-12
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 102343
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
12.07.17;12:50:19 PM;0.00;97.240;29.500;39498.000;12.000
12.07.17;12:50:30 PM;0.19;97.560;29.470;39504.000;12.000
12.07.17;12:50:45 PM;0.44;98.800;29.330;39467.000;12.000
12.07.17;12:51:00 PM;0.69;97.700;29.450;39472.000;12.000
12.07.17;12:51:15 PM;0.94;97.850;29.430;39499.000;12.000
12.07.17;12:51:30 PM;1.19;98.770;29.330;39533.000;12.000
12.07.17;12:51:45 PM;1.44;97.520;29.470;39459.000;12.000
12.07.17;12:52:00 PM;1.69;97.740;29.450;39483.000;12.000
12.07.17;12:52:15 PM;1.94;98.480;29.360;39485.000;12.000
12.07.17;12:52:30 PM;2.19;97.990;29.420;39430.000;12.000
12.07.17;12:52:45 PM;2.44;98.120;29.400;39429.000;12.000
12.07.17;12:53:00 PM;2.69;97.640;29.460;39442.000;12.000
12.07.17;12:53:15 PM;2.94;98.550;29.350;39447.000;12.000
12.07.17;12:53:30 PM;3.19;98.310;29.380;39416.000;12.000
12.07.17;12:53:45 PM;3.44;97.330;29.490;39481.000;12.000
12.07.17;12:54:00 PM;3.69;97.850;29.430;39460.000;12.000
12.07.17;12:54:15 PM;3.94;97.200;29.510;39423.000;12.000
12.07.17;12:54:30 PM;4.19;98.180;29.400;39420.000;12.000
12.07.17;12:54:45 PM;4.44;98.130;29.400;39413.000;12.000
12.07.17;12:55:00 PM;4.69;97.780;29.440;39476.000;12.000
12.07.17;12:55:15 PM;4.94;98.300;29.380;39449.000;12.000
12.07.17;12:55:30 PM;5.19;97.590;29.460;39477.000;12.000
12.07.17;12:55:45 PM;5.44;97.670;29.450;39414.000;12.000
12.07.17;12:56:00 PM;5.69;98.070;29.410;39438.000;12.000
12.07.17;12:56:15 PM;5.94;97.490;29.480;39494.000;12.000
12.07.17;12:56:30 PM;6.19;98.090;29.410;39496.000;12.000
12.07.17;12:56:45 PM;6.44;97.520;29.470;39407.000;12.000
12.07.17;12:57:00 PM;6.69;98.210;29.390;39425.000;12.000
12.07.17;12:57:15 PM;6.94;97.790;29.440;39466.000;12.000
