12.07.17/12:50 PM SW ver:OXY10v3_33
Header Ch-7
Description: WWC1-12
IDENTIFICATION
PHIboard number   : v1231479
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 07

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 98107
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 040800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 027000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
12.07.17;12:50:20 PM;0.00;95.190;29.740;35172.000;12.000
12.07.17;12:50:32 PM;0.21;95.660;29.690;35172.000;12.000
12.07.17;12:50:47 PM;0.46;94.910;29.770;35192.000;12.000
12.07.17;12:51:02 PM;0.71;94.850;29.780;35216.000;12.000
12.07.17;12:51:17 PM;0.96;95.260;29.730;35216.000;12.000
12.07.17;12:51:32 PM;1.21;95.070;29.760;35226.000;12.000
12.07.17;12:51:47 PM;1.46;94.730;29.800;35194.000;12.000
12.07.17;12:52:02 PM;1.71;94.920;29.770;35234.000;12.000
12.07.17;12:52:17 PM;1.96;94.810;29.790;35203.000;12.000
12.07.17;12:52:32 PM;2.21;94.720;29.800;35212.000;12.000
12.07.17;12:52:47 PM;2.46;95.250;29.730;35198.000;12.000
12.07.17;12:53:02 PM;2.71;95.290;29.730;35219.000;12.000
12.07.17;12:53:17 PM;2.96;94.830;29.780;35241.000;12.000
12.07.17;12:53:32 PM;3.21;95.010;29.760;35229.000;12.000
12.07.17;12:53:47 PM;3.46;95.150;29.750;35217.000;12.000
12.07.17;12:54:02 PM;3.71;94.900;29.780;35188.000;12.000
12.07.17;12:54:17 PM;3.96;94.720;29.800;35228.000;12.000
12.07.17;12:54:32 PM;4.21;94.730;29.800;35226.000;12.000
12.07.17;12:54:47 PM;4.46;95.150;29.750;35228.000;12.000
12.07.17;12:55:02 PM;4.71;94.730;29.800;35214.000;12.000
12.07.17;12:55:17 PM;4.96;94.480;29.820;35226.000;12.000
12.07.17;12:55:32 PM;5.21;95.200;29.740;35238.000;12.000
12.07.17;12:55:47 PM;5.46;94.380;29.840;35239.000;12.000
12.07.17;12:56:02 PM;5.71;94.780;29.790;35246.000;12.000
12.07.17;12:56:17 PM;5.96;94.740;29.790;35285.000;12.000
12.07.17;12:56:32 PM;6.21;94.780;29.790;35251.000;12.000
12.07.17;12:56:47 PM;6.46;94.810;29.790;35266.000;12.000
12.07.17;12:57:02 PM;6.71;94.740;29.790;35266.000;12.000
12.07.17;12:57:17 PM;6.96;94.720;29.800;35269.000;12.000
12.07.17;12:57:32 PM;7.21;94.810;29.790;35253.000;12.000
12.07.17;12:57:47 PM;7.46;94.410;29.830;35263.000;12.000
12.07.17;12:58:02 PM;7.71;94.640;29.810;35300.000;12.000
12.07.17;12:58:17 PM;7.96;94.590;29.810;35311.000;12.000
12.07.17;12:58:32 PM;8.21;94.590;29.810;35296.000;12.000
12.07.17;12:58:47 PM;8.46;94.190;29.860;35294.000;12.000
12.07.17;12:59:02 PM;8.71;94.820;29.780;35330.000;12.000
