12.07.17/12:17 PM SW ver:OXY10v3_33
Header Ch-3
Description: WWI3-12
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 106468
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 030000
100.00%a.s.phase 2: 27.68 at 020.0°C amp 033000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
12.07.17;12:17:52 PM;0.00;95.090;29.750;33278.000;12.000
12.07.17;12:17:55 PM;0.05;95.060;29.760;33246.000;12.000
12.07.17;12:18:10 PM;0.30;95.050;29.760;33232.000;12.000
12.07.17;12:18:25 PM;0.55;95.290;29.730;33241.000;12.000
12.07.17;12:18:40 PM;0.80;95.170;29.740;33255.000;12.000
12.07.17;12:18:55 PM;1.05;94.830;29.780;33252.000;12.000
12.07.17;12:19:10 PM;1.30;94.970;29.770;33262.000;12.000
12.07.17;12:19:25 PM;1.55;95.290;29.730;33253.000;12.000
12.07.17;12:19:40 PM;1.80;95.040;29.760;33242.000;12.000
12.07.17;12:19:55 PM;2.05;94.710;29.800;33242.000;12.000
12.07.17;12:20:10 PM;2.30;94.800;29.790;33261.000;12.000
12.07.17;12:20:25 PM;2.55;95.080;29.750;33219.000;12.000
12.07.17;12:20:40 PM;2.80;94.710;29.800;33274.000;12.000
12.07.17;12:20:55 PM;3.05;95.100;29.750;33271.000;12.000
12.07.17;12:21:10 PM;3.30;94.890;29.780;33285.000;12.000
12.07.17;12:21:25 PM;3.55;94.750;29.790;33243.000;12.000
12.07.17;12:21:40 PM;3.80;94.840;29.780;33252.000;12.000
12.07.17;12:21:55 PM;4.05;94.770;29.790;33282.000;12.000
12.07.17;12:22:10 PM;4.30;94.870;29.780;33270.000;12.000
12.07.17;12:22:25 PM;4.55;95.000;29.760;33254.000;12.000
12.07.17;12:22:40 PM;4.80;94.910;29.770;33287.000;12.000
12.07.17;12:22:55 PM;5.05;94.750;29.790;33270.000;12.000
12.07.17;12:23:10 PM;5.30;94.860;29.780;33308.000;12.000
12.07.17;12:23:25 PM;5.55;94.370;29.840;33286.000;12.000
12.07.17;12:23:40 PM;5.80;94.810;29.790;33301.000;12.000
12.07.17;12:23:55 PM;6.05;94.600;29.810;33307.000;12.000
12.07.17;12:24:10 PM;6.30;94.630;29.810;33286.000;12.000
12.07.17;12:24:25 PM;6.55;94.520;29.820;33319.000;12.000
12.07.17;12:24:40 PM;6.80;94.610;29.810;33312.000;12.000
12.07.17;12:24:55 PM;7.05;94.720;29.800;33289.000;12.000
12.07.17;12:25:10 PM;7.30;94.550;29.820;33323.000;12.000
12.07.17;12:25:25 PM;7.55;94.810;29.790;33339.000;12.000
12.07.17;12:25:40 PM;7.80;94.640;29.810;33320.000;12.000
12.07.17;12:25:55 PM;8.05;94.700;29.800;33329.000;12.000
12.07.17;12:26:10 PM;8.30;94.760;29.790;33328.000;12.000
12.07.17;12:26:25 PM;8.55;94.640;29.810;33358.000;12.000
12.07.17;12:26:40 PM;8.80;94.320;29.840;33344.000;12.000
12.07.17;12:26:55 PM;9.05;94.330;29.840;33361.000;12.000
12.07.17;12:27:10 PM;9.30;94.660;29.800;33358.000;12.000
12.07.17;12:27:25 PM;9.55;94.010;29.880;33359.000;12.000
12.07.17;12:27:40 PM;9.80;94.640;29.810;33367.000;12.000
12.07.17;12:27:55 PM;10.05;94.340;29.840;33381.000;12.000
12.07.17;12:28:10 PM;10.30;93.770;29.910;33379.000;12.000
12.07.17;12:28:25 PM;10.55;93.760;29.910;33424.000;12.000
12.07.17;12:28:40 PM;10.80;93.870;29.900;33366.000;12.000
12.07.17;12:28:55 PM;11.05;94.420;29.830;33400.000;12.000
12.07.17;12:29:10 PM;11.30;94.460;29.830;33409.000;12.000
12.07.17;12:29:25 PM;11.55;94.560;29.820;33405.000;12.000
12.07.17;12:29:40 PM;11.80;94.350;29.840;33422.000;12.000
12.07.17;12:29:55 PM;12.05;94.180;29.860;33434.000;12.000
12.07.17;12:30:10 PM;12.30;94.000;29.880;33449.000;12.000
12.07.17;12:30:25 PM;12.55;93.800;29.910;33411.000;12.000
12.07.17;12:30:40 PM;12.80;94.250;29.850;33434.000;12.000
12.07.17;12:30:55 PM;13.05;94.100;29.870;33474.000;12.000
12.07.17;12:31:10 PM;13.30;94.090;29.870;33435.000;12.000
12.07.17;12:31:25 PM;13.55;94.160;29.860;33461.000;12.000
12.07.17;12:31:40 PM;13.80;93.970;29.890;33442.000;12.000
12.07.17;12:31:55 PM;14.05;93.500;29.940;33464.000;12.000
