12.07.17/12:17 PM SW ver:OXY10v3_33
Header Ch-4
Description: TBO3-12
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 99754
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
12.07.17;12:17:52 PM;0.00;96.060;29.640;27897.000;12.000
12.07.17;12:17:57 PM;0.08;95.520;29.700;27927.000;12.000
12.07.17;12:18:12 PM;0.32;95.800;29.670;27912.000;12.000
12.07.17;12:18:27 PM;0.57;95.840;29.670;27892.000;12.000
12.07.17;12:18:42 PM;0.82;96.050;29.640;27925.000;12.000
12.07.17;12:18:57 PM;1.07;95.590;29.690;27909.000;12.000
12.07.17;12:19:12 PM;1.33;95.670;29.680;27900.000;12.000
12.07.17;12:19:27 PM;1.58;95.670;29.680;27907.000;12.000
12.07.17;12:19:42 PM;1.83;95.480;29.710;27919.000;12.000
12.07.17;12:19:57 PM;2.08;96.310;29.610;27920.000;12.000
12.07.17;12:20:12 PM;2.33;95.090;29.750;27919.000;12.000
12.07.17;12:20:27 PM;2.57;95.260;29.730;27907.000;12.000
12.07.17;12:20:42 PM;2.83;95.090;29.750;27934.000;12.000
12.07.17;12:20:57 PM;3.07;95.770;29.670;27907.000;12.000
12.07.17;12:21:12 PM;3.32;95.450;29.710;27924.000;12.000
12.07.17;12:21:27 PM;3.57;96.010;29.650;27912.000;12.000
12.07.17;12:21:42 PM;3.82;95.400;29.720;27936.000;12.000
12.07.17;12:21:57 PM;4.08;95.210;29.740;27940.000;12.000
