12.07.17/12:17 PM SW ver:OXY10v3_33
Header Ch-6
Description: WBF5-12
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 102343
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
12.07.17;12:17:54 PM;0.00;97.680;29.450;39584.000;12.000
12.07.17;12:18:00 PM;0.11;98.070;29.410;39606.000;12.000
12.07.17;12:18:15 PM;0.36;97.430;29.480;39582.000;12.000
12.07.17;12:18:30 PM;0.61;97.580;29.460;39560.000;12.000
12.07.17;12:18:45 PM;0.86;97.010;29.530;39552.000;12.000
12.07.17;12:19:00 PM;1.11;97.360;29.490;39553.000;12.000
12.07.17;12:19:15 PM;1.36;97.800;29.440;39532.000;12.000
12.07.17;12:19:30 PM;1.61;97.350;29.490;39522.000;12.000
12.07.17;12:19:45 PM;1.86;97.450;29.480;39532.000;12.000
12.07.17;12:20:00 PM;2.11;97.430;29.480;39544.000;12.000
12.07.17;12:20:15 PM;2.36;97.590;29.460;39567.000;12.000
12.07.17;12:20:30 PM;2.61;97.360;29.490;39510.000;12.000
12.07.17;12:20:45 PM;2.86;97.300;29.500;39519.000;12.000
12.07.17;12:21:00 PM;3.11;97.920;29.430;39543.000;12.000
12.07.17;12:21:15 PM;3.36;97.690;29.450;39568.000;12.000
12.07.17;12:21:30 PM;3.61;97.930;29.420;39535.000;12.000
12.07.17;12:21:45 PM;3.86;97.220;29.510;39513.000;12.000
12.07.17;12:22:00 PM;4.11;97.580;29.460;39550.000;12.000
12.07.17;12:22:15 PM;4.36;97.480;29.480;39474.000;12.000
12.07.17;12:22:30 PM;4.61;98.020;29.410;39541.000;12.000
12.07.17;12:22:45 PM;4.86;97.470;29.480;39561.000;12.000
12.07.17;12:23:00 PM;5.11;97.590;29.460;39529.000;12.000
12.07.17;12:23:15 PM;5.36;97.710;29.450;39562.000;12.000
12.07.17;12:23:30 PM;5.61;98.010;29.420;39512.000;12.000
12.07.17;12:23:45 PM;5.86;97.810;29.440;39510.000;12.000
12.07.17;12:24:00 PM;6.11;97.950;29.420;39517.000;12.000
12.07.17;12:24:15 PM;6.36;97.680;29.450;39472.000;12.000
12.07.17;12:24:30 PM;6.61;97.740;29.450;39498.000;12.000
12.07.17;12:24:45 PM;6.86;97.270;29.500;39561.000;12.000
12.07.17;12:25:00 PM;7.11;97.680;29.450;39525.000;12.000
12.07.17;12:25:15 PM;7.36;97.970;29.420;39538.000;12.000
12.07.17;12:25:30 PM;7.61;97.050;29.530;39490.000;12.000
12.07.17;12:25:45 PM;7.86;96.810;29.550;39536.000;12.000
12.07.17;12:26:00 PM;8.11;96.900;29.540;39607.000;12.000
12.07.17;12:26:15 PM;8.36;97.550;29.470;39527.000;12.000
12.07.17;12:26:30 PM;8.61;97.680;29.450;39456.000;12.000
12.07.17;12:26:45 PM;8.86;97.310;29.500;39526.000;12.000
12.07.17;12:27:00 PM;9.11;97.180;29.510;39499.000;12.000
12.07.17;12:27:15 PM;9.36;97.330;29.490;39492.000;12.000
