12.07.17/10:54 AM SW ver:OXY10v3_33
Header Ch-8
Description: TBE3-15
IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 103779
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
12.07.17;10:54:12 AM;0.00;95.780;29.080;30923.000;15.000
12.07.17;10:54:19 AM;0.11;96.170;29.040;30924.000;15.000
12.07.17;10:54:34 AM;0.36;95.290;29.140;30967.000;15.000
12.07.17;10:54:49 AM;0.61;95.450;29.120;30989.000;15.000
12.07.17;10:55:04 AM;0.86;95.110;29.160;30957.000;15.000
12.07.17;10:55:19 AM;1.11;95.290;29.140;30969.000;15.000
12.07.17;10:55:34 AM;1.36;95.160;29.150;30935.000;15.000
12.07.17;10:55:49 AM;1.61;95.250;29.140;30976.000;15.000
12.07.17;10:56:04 AM;1.86;95.550;29.110;30966.000;15.000
12.07.17;10:56:19 AM;2.11;95.080;29.160;30991.000;15.000
12.07.17;10:56:34 AM;2.36;95.210;29.150;30974.000;15.000
12.07.17;10:56:49 AM;2.61;95.710;29.090;30981.000;15.000
12.07.17;10:57:04 AM;2.86;95.450;29.120;30998.000;15.000
12.07.17;10:57:19 AM;3.11;95.980;29.060;30980.000;15.000
12.07.17;10:57:34 AM;3.36;95.530;29.110;30990.000;15.000
12.07.17;10:57:49 AM;3.61;96.190;29.030;30975.000;15.000
12.07.17;10:58:04 AM;3.86;95.470;29.120;30944.000;15.000
12.07.17;10:58:19 AM;4.11;95.140;29.160;30930.000;15.000
12.07.17;10:58:34 AM;4.36;96.100;29.050;30963.000;15.000
12.07.17;10:58:49 AM;4.61;94.540;29.230;30972.000;15.000
12.07.17;10:59:04 AM;4.86;95.580;29.110;30988.000;15.000
12.07.17;10:59:19 AM;5.11;96.060;29.050;30985.000;15.000
12.07.17;10:59:34 AM;5.36;95.420;29.120;30954.000;15.000
12.07.17;10:59:49 AM;5.61;95.710;29.090;30973.000;15.000
12.07.17;11:00:04 AM;5.86;95.710;29.090;30967.000;15.000
12.07.17;11:00:19 AM;6.11;95.200;29.150;30960.000;15.000
12.07.17;11:00:34 AM;6.36;95.070;29.160;30971.000;15.000
12.07.17;11:00:49 AM;6.61;95.100;29.160;30993.000;15.000
12.07.17;11:01:04 AM;6.86;95.990;29.060;30956.000;15.000
12.07.17;11:01:19 AM;7.11;95.460;29.120;30993.000;15.000
12.07.17;11:01:34 AM;7.36;94.930;29.180;30939.000;15.000
12.07.17;11:01:49 AM;7.61;94.820;29.190;30971.000;15.000
12.07.17;11:02:04 AM;7.86;94.490;29.230;30984.000;15.000
12.07.17;11:02:19 AM;8.11;95.580;29.110;31002.000;15.000
12.07.17;11:02:34 AM;8.36;96.240;29.030;30976.000;15.000
12.07.17;11:02:49 AM;8.61;95.840;29.080;30980.000;15.000
12.07.17;11:03:04 AM;8.86;95.380;29.130;30960.000;15.000
12.07.17;11:03:19 AM;9.11;95.220;29.150;31013.000;15.000
12.07.17;11:03:34 AM;9.36;95.830;29.080;31028.000;15.000
12.07.17;11:03:49 AM;9.61;95.300;29.140;30963.000;15.000
12.07.17;11:04:04 AM;9.86;95.640;29.100;30995.000;15.000
12.07.17;11:04:19 AM;10.11;95.880;29.070;30965.000;15.000
12.07.17;11:04:34 AM;10.36;95.540;29.110;30997.000;15.000
12.07.17;11:04:49 AM;10.61;95.520;29.110;30999.000;15.000
12.07.17;11:05:04 AM;10.86;95.270;29.140;31002.000;15.000
12.07.17;11:05:19 AM;11.11;95.000;29.170;31001.000;15.000
12.07.17;11:05:34 AM;11.36;95.400;29.130;30974.000;15.000
12.07.17;11:05:49 AM;11.61;95.530;29.110;31005.000;15.000
12.07.17;11:06:04 AM;11.86;95.570;29.110;31020.000;15.000
12.07.17;11:06:19 AM;12.11;95.380;29.130;31010.000;15.000
12.07.17;11:06:34 AM;12.36;95.400;29.130;31023.000;15.000
12.07.17;11:06:49 AM;12.61;95.700;29.090;31001.000;15.000
12.07.17;11:07:04 AM;12.86;94.940;29.180;31020.000;15.000
12.07.17;11:07:19 AM;13.11;95.210;29.150;31020.000;15.000
12.07.17;11:07:34 AM;13.36;95.360;29.130;30977.000;15.000
12.07.17;11:07:49 AM;13.61;95.170;29.150;31004.000;15.000
12.07.17;11:08:04 AM;13.86;95.230;29.150;31004.000;15.000
12.07.17;11:08:19 AM;14.11;95.220;29.150;31035.000;15.000
12.07.17;11:08:34 AM;14.36;95.480;29.120;31041.000;15.000
12.07.17;11:08:49 AM;14.61;95.480;29.120;31020.000;15.000
12.07.17;11:09:04 AM;14.86;94.820;29.190;30969.000;15.000
12.07.17;11:09:19 AM;15.11;95.100;29.160;30992.000;15.000
12.07.17;11:09:34 AM;15.36;95.980;29.060;31042.000;15.000
12.07.17;11:09:49 AM;15.61;96.050;29.050;31020.000;15.000
12.07.17;11:10:04 AM;15.86;94.860;29.190;30979.000;15.000
12.07.17;11:10:19 AM;16.11;95.420;29.120;31024.000;15.000
12.07.17;11:10:34 AM;16.36;94.810;29.190;31036.000;15.000
12.07.17;11:10:49 AM;16.61;94.620;29.220;31009.000;15.000
12.07.17;11:11:04 AM;16.86;95.940;29.060;31066.000;15.000
12.07.17;11:11:19 AM;17.11;95.590;29.100;31015.000;15.000
12.07.17;11:11:34 AM;17.36;95.310;29.140;31031.000;15.000
12.07.17;11:11:49 AM;17.61;95.590;29.100;31009.000;15.000
12.07.17;11:12:04 AM;17.86;95.080;29.160;31035.000;15.000
12.07.17;11:12:19 AM;18.11;95.340;29.130;30998.000;15.000
12.07.17;11:12:34 AM;18.36;95.610;29.100;31022.000;15.000
12.07.17;11:12:49 AM;18.61;95.370;29.130;31037.000;15.000
12.07.17;11:13:04 AM;18.86;94.810;29.190;31014.000;15.000
12.07.17;11:13:19 AM;19.11;95.160;29.150;30997.000;15.000
12.07.17;11:13:34 AM;19.36;95.180;29.150;31028.000;15.000
12.07.17;11:13:49 AM;19.61;94.710;29.210;31015.000;15.000
12.07.17;11:14:04 AM;19.86;95.020;29.170;31052.000;15.000
12.07.17;11:14:19 AM;20.11;94.910;29.180;31039.000;15.000
12.07.17;11:14:34 AM;20.36;95.670;29.090;31041.000;15.000
12.07.17;11:14:49 AM;20.61;95.080;29.160;31002.000;15.000
12.07.17;11:15:04 AM;20.86;94.140;29.270;31033.000;15.000
12.07.17;11:15:19 AM;21.11;95.070;29.160;31079.000;15.000
12.07.17;11:15:34 AM;21.36;95.230;29.150;31048.000;15.000
12.07.17;11:15:49 AM;21.61;95.490;29.120;31030.000;15.000
12.07.17;11:16:04 AM;21.86;95.030;29.170;31070.000;15.000
12.07.17;11:16:19 AM;22.11;94.940;29.180;31029.000;15.000
12.07.17;11:16:34 AM;22.36;95.140;29.160;31020.000;15.000
12.07.17;11:16:49 AM;22.61;94.660;29.210;31034.000;15.000
12.07.17;11:17:04 AM;22.86;95.010;29.170;31034.000;15.000
