12.07.17/10:23 AM SW ver:OXY10v3_33
Header Ch-7
Description: WWC1-15
IDENTIFICATION
PHIboard number   : v1231479
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 07

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 98107
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 040800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 027000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
12.07.17;10:23:48 AM;0.00;94.590;29.220;35033.000;15.000
12.07.17;10:24:02 AM;0.23;94.490;29.230;35010.000;15.000
12.07.17;10:24:17 AM;0.48;94.370;29.250;35054.000;15.000
12.07.17;10:24:32 AM;0.73;94.190;29.270;35023.000;15.000
12.07.17;10:24:47 AM;0.98;94.180;29.270;34997.000;15.000
12.07.17;10:25:02 AM;1.23;94.440;29.240;35030.000;15.000
12.07.17;10:25:17 AM;1.48;94.540;29.230;35059.000;15.000
12.07.17;10:25:32 AM;1.73;94.310;29.250;35044.000;15.000
12.07.17;10:25:47 AM;1.98;94.290;29.260;35042.000;15.000
12.07.17;10:26:02 AM;2.23;94.270;29.260;35060.000;15.000
12.07.17;10:26:17 AM;2.48;94.140;29.270;35067.000;15.000
12.07.17;10:26:32 AM;2.73;94.360;29.250;35059.000;15.000
12.07.17;10:26:47 AM;2.98;93.940;29.300;35074.000;15.000
12.07.17;10:27:02 AM;3.23;94.410;29.240;35052.000;15.000
12.07.17;10:27:17 AM;3.48;94.090;29.280;35076.000;15.000
12.07.17;10:27:32 AM;3.73;94.370;29.250;35079.000;15.000
12.07.17;10:27:47 AM;3.98;94.360;29.250;35063.000;15.000
12.07.17;10:28:02 AM;4.23;94.080;29.280;35114.000;15.000
12.07.17;10:28:17 AM;4.48;94.140;29.270;35124.000;15.000
12.07.17;10:28:32 AM;4.73;93.870;29.300;35114.000;15.000
12.07.17;10:28:47 AM;4.98;94.150;29.270;35105.000;15.000
12.07.17;10:29:02 AM;5.23;93.980;29.290;35140.000;15.000
12.07.17;10:29:17 AM;5.48;93.860;29.310;35109.000;15.000
12.07.17;10:29:32 AM;5.73;93.960;29.290;35130.000;15.000
12.07.17;10:29:47 AM;5.98;94.020;29.290;35113.000;15.000
12.07.17;10:30:02 AM;6.23;94.020;29.290;35162.000;15.000
12.07.17;10:30:17 AM;6.48;93.940;29.300;35131.000;15.000
12.07.17;10:30:32 AM;6.73;93.600;29.340;35136.000;15.000
