12.07.17/9:07 AM SW ver:OXY10v3_33
Header Ch-5
Description: TWA2-18
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 105269
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
12.07.17;9:07:36 AM;0.00;94.230;28.690;47917.000;18.000
12.07.17;9:07:50 AM;0.23;94.110;28.700;47948.000;18.000
12.07.17;9:08:05 AM;0.48;94.080;28.710;47961.000;18.000
12.07.17;9:08:19 AM;0.73;93.990;28.720;47925.000;18.000
12.07.17;9:08:35 AM;0.98;94.080;28.710;47992.000;18.000
12.07.17;9:08:50 AM;1.23;93.890;28.730;47963.000;18.000
12.07.17;9:09:05 AM;1.48;93.970;28.720;47974.000;18.000
12.07.17;9:09:20 AM;1.73;93.960;28.720;47975.000;18.000
12.07.17;9:09:35 AM;1.98;93.830;28.740;47973.000;18.000
12.07.17;9:09:50 AM;2.23;93.640;28.760;47979.000;18.000
12.07.17;9:10:05 AM;2.48;93.880;28.730;48017.000;18.000
12.07.17;9:10:20 AM;2.73;94.150;28.700;48004.000;18.000
12.07.17;9:10:35 AM;2.98;94.020;28.710;47991.000;18.000
12.07.17;9:10:50 AM;3.23;93.220;28.810;48027.000;18.000
12.07.17;9:11:04 AM;3.48;93.850;28.730;48026.000;18.000
12.07.17;9:11:20 AM;3.73;93.650;28.760;48030.000;18.000
12.07.17;9:11:35 AM;3.98;93.470;28.780;48013.000;18.000
12.07.17;9:11:50 AM;4.23;93.310;28.800;48045.000;18.000
12.07.17;9:12:05 AM;4.48;93.210;28.810;48054.000;18.000
12.07.17;9:12:19 AM;4.73;93.680;28.750;48044.000;18.000
12.07.17;9:12:35 AM;4.98;92.920;28.840;48060.000;18.000
12.07.17;9:12:49 AM;5.23;93.380;28.790;48056.000;18.000
12.07.17;9:13:05 AM;5.48;92.990;28.830;48073.000;18.000
12.07.17;9:13:20 AM;5.73;93.450;28.780;48081.000;18.000
12.07.17;9:13:35 AM;5.98;93.280;28.800;48137.000;18.000
12.07.17;9:13:49 AM;6.23;93.540;28.770;48088.000;18.000
12.07.17;9:14:05 AM;6.48;92.430;28.900;48178.000;18.000
12.07.17;9:14:20 AM;6.73;93.330;28.790;48177.000;18.000
12.07.17;9:14:35 AM;6.98;93.070;28.820;48158.000;18.000
12.07.17;9:14:50 AM;7.23;92.750;28.860;48146.000;18.000
12.07.17;9:15:05 AM;7.48;92.910;28.840;48103.000;18.000
12.07.17;9:15:19 AM;7.73;93.280;28.800;48164.000;18.000
12.07.17;9:15:35 AM;7.98;92.910;28.840;48170.000;18.000
12.07.17;9:15:49 AM;8.23;93.470;28.780;48205.000;18.000
12.07.17;9:16:05 AM;8.48;92.860;28.850;48210.000;18.000
12.07.17;9:16:20 AM;8.73;92.700;28.870;48168.000;18.000
12.07.17;9:16:35 AM;8.98;92.670;28.870;48207.000;18.000
12.07.17;9:16:49 AM;9.23;92.800;28.860;48221.000;18.000
12.07.17;9:17:05 AM;9.48;92.680;28.870;48218.000;18.000
12.07.17;9:17:19 AM;9.73;92.430;28.900;48213.000;18.000
12.07.17;9:17:34 AM;9.98;93.140;28.820;48259.000;18.000
12.07.17;9:17:50 AM;10.23;92.530;28.890;48243.000;18.000
12.07.17;9:18:05 AM;10.48;92.440;28.900;48231.000;18.000
12.07.17;9:18:20 AM;10.73;92.750;28.860;48250.000;18.000
12.07.17;9:18:35 AM;10.98;92.980;28.830;48257.000;18.000
12.07.17;9:18:50 AM;11.23;92.480;28.890;48302.000;18.000
12.07.17;9:19:05 AM;11.48;92.090;28.940;48299.000;18.000
12.07.17;9:19:19 AM;11.73;92.160;28.930;48263.000;18.000
12.07.17;9:19:34 AM;11.98;92.220;28.920;48318.000;18.000
12.07.17;9:19:50 AM;12.23;92.370;28.910;48298.000;18.000
12.07.17;9:20:04 AM;12.48;92.270;28.920;48287.000;18.000
12.07.17;9:20:20 AM;12.73;91.840;28.970;48302.000;18.000
12.07.17;9:20:35 AM;12.98;91.780;28.980;48292.000;18.000
12.07.17;9:20:50 AM;13.23;91.960;28.960;48346.000;18.000
12.07.17;9:21:05 AM;13.48;92.480;28.890;48388.000;18.000
12.07.17;9:21:20 AM;13.73;92.220;28.920;48342.000;18.000
12.07.17;9:21:35 AM;13.98;91.780;28.980;48342.000;18.000
12.07.17;9:21:50 AM;14.23;91.620;29.000;48353.000;18.000
12.07.17;9:22:05 AM;14.48;91.740;28.980;48360.000;18.000
12.07.17;9:22:20 AM;14.73;91.570;29.000;48412.000;18.000
