12.07.17/9:07 AM SW ver:OXY10v3_33
Header Ch-6
Description: WBF5-18
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 102343
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
12.07.17;9:07:36 AM;0.00;96.870;28.390;37475.000;18.000
12.07.17;9:07:43 AM;0.11;97.360;28.330;37503.000;18.000
12.07.17;9:07:58 AM;0.35;96.880;28.390;37537.000;18.000
12.07.17;9:08:13 AM;0.60;97.310;28.340;37470.000;18.000
12.07.17;9:08:28 AM;0.86;96.330;28.450;37499.000;18.000
12.07.17;9:08:43 AM;1.10;96.880;28.390;37560.000;18.000
12.07.17;9:08:58 AM;1.36;96.620;28.420;37553.000;18.000
12.07.17;9:09:13 AM;1.60;96.460;28.430;37511.000;18.000
12.07.17;9:09:28 AM;1.85;96.850;28.390;37591.000;18.000
12.07.17;9:09:43 AM;2.10;97.030;28.370;37532.000;18.000
12.07.17;9:09:58 AM;2.35;96.780;28.400;37502.000;18.000
12.07.17;9:10:13 AM;2.61;96.530;28.430;37517.000;18.000
12.07.17;9:10:28 AM;2.85;97.430;28.320;37566.000;18.000
12.07.17;9:10:43 AM;3.10;97.600;28.310;37535.000;18.000
12.07.17;9:10:58 AM;3.36;96.810;28.390;37471.000;18.000
12.07.17;9:11:13 AM;3.61;97.280;28.340;37570.000;18.000
12.07.17;9:11:28 AM;3.85;96.730;28.400;37528.000;18.000
12.07.17;9:11:43 AM;4.10;96.490;28.430;37474.000;18.000
12.07.17;9:11:58 AM;4.35;97.160;28.350;37525.000;18.000
12.07.17;9:12:13 AM;4.60;96.730;28.400;37518.000;18.000
12.07.17;9:12:28 AM;4.86;97.110;28.360;37555.000;18.000
12.07.17;9:12:43 AM;5.10;97.450;28.320;37561.000;18.000
12.07.17;9:12:58 AM;5.35;97.480;28.320;37483.000;18.000
12.07.17;9:13:13 AM;5.61;96.270;28.450;37527.000;18.000
12.07.17;9:13:28 AM;5.85;96.950;28.380;37519.000;18.000
12.07.17;9:13:43 AM;6.11;97.220;28.350;37495.000;18.000
12.07.17;9:13:58 AM;6.36;96.820;28.390;37518.000;18.000
12.07.17;9:14:13 AM;6.61;96.790;28.400;37538.000;18.000
12.07.17;9:14:28 AM;6.86;97.880;28.270;37519.000;18.000
12.07.17;9:14:43 AM;7.10;97.340;28.330;37517.000;18.000
12.07.17;9:14:58 AM;7.36;96.850;28.390;37482.000;18.000
12.07.17;9:15:13 AM;7.60;97.040;28.370;37541.000;18.000
12.07.17;9:15:28 AM;7.86;96.680;28.410;37490.000;18.000
12.07.17;9:15:43 AM;8.10;97.110;28.360;37496.000;18.000
12.07.17;9:15:58 AM;8.36;97.030;28.370;37453.000;18.000
12.07.17;9:16:13 AM;8.61;96.960;28.380;37511.000;18.000
12.07.17;9:16:28 AM;8.85;97.550;28.310;37471.000;18.000
12.07.17;9:16:43 AM;9.10;96.940;28.380;37533.000;18.000
12.07.17;9:16:58 AM;9.36;96.920;28.380;37557.000;18.000
12.07.17;9:17:13 AM;9.61;96.920;28.380;37559.000;18.000
12.07.17;9:17:28 AM;9.86;96.040;28.480;37565.000;18.000
12.07.17;9:17:43 AM;10.11;96.580;28.420;37516.000;18.000
12.07.17;9:17:58 AM;10.35;96.470;28.430;37526.000;18.000
12.07.17;9:18:13 AM;10.60;96.950;28.380;37454.000;18.000
12.07.17;9:18:28 AM;10.85;97.390;28.330;37527.000;18.000
12.07.17;9:18:43 AM;11.11;96.610;28.420;37505.000;18.000
12.07.17;9:18:58 AM;11.36;96.640;28.410;37502.000;18.000
12.07.17;9:19:13 AM;11.60;97.020;28.370;37501.000;18.000
12.07.17;9:19:28 AM;11.86;97.540;28.310;37488.000;18.000
12.07.17;9:19:43 AM;12.11;97.640;28.300;37478.000;18.000
12.07.17;9:19:58 AM;12.35;97.920;28.270;37446.000;18.000
12.07.17;9:20:13 AM;12.61;96.900;28.380;37493.000;18.000
12.07.17;9:20:28 AM;12.86;96.780;28.400;37446.000;18.000
12.07.17;9:20:43 AM;13.11;96.920;28.380;37426.000;18.000
12.07.17;9:20:58 AM;13.35;97.440;28.320;37505.000;18.000
12.07.17;9:21:13 AM;13.61;97.020;28.370;37476.000;18.000
12.07.17;9:21:28 AM;13.85;97.000;28.370;37441.000;18.000
12.07.17;9:21:43 AM;14.11;97.640;28.300;37427.000;18.000
12.07.17;9:21:58 AM;14.36;97.560;28.310;37488.000;18.000
12.07.17;9:22:13 AM;14.61;97.430;28.320;37443.000;18.000
12.07.17;9:22:28 AM;14.86;96.820;28.390;37449.000;18.000
12.07.17;9:22:43 AM;15.10;96.810;28.390;37475.000;18.000
12.07.17;9:22:58 AM;15.36;97.740;28.290;37450.000;18.000
12.07.17;9:23:13 AM;15.61;97.040;28.370;37433.000;18.000
12.07.17;9:23:28 AM;15.86;96.380;28.440;37425.000;18.000
12.07.17;9:23:43 AM;16.11;97.420;28.330;37482.000;18.000
12.07.17;9:23:58 AM;16.35;97.740;28.290;37458.000;18.000
12.07.17;9:24:13 AM;16.61;97.270;28.340;37427.000;18.000
12.07.17;9:24:28 AM;16.86;97.810;28.280;37457.000;18.000
12.07.17;9:24:43 AM;17.11;97.470;28.320;37391.000;18.000
12.07.17;9:24:58 AM;17.36;97.520;28.310;37448.000;18.000
12.07.17;9:25:13 AM;17.61;97.210;28.350;37444.000;18.000
12.07.17;9:25:28 AM;17.86;97.180;28.350;37447.000;18.000
12.07.17;9:25:43 AM;18.11;97.830;28.280;37423.000;18.000
12.07.17;9:25:58 AM;18.36;97.070;28.360;37431.000;18.000
12.07.17;9:26:13 AM;18.61;97.610;28.300;37430.000;18.000
12.07.17;9:26:28 AM;18.86;96.550;28.420;37366.000;18.000
12.07.17;9:26:43 AM;19.11;97.280;28.340;37408.000;18.000
12.07.17;9:26:58 AM;19.36;96.950;28.380;37448.000;18.000
12.07.17;9:27:13 AM;19.61;96.320;28.450;37439.000;18.000
12.07.17;9:27:28 AM;19.86;96.820;28.390;37383.000;18.000
12.07.17;9:27:43 AM;20.11;96.630;28.410;37380.000;18.000
12.07.17;9:27:58 AM;20.36;97.970;28.260;37397.000;18.000
12.07.17;9:28:13 AM;20.60;96.940;28.380;37405.000;18.000
12.07.17;9:28:28 AM;20.86;97.040;28.370;37388.000;18.000
12.07.17;9:28:43 AM;21.11;97.170;28.350;37376.000;18.000
12.07.17;9:28:58 AM;21.35;97.060;28.370;37352.000;18.000
