12.07.17/8:32 AM SW ver:OXY10v3_33
Header Ch-3
Description: WWI3-18
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 106468
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 030000
100.00%a.s.phase 2: 27.68 at 020.0°C amp 033000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
12.07.17;8:32:24 AM;0.00;95.000;28.600;29157.000;18.000
12.07.17;8:32:25 AM;0.02;94.920;28.610;29131.000;18.000
12.07.17;8:32:30 AM;0.11;94.560;28.650;29157.000;18.000
12.07.17;8:32:45 AM;0.36;94.300;28.680;29134.000;18.000
12.07.17;8:33:00 AM;0.61;94.420;28.670;29153.000;18.000
12.07.17;8:33:15 AM;0.86;94.270;28.680;29148.000;18.000
12.07.17;8:33:30 AM;1.11;94.230;28.690;29178.000;18.000
12.07.17;8:33:45 AM;1.36;94.380;28.670;29156.000;18.000
12.07.17;8:34:00 AM;1.61;94.420;28.670;29166.000;18.000
12.07.17;8:34:15 AM;1.86;94.010;28.710;29178.000;18.000
12.07.17;8:34:30 AM;2.11;94.080;28.710;29172.000;18.000
12.07.17;8:34:45 AM;2.36;94.310;28.680;29177.000;18.000
12.07.17;8:35:00 AM;2.61;94.040;28.710;29199.000;18.000
12.07.17;8:35:15 AM;2.86;93.890;28.730;29203.000;18.000
12.07.17;8:35:30 AM;3.11;94.290;28.680;29194.000;18.000
12.07.17;8:35:45 AM;3.36;94.050;28.710;29215.000;18.000
12.07.17;8:36:00 AM;3.61;93.880;28.730;29205.000;18.000
12.07.17;8:36:15 AM;3.86;93.480;28.780;29215.000;18.000
12.07.17;8:36:30 AM;4.11;93.640;28.760;29215.000;18.000
12.07.17;8:36:45 AM;4.36;93.540;28.770;29221.000;18.000
12.07.17;8:37:00 AM;4.61;93.480;28.780;29221.000;18.000
12.07.17;8:37:15 AM;4.86;93.790;28.740;29234.000;18.000
12.07.17;8:37:30 AM;5.11;93.690;28.750;29230.000;18.000
12.07.17;8:37:45 AM;5.36;93.230;28.810;29252.000;18.000
12.07.17;8:38:00 AM;5.61;93.250;28.800;29249.000;18.000
12.07.17;8:38:15 AM;5.86;93.520;28.770;29271.000;18.000
12.07.17;8:38:30 AM;6.11;93.590;28.760;29289.000;18.000
12.07.17;8:38:46 AM;6.36;92.850;28.850;29305.000;18.000
12.07.17;8:39:00 AM;6.61;93.190;28.810;29292.000;18.000
12.07.17;8:39:15 AM;6.86;93.140;28.820;29293.000;18.000
12.07.17;8:39:30 AM;7.11;92.690;28.870;29324.000;18.000
12.07.17;8:39:45 AM;7.36;92.990;28.830;29325.000;18.000
12.07.17;8:40:00 AM;7.61;92.750;28.860;29328.000;18.000
12.07.17;8:40:15 AM;7.86;92.930;28.840;29355.000;18.000
12.07.17;8:40:30 AM;8.11;92.630;28.880;29336.000;18.000
12.07.17;8:40:45 AM;8.36;93.310;28.800;29336.000;18.000
12.07.17;8:41:00 AM;8.61;92.340;28.910;29390.000;18.000
12.07.17;8:41:15 AM;8.86;92.750;28.860;29373.000;18.000
12.07.17;8:41:30 AM;9.11;92.430;28.900;29367.000;18.000
12.07.17;8:41:45 AM;9.36;92.620;28.880;29389.000;18.000
12.07.17;8:42:00 AM;9.61;92.320;28.910;29406.000;18.000
12.07.17;8:42:15 AM;9.86;92.340;28.910;29415.000;18.000
12.07.17;8:42:30 AM;10.11;92.060;28.940;29428.000;18.000
12.07.17;8:42:45 AM;10.36;92.220;28.920;29430.000;18.000
12.07.17;8:43:00 AM;10.61;91.910;28.960;29439.000;18.000
12.07.17;8:43:15 AM;10.86;91.520;29.010;29462.000;18.000
12.07.17;8:43:30 AM;11.11;91.610;29.000;29470.000;18.000
12.07.17;8:43:45 AM;11.36;91.350;29.030;29470.000;18.000
12.07.17;8:44:00 AM;11.61;91.520;29.010;29477.000;18.000
12.07.17;8:44:15 AM;11.86;91.770;28.980;29478.000;18.000
12.07.17;8:44:30 AM;12.11;91.570;29.000;29527.000;18.000
12.07.17;8:44:45 AM;12.36;91.450;29.020;29524.000;18.000
12.07.17;8:45:00 AM;12.61;91.440;29.020;29531.000;18.000
12.07.17;8:45:15 AM;12.86;91.210;29.050;29514.000;18.000
12.07.17;8:45:30 AM;13.11;91.180;29.050;29539.000;18.000
12.07.17;8:45:45 AM;13.36;91.010;29.070;29542.000;18.000
12.07.17;8:46:00 AM;13.61;91.370;29.030;29556.000;18.000
12.07.17;8:46:15 AM;13.86;90.860;29.090;29545.000;18.000
12.07.17;8:46:30 AM;14.11;91.080;29.060;29599.000;18.000
12.07.17;8:46:45 AM;14.36;91.020;29.070;29569.000;18.000
12.07.17;8:47:00 AM;14.61;90.720;29.110;29588.000;18.000
12.07.17;8:47:15 AM;14.86;91.020;29.070;29588.000;18.000
12.07.17;8:47:30 AM;15.11;90.610;29.120;29603.000;18.000
12.07.17;8:47:45 AM;15.36;90.790;29.100;29609.000;18.000
12.07.17;8:48:00 AM;15.61;90.670;29.110;29624.000;18.000
12.07.17;8:48:15 AM;15.86;90.370;29.150;29612.000;18.000
12.07.17;8:48:30 AM;16.11;90.560;29.130;29599.000;18.000
12.07.17;8:48:45 AM;16.36;90.480;29.130;29625.000;18.000
12.07.17;8:49:00 AM;16.61;90.230;29.170;29636.000;18.000
12.07.17;8:49:15 AM;16.86;90.120;29.180;29647.000;18.000
12.07.17;8:49:30 AM;17.11;89.810;29.220;29639.000;18.000
12.07.17;8:49:45 AM;17.36;90.070;29.180;29655.000;18.000
12.07.17;8:50:00 AM;17.61;90.190;29.170;29674.000;18.000
12.07.17;8:50:15 AM;17.86;89.730;29.230;29674.000;18.000
12.07.17;8:50:30 AM;18.11;89.840;29.210;29694.000;18.000
12.07.17;8:50:45 AM;18.36;89.840;29.210;29684.000;18.000
12.07.17;8:51:00 AM;18.61;89.930;29.200;29682.000;18.000
12.07.17;8:51:15 AM;18.86;89.460;29.260;29708.000;18.000
12.07.17;8:51:30 AM;19.11;89.310;29.280;29705.000;18.000
12.07.17;8:51:45 AM;19.36;89.820;29.220;29741.000;18.000
12.07.17;8:52:00 AM;19.61;89.610;29.240;29716.000;18.000
12.07.17;8:52:15 AM;19.86;89.470;29.260;29762.000;18.000
12.07.17;8:52:30 AM;20.11;89.890;29.210;29741.000;18.000
12.07.17;8:52:45 AM;20.36;89.080;29.310;29775.000;18.000
