12.07.17/8:32 AM SW ver:OXY10v3_33
Header Ch-6
Description: WBF5-18
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 102343
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
12.07.17;8:32:28 AM;0.00;97.210;28.350;37873.000;18.000
12.07.17;8:32:29 AM;0.02;97.130;28.360;37828.000;18.000
12.07.17;8:32:43 AM;0.25;96.880;28.390;37878.000;18.000
12.07.17;8:32:58 AM;0.50;97.250;28.340;37896.000;18.000
12.07.17;8:33:13 AM;0.75;97.400;28.330;37903.000;18.000
12.07.17;8:33:28 AM;1.00;97.640;28.300;37886.000;18.000
12.07.17;8:33:43 AM;1.25;97.330;28.340;37840.000;18.000
12.07.17;8:33:58 AM;1.50;97.330;28.340;37843.000;18.000
12.07.17;8:34:13 AM;1.75;96.810;28.390;37845.000;18.000
12.07.17;8:34:28 AM;2.00;97.040;28.370;37832.000;18.000
12.07.17;8:34:43 AM;2.25;96.940;28.380;37839.000;18.000
12.07.17;8:34:58 AM;2.50;97.390;28.330;37902.000;18.000
12.07.17;8:35:13 AM;2.75;96.350;28.450;37868.000;18.000
12.07.17;8:35:28 AM;3.00;97.060;28.370;37842.000;18.000
12.07.17;8:35:43 AM;3.25;96.820;28.390;37868.000;18.000
12.07.17;8:35:58 AM;3.50;96.480;28.430;37840.000;18.000
12.07.17;8:36:13 AM;3.75;97.210;28.350;37884.000;18.000
12.07.17;8:36:28 AM;4.00;96.250;28.460;37849.000;18.000
12.07.17;8:36:43 AM;4.25;96.760;28.400;37863.000;18.000
12.07.17;8:36:58 AM;4.50;96.840;28.390;37885.000;18.000
12.07.17;8:37:13 AM;4.75;96.470;28.430;37867.000;18.000
12.07.17;8:37:28 AM;5.00;97.400;28.330;37883.000;18.000
12.07.17;8:37:43 AM;5.25;96.600;28.420;37882.000;18.000
12.07.17;8:37:58 AM;5.50;96.480;28.430;37886.000;18.000
12.07.17;8:38:13 AM;5.75;96.960;28.380;37901.000;18.000
12.07.17;8:38:28 AM;6.00;96.650;28.410;37841.000;18.000
12.07.17;8:38:43 AM;6.25;96.480;28.430;37856.000;18.000
12.07.17;8:38:58 AM;6.50;97.130;28.360;37928.000;18.000
12.07.17;8:39:13 AM;6.75;95.820;28.510;37887.000;18.000
12.07.17;8:39:28 AM;7.00;96.560;28.420;37880.000;18.000
12.07.17;8:39:43 AM;7.25;96.690;28.410;37932.000;18.000
12.07.17;8:39:58 AM;7.50;96.590;28.420;37951.000;18.000
12.07.17;8:40:13 AM;7.75;96.600;28.420;37905.000;18.000
12.07.17;8:40:28 AM;8.00;96.680;28.410;37936.000;18.000
12.07.17;8:40:43 AM;8.25;97.040;28.370;37925.000;18.000
12.07.17;8:40:58 AM;8.50;96.330;28.450;37961.000;18.000
12.07.17;8:41:13 AM;8.75;96.340;28.450;37900.000;18.000
12.07.17;8:41:28 AM;9.00;96.030;28.480;37979.000;18.000
12.07.17;8:41:43 AM;9.25;96.560;28.420;37938.000;18.000
12.07.17;8:41:58 AM;9.50;96.110;28.470;37952.000;18.000
12.07.17;8:42:13 AM;9.75;96.170;28.470;37947.000;18.000
12.07.17;8:42:28 AM;10.00;95.810;28.510;37933.000;18.000
12.07.17;8:42:43 AM;10.25;95.660;28.520;37970.000;18.000
12.07.17;8:42:58 AM;10.50;95.490;28.540;37975.000;18.000
12.07.17;8:43:13 AM;10.75;96.390;28.440;37967.000;18.000
12.07.17;8:43:28 AM;11.00;95.880;28.500;37996.000;18.000
12.07.17;8:43:43 AM;11.25;95.840;28.500;38000.000;18.000
12.07.17;8:43:58 AM;11.50;95.860;28.500;37996.000;18.000
12.07.17;8:44:13 AM;11.75;96.130;28.470;38010.000;18.000
12.07.17;8:44:28 AM;12.00;95.590;28.530;38024.000;18.000
12.07.17;8:44:43 AM;12.25;96.210;28.460;38043.000;18.000
12.07.17;8:44:58 AM;12.50;95.890;28.500;37995.000;18.000
12.07.17;8:45:13 AM;12.75;95.400;28.550;38044.000;18.000
12.07.17;8:45:28 AM;13.00;95.140;28.580;38027.000;18.000
12.07.17;8:45:43 AM;13.25;95.310;28.560;38071.000;18.000
12.07.17;8:45:58 AM;13.50;95.120;28.590;38056.000;18.000
12.07.17;8:46:13 AM;13.75;95.560;28.540;38075.000;18.000
12.07.17;8:46:28 AM;14.00;95.240;28.570;38127.000;18.000
12.07.17;8:46:43 AM;14.25;95.390;28.550;38094.000;18.000
12.07.17;8:46:58 AM;14.50;95.210;28.580;38133.000;18.000
12.07.17;8:47:13 AM;14.75;95.700;28.520;38099.000;18.000
12.07.17;8:47:28 AM;15.00;94.700;28.630;38136.000;18.000
12.07.17;8:47:43 AM;15.25;95.740;28.510;38147.000;18.000
12.07.17;8:47:58 AM;15.50;95.340;28.560;38166.000;18.000
12.07.17;8:48:13 AM;15.75;95.270;28.570;38114.000;18.000
12.07.17;8:48:28 AM;16.00;94.980;28.600;38162.000;18.000
12.07.17;8:48:43 AM;16.25;94.840;28.620;38155.000;18.000
12.07.17;8:48:58 AM;16.50;95.260;28.570;38195.000;18.000
12.07.17;8:49:13 AM;16.75;94.980;28.600;38163.000;18.000
12.07.17;8:49:28 AM;17.00;94.910;28.610;38190.000;18.000
12.07.17;8:49:43 AM;17.25;94.980;28.600;38173.000;18.000
12.07.17;8:49:58 AM;17.50;94.980;28.600;38200.000;18.000
12.07.17;8:50:13 AM;17.75;95.400;28.550;38201.000;18.000
12.07.17;8:50:28 AM;18.00;94.570;28.650;38229.000;18.000
12.07.17;8:50:43 AM;18.25;94.180;28.690;38226.000;18.000
12.07.17;8:50:58 AM;18.50;94.900;28.610;38262.000;18.000
12.07.17;8:51:13 AM;18.75;94.650;28.640;38264.000;18.000
