12.07.17/4:42 PM SW ver:OXY10v3_33
Header Ch-10
Description: WBG4-6
IDENTIFICATION
PHIboard number   : v1231482
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 10

PARAMETERS
Signal LED current: 050
Ref LED current   : 068
Ref LED amplitude : 101848
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 045200
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
12.07.17;4:42:26 PM;0.00;95.650;30.930;47710.000;6.000
12.07.17;4:42:32 PM;0.10;96.030;30.880;47727.000;6.000
12.07.17;4:42:47 PM;0.35;96.100;30.870;47731.000;6.000
12.07.17;4:43:02 PM;0.59;95.850;30.900;47703.000;6.000
12.07.17;4:43:17 PM;0.85;95.530;30.940;47744.000;6.000
12.07.17;4:43:32 PM;1.10;95.940;30.890;47699.000;6.000
12.07.17;4:43:47 PM;1.35;96.060;30.880;47717.000;6.000
12.07.17;4:44:02 PM;1.60;95.830;30.910;47718.000;6.000
12.07.17;4:44:17 PM;1.85;95.750;30.910;47717.000;6.000
12.07.17;4:44:32 PM;2.10;95.960;30.890;47731.000;6.000
12.07.17;4:44:47 PM;2.35;95.840;30.900;47724.000;6.000
12.07.17;4:45:02 PM;2.59;95.950;30.890;47721.000;6.000
12.07.17;4:45:17 PM;2.85;95.700;30.920;47695.000;6.000
12.07.17;4:45:32 PM;3.10;95.850;30.900;47716.000;6.000
12.07.17;4:45:47 PM;3.35;95.880;30.900;47730.000;6.000
12.07.17;4:46:02 PM;3.60;96.040;30.880;47741.000;6.000
12.07.17;4:46:17 PM;3.85;95.850;30.900;47710.000;6.000
12.07.17;4:46:32 PM;4.10;95.800;30.910;47715.000;6.000
12.07.17;4:46:47 PM;4.35;95.880;30.900;47747.000;6.000
12.07.17;4:47:02 PM;4.60;95.770;30.910;47707.000;6.000
12.07.17;4:47:17 PM;4.85;95.860;30.900;47696.000;6.000
12.07.17;4:47:32 PM;5.10;96.090;30.870;47730.000;6.000
12.07.17;4:47:47 PM;5.35;95.950;30.890;47694.000;6.000
12.07.17;4:48:02 PM;5.60;95.700;30.920;47732.000;6.000
12.07.17;4:48:17 PM;5.85;95.790;30.910;47720.000;6.000
12.07.17;4:48:32 PM;6.10;95.770;30.910;47739.000;6.000
12.07.17;4:48:47 PM;6.35;95.550;30.940;47722.000;6.000
12.07.17;4:49:02 PM;6.60;95.500;30.950;47698.000;6.000
12.07.17;4:49:17 PM;6.85;95.890;30.900;47735.000;6.000
12.07.17;4:49:32 PM;7.10;95.760;30.910;47704.000;6.000
12.07.17;4:49:47 PM;7.35;95.700;30.920;47760.000;6.000
12.07.17;4:50:02 PM;7.60;95.740;30.920;47723.000;6.000
12.07.17;4:50:17 PM;7.85;95.740;30.920;47739.000;6.000
12.07.17;4:50:32 PM;8.10;96.190;30.860;47756.000;6.000
12.07.17;4:50:47 PM;8.35;95.860;30.900;47745.000;6.000
12.07.17;4:51:02 PM;8.60;95.700;30.920;47758.000;6.000
12.07.17;4:51:17 PM;8.85;95.830;30.910;47739.000;6.000
12.07.17;4:51:32 PM;9.10;95.490;30.950;47755.000;6.000
12.07.17;4:51:47 PM;9.35;95.570;30.940;47771.000;6.000
12.07.17;4:52:02 PM;9.60;95.810;30.910;47751.000;6.000
12.07.17;4:52:17 PM;9.85;95.800;30.910;47771.000;6.000
12.07.17;4:52:32 PM;10.10;95.600;30.930;47754.000;6.000
12.07.17;4:52:47 PM;10.35;95.780;30.910;47752.000;6.000
12.07.17;4:53:02 PM;10.60;95.710;30.920;47780.000;6.000
12.07.17;4:53:17 PM;10.84;95.310;30.970;47766.000;6.000
12.07.17;4:53:32 PM;11.10;95.850;30.900;47773.000;6.000
12.07.17;4:53:47 PM;11.34;95.420;30.950;47783.000;6.000
12.07.17;4:54:02 PM;11.60;95.720;30.920;47770.000;6.000
12.07.17;4:54:17 PM;11.85;95.510;30.940;47766.000;6.000
12.07.17;4:54:32 PM;12.10;95.420;30.950;47779.000;6.000
12.07.17;4:54:47 PM;12.35;95.740;30.920;47749.000;6.000
12.07.17;4:55:02 PM;12.60;95.600;30.930;47774.000;6.000
12.07.17;4:55:17 PM;12.85;95.710;30.920;47754.000;6.000
12.07.17;4:55:32 PM;13.10;95.580;30.940;47743.000;6.000
12.07.17;4:55:47 PM;13.35;95.680;30.920;47770.000;6.000
12.07.17;4:56:02 PM;13.60;95.400;30.960;47743.000;6.000
12.07.17;4:56:17 PM;13.85;95.450;30.950;47777.000;6.000
12.07.17;4:56:32 PM;14.10;95.430;30.950;47767.000;6.000
12.07.17;4:56:47 PM;14.35;95.860;30.900;47786.000;6.000
12.07.17;4:57:02 PM;14.60;95.320;30.970;47799.000;6.000
12.07.17;4:57:17 PM;14.85;95.660;30.930;47761.000;6.000
12.07.17;4:57:32 PM;15.10;95.580;30.940;47771.000;6.000
12.07.17;4:57:47 PM;15.35;95.100;30.990;47766.000;6.000
12.07.17;4:58:02 PM;15.60;95.780;30.910;47767.000;6.000
12.07.17;4:58:17 PM;15.85;95.580;30.940;47751.000;6.000
12.07.17;4:58:32 PM;16.10;95.490;30.950;47762.000;6.000
12.07.17;4:58:47 PM;16.35;95.450;30.950;47749.000;6.000
12.07.17;4:59:02 PM;16.60;95.580;30.940;47755.000;6.000
12.07.17;4:59:17 PM;16.85;95.700;30.920;47764.000;6.000
12.07.17;4:59:32 PM;17.10;95.500;30.940;47776.000;6.000
12.07.17;4:59:47 PM;17.35;95.460;30.950;47798.000;6.000
12.07.17;5:00:02 PM;17.60;95.510;30.940;47784.000;6.000
12.07.17;5:00:17 PM;17.85;95.600;30.930;47750.000;6.000
12.07.17;5:00:32 PM;18.10;95.450;30.950;47780.000;6.000
12.07.17;5:00:47 PM;18.35;95.460;30.950;47776.000;6.000
12.07.17;5:01:02 PM;18.60;95.510;30.940;47780.000;6.000
12.07.17;5:01:17 PM;18.85;95.550;30.940;47760.000;6.000
12.07.17;5:01:32 PM;19.10;95.670;30.920;47754.000;6.000
12.07.17;5:01:47 PM;19.35;95.710;30.920;47758.000;6.000
12.07.17;5:02:02 PM;19.60;95.550;30.940;47751.000;6.000
