12.07.17/4:42 PM SW ver:OXY10v3_33
Header Ch-9
Description: TWD6-6
IDENTIFICATION
PHIboard number   : v1231481
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 09

PARAMETERS
Signal LED current: 050
Ref LED current   : 072
Ref LED amplitude : 104144
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 034700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 023000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
12.07.17;4:42:30 PM;0.00;96.010;30.880;37297.000;6.000
12.07.17;4:42:45 PM;0.24;96.050;30.880;37315.000;6.000
12.07.17;4:43:00 PM;0.49;96.180;30.860;37308.000;6.000
12.07.17;4:43:15 PM;0.74;95.960;30.890;37317.000;6.000
12.07.17;4:43:30 PM;0.99;96.220;30.860;37311.000;6.000
12.07.17;4:43:45 PM;1.24;96.040;30.880;37323.000;6.000
12.07.17;4:44:00 PM;1.49;96.050;30.880;37320.000;6.000
12.07.17;4:44:15 PM;1.74;96.020;30.880;37292.000;6.000
12.07.17;4:44:30 PM;1.99;96.350;30.840;37333.000;6.000
12.07.17;4:44:45 PM;2.24;96.290;30.850;37355.000;6.000
12.07.17;4:45:00 PM;2.49;96.310;30.850;37355.000;6.000
12.07.17;4:45:15 PM;2.74;96.200;30.860;37352.000;6.000
12.07.17;4:45:30 PM;2.99;96.170;30.870;37351.000;6.000
12.07.17;4:45:45 PM;3.24;95.640;30.930;37346.000;6.000
12.07.17;4:46:00 PM;3.49;95.860;30.900;37320.000;6.000
12.07.17;4:46:15 PM;3.74;96.120;30.870;37349.000;6.000
12.07.17;4:46:30 PM;3.99;95.780;30.910;37349.000;6.000
12.07.17;4:46:45 PM;4.24;96.410;30.840;37339.000;6.000
12.07.17;4:47:00 PM;4.49;96.220;30.860;37356.000;6.000
12.07.17;4:47:15 PM;4.74;96.080;30.880;37372.000;6.000
12.07.17;4:47:30 PM;4.99;95.990;30.890;37356.000;6.000
12.07.17;4:47:45 PM;5.24;95.720;30.920;37388.000;6.000
12.07.17;4:48:00 PM;5.49;95.900;30.900;37368.000;6.000
12.07.17;4:48:15 PM;5.74;95.960;30.890;37378.000;6.000
12.07.17;4:48:30 PM;5.99;96.140;30.870;37386.000;6.000
12.07.17;4:48:45 PM;6.24;95.540;30.940;37370.000;6.000
12.07.17;4:49:00 PM;6.49;95.550;30.940;37354.000;6.000
12.07.17;4:49:15 PM;6.74;95.970;30.890;37379.000;6.000
12.07.17;4:49:30 PM;6.99;95.540;30.940;37384.000;6.000
12.07.17;4:49:45 PM;7.24;95.940;30.890;37404.000;6.000
