Chamber	Time/hh:mm:ss	Logtime/min	Oxy/% air sat.	Phase/°	Amp	Temp/°C	% air-sat.	% oxygen	pO2 (hPa)	pO2 (Torr)	cO2 [mg/L]	cO2 [µmol/L]	Salinity	chlorinity	SalCorcO2 [mg/L]	SalCorcO2 [µmol/L]
6	14:57:23	0.00	98.850	29.930	40434.000	9.000	98.865241	20.7122679	207.429991	155.585718	11.39854062	356.204394	35	19.3739612	9.06799279	283.374775
6	14:57:38	0.25	98.300	29.990	40444.000	9.000	98.338193	20.6018515	206.324189	154.756296	11.33777539	354.305481	35	19.3739612	9.01965163	281.864113
6	14:57:53	0.50	98.640	29.950	40434.000	9.000	98.689183	20.6753838	207.060602	155.308653	11.37824224	355.570070	35	19.3739612	9.05184462	282.870144
6	14:58:08	0.75	98.350	29.980	40386.000	9.000	98.425800	20.6202051	206.507997	154.894164	11.34787590	354.621122	35	19.3739612	9.02768699	282.115218
6	14:58:23	1.00	98.520	29.960	40415.000	9.000	98.601295	20.6569712	206.876204	155.170342	11.36810931	355.253416	35	19.3739612	9.04378347	282.618233
6	14:58:38	1.25	97.910	30.030	40441.000	9.000	97.988700	20.5286326	205.590913	154.206292	11.29748097	353.046280	35	19.3739612	8.98759582	280.862369
6	14:58:53	1.50	97.790	30.050	40385.000	9.000	97.814511	20.4921401	205.225447	153.932169	11.27739813	352.418692	35	19.3739612	8.97161912	280.363097
6	14:59:08	1.75	97.580	30.070	40433.000	9.000	97.640694	20.4557253	204.860758	153.658630	11.25735804	351.792439	35	19.3739612	8.95567642	279.864888
6	14:59:23	2.00	98.340	29.980	40438.000	9.000	98.425800	20.6202051	206.507997	154.894164	11.34787590	354.621122	35	19.3739612	9.02768699	282.115218
6	14:59:38	2.25	98.640	29.950	40397.000	9.000	98.689183	20.6753838	207.060602	155.308653	11.37824224	355.570070	35	19.3739612	9.05184462	282.870144
6	14:59:53	2.50	99.270	29.880	40392.000	9.000	99.307037	20.8048243	208.356928	156.280980	11.44947700	357.796156	35	19.3739612	9.10851471	284.641085
6	15:00:08	2.75	97.490	30.080	40377.000	9.000	97.553923	20.4375470	204.678705	153.522078	11.24735399	351.479812	35	19.3739612	8.94771780	279.616181
6	15:00:23	3.00	98.590	29.960	40422.000	9.000	98.601295	20.6569712	206.876204	155.170342	11.36810931	355.253416	35	19.3739612	9.04378347	282.618233
6	15:00:38	3.25	97.610	30.070	40465.000	9.000	97.640694	20.4557253	204.860758	153.658630	11.25735804	351.792439	35	19.3739612	8.95567642	279.864888
6	15:00:53	3.50	98.230	30.000	40426.000	9.000	98.250680	20.5835175	206.140576	154.618575	11.32768566	353.990177	35	19.3739612	9.01162485	281.613276
6	15:01:08	3.75	98.430	29.970	40402.000	9.000	98.513501	20.6385784	206.692002	155.032179	11.35798720	354.937100	35	19.3739612	9.03573093	282.366591
6	15:01:23	4.00	98.100	30.010	40415.000	9.000	98.163260	20.5652030	205.957160	154.481001	11.31760669	353.675209	35	19.3739612	9.00360662	281.362707
6	15:01:38	4.25	97.920	30.030	40357.000	9.000	97.988700	20.5286326	205.590913	154.206292	11.29748097	353.046280	35	19.3739612	8.98759582	280.862369
6	15:01:53	4.50	98.180	30.000	40380.000	9.000	98.250680	20.5835175	206.140576	154.618575	11.32768566	353.990177	35	19.3739612	9.01162485	281.613276
6	15:02:08	4.75	98.230	30.000	40358.000	9.000	98.250680	20.5835175	206.140576	154.618575	11.32768566	353.990177	35	19.3739612	9.01162485	281.613276
6	15:02:23	5.00	97.730	30.050	40369.000	9.000	97.814511	20.4921401	205.225447	153.932169	11.27739813	352.418692	35	19.3739612	8.97161912	280.363097
6	15:02:38	5.25	97.770	30.050	40349.000	9.000	97.814511	20.4921401	205.225447	153.932169	11.27739813	352.418692	35	19.3739612	8.97161912	280.363097
6	15:02:53	5.50	97.890	30.040	40458.000	9.000	97.901559	20.5103766	205.408083	154.069158	11.28743420	352.732319	35	19.3739612	8.97960321	280.612600
6	15:03:08	5.75	98.860	29.930	40390.000	9.000	98.865241	20.7122679	207.429991	155.585718	11.39854062	356.204394	35	19.3739612	9.06799279	283.374775
6	15:03:23	6.00	98.350	29.980	40420.000	9.000	98.425800	20.6202051	206.507997	154.894164	11.34787590	354.621122	35	19.3739612	9.02768699	282.115218
6	15:03:38	6.25	98.530	29.960	40446.000	9.000	98.601295	20.6569712	206.876204	155.170342	11.36810931	355.253416	35	19.3739612	9.04378347	282.618233
6	15:03:53	6.50	97.910	30.030	40372.000	9.000	97.988700	20.5286326	205.590913	154.206292	11.29748097	353.046280	35	19.3739612	8.98759582	280.862369
6	15:04:08	6.75	99.010	29.910	40429.000	9.000	99.041676	20.7492311	207.800171	155.863376	11.41888247	356.840077	35	19.3739612	9.08417554	283.880486
6	15:04:23	7.00	98.530	29.960	40373.000	9.000	98.601295	20.6569712	206.876204	155.170342	11.36810931	355.253416	35	19.3739612	9.04378347	282.618233
6	15:04:38	7.25	98.330	29.990	40382.000	9.000	98.338193	20.6018515	206.324189	154.756296	11.33777539	354.305481	35	19.3739612	9.01965163	281.864113
6	15:04:53	7.50	98.540	29.960	40385.000	9.000	98.601295	20.6569712	206.876204	155.170342	11.36810931	355.253416	35	19.3739612	9.04378347	282.618233
6	15:05:08	7.75	98.150	30.010	40358.000	9.000	98.163260	20.5652030	205.957160	154.481001	11.31760669	353.675209	35	19.3739612	9.00360662	281.362707
6	15:05:23	8.00	98.610	29.950	40451.000	9.000	98.689183	20.6753838	207.060602	155.308653	11.37824224	355.570070	35	19.3739612	9.05184462	282.870144
6	15:05:38	8.25	98.490	29.970	40405.000	9.000	98.513501	20.6385784	206.692002	155.032179	11.35798720	354.937100	35	19.3739612	9.03573093	282.366591
6	15:05:53	8.50	98.760	29.940	40426.000	9.000	98.777165	20.6938160	207.245198	155.447111	11.38838600	355.887063	35	19.3739612	9.05991438	283.122325
6	15:06:08	8.75	97.340	30.100	40384.000	9.000	97.380660	20.4012483	204.315180	153.249411	11.22737780	350.855556	35	19.3739612	8.93182595	279.119561
6	15:06:23	9.00	98.410	29.980	40452.000	9.000	98.425800	20.6202051	206.507997	154.894164	11.34787590	354.621122	35	19.3739612	9.02768699	282.115218
6	15:06:38	9.25	98.520	29.960	40331.000	9.000	98.601295	20.6569712	206.876204	155.170342	11.36810931	355.253416	35	19.3739612	9.04378347	282.618233
6	15:06:53	9.50	98.130	30.010	40363.000	9.000	98.163260	20.5652030	205.957160	154.481001	11.31760669	353.675209	35	19.3739612	9.00360662	281.362707
6	15:07:08	9.75	97.820	30.040	40448.000	9.000	97.901559	20.5103766	205.408083	154.069158	11.28743420	352.732319	35	19.3739612	8.97960321	280.612600
6	15:07:23	10.00	98.920	29.920	40428.000	9.000	98.953411	20.7307396	207.614982	155.724473	11.40870610	356.522066	35	19.3739612	9.07607983	283.627495
6	15:07:38	10.25	99.080	29.900	40459.000	9.000	99.130035	20.7677423	207.985558	156.002429	11.42906973	357.158429	35	19.3739612	9.09227991	284.133747
6	15:07:53	10.50	98.490	29.970	40383.000	9.000	98.513501	20.6385784	206.692002	155.032179	11.35798720	354.937100	35	19.3739612	9.03573093	282.366591
6	15:08:08	10.75	98.120	30.010	40403.000	9.000	98.163260	20.5652030	205.957160	154.481001	11.31760669	353.675209	35	19.3739612	9.00360662	281.362707
6	15:08:23	11.00	98.650	29.950	40408.000	9.000	98.689183	20.6753838	207.060602	155.308653	11.37824224	355.570070	35	19.3739612	9.05184462	282.870144
6	15:08:38	11.25	98.430	29.970	40395.000	9.000	98.513501	20.6385784	206.692002	155.032179	11.35798720	354.937100	35	19.3739612	9.03573093	282.366591
6	15:08:53	11.50	98.650	29.950	40400.000	9.000	98.689183	20.6753838	207.060602	155.308653	11.37824224	355.570070	35	19.3739612	9.05184462	282.870144
6	15:09:08	11.75	98.110	30.010	40389.000	9.000	98.163260	20.5652030	205.957160	154.481001	11.31760669	353.675209	35	19.3739612	9.00360662	281.362707
6	15:09:23	12.00	97.970	30.030	40366.000	9.000	97.988700	20.5286326	205.590913	154.206292	11.29748097	353.046280	35	19.3739612	8.98759582	280.862369
6	15:09:38	12.25	97.780	30.050	40367.000	9.000	97.814511	20.4921401	205.225447	153.932169	11.27739813	352.418692	35	19.3739612	8.97161912	280.363097
6	15:09:53	12.50	98.680	29.950	40397.000	9.000	98.689183	20.6753838	207.060602	155.308653	11.37824224	355.570070	35	19.3739612	9.05184462	282.870144
6	15:10:08	12.75	98.680	29.950	40358.000	9.000	98.689183	20.6753838	207.060602	155.308653	11.37824224	355.570070	35	19.3739612	9.05184462	282.870144
6	15:10:23	13.00	98.160	30.010	40353.000	9.000	98.163260	20.5652030	205.957160	154.481001	11.31760669	353.675209	35	19.3739612	9.00360662	281.362707
6	15:10:38	13.25	98.480	29.970	40423.000	9.000	98.513501	20.6385784	206.692002	155.032179	11.35798720	354.937100	35	19.3739612	9.03573093	282.366591
6	15:10:53	13.50	98.600	29.960	40367.000	9.000	98.601295	20.6569712	206.876204	155.170342	11.36810931	355.253416	35	19.3739612	9.04378347	282.618233
6	15:11:08	13.75	98.850	29.930	40357.000	9.000	98.865241	20.7122679	207.429991	155.585718	11.39854062	356.204394	35	19.3739612	9.06799279	283.374775
6	15:11:23	14.00	98.250	29.990	40376.000	9.000	98.338193	20.6018515	206.324189	154.756296	11.33777539	354.305481	35	19.3739612	9.01965163	281.864113
6	15:11:38	14.25	98.560	29.960	40375.000	9.000	98.601295	20.6569712	206.876204	155.170342	11.36810931	355.253416	35	19.3739612	9.04378347	282.618233
6	15:11:53	14.50	98.240	30.000	40385.000	9.000	98.250680	20.5835175	206.140576	154.618575	11.32768566	353.990177	35	19.3739612	9.01162485	281.613276
6	15:12:08	14.75	98.900	29.920	40405.000	9.000	98.953411	20.7307396	207.614982	155.724473	11.40870610	356.522066	35	19.3739612	9.07607983	283.627495
6	15:12:23	15.00	98.430	29.970	40376.000	9.000	98.513501	20.6385784	206.692002	155.032179	11.35798720	354.937100	35	19.3739612	9.03573093	282.366591
6	15:12:38	15.25	97.600	30.070	40398.000	9.000	97.640694	20.4557253	204.860758	153.658630	11.25735804	351.792439	35	19.3739612	8.95567642	279.864888
6	15:12:53	15.50	98.810	29.930	40421.000	9.000	98.865241	20.7122679	207.429991	155.585718	11.39854062	356.204394	35	19.3739612	9.06799279	283.374775
6	15:13:08	15.75	98.510	29.970	40396.000	9.000	98.513501	20.6385784	206.692002	155.032179	11.35798720	354.937100	35	19.3739612	9.03573093	282.366591
6	15:13:23	16.00	97.990	30.020	40312.000	9.000	98.075934	20.5469081	205.773939	154.343573	11.30753847	353.360577	35	19.3739612	8.99559695	281.112405
6	15:13:38	16.25	98.610	29.950	40384.000	9.000	98.689183	20.6753838	207.060602	155.308653	11.37824224	355.570070	35	19.3739612	9.05184462	282.870144
6	15:13:53	16.50	98.610	29.950	40392.000	9.000	98.689183	20.6753838	207.060602	155.308653	11.37824224	355.570070	35	19.3739612	9.05184462	282.870144
6	15:14:08	16.75	98.390	29.980	40382.000	9.000	98.425800	20.6202051	206.507997	154.894164	11.34787590	354.621122	35	19.3739612	9.02768699	282.115218
6	15:14:23	17.00	98.860	29.930	40380.000	9.000	98.865241	20.7122679	207.429991	155.585718	11.39854062	356.204394	35	19.3739612	9.06799279	283.374775
6	15:14:38	17.25	98.360	29.980	40347.000	9.000	98.425800	20.6202051	206.507997	154.894164	11.34787590	354.621122	35	19.3739612	9.02768699	282.115218
6	15:14:53	17.50	98.450	29.970	40329.000	9.000	98.513501	20.6385784	206.692002	155.032179	11.35798720	354.937100	35	19.3739612	9.03573093	282.366591
6	15:15:08	17.75	98.130	30.010	40344.000	9.000	98.163260	20.5652030	205.957160	154.481001	11.31760669	353.675209	35	19.3739612	9.00360662	281.362707
6	15:15:23	18.00	98.270	29.990	40343.000	9.000	98.338193	20.6018515	206.324189	154.756296	11.33777539	354.305481	35	19.3739612	9.01965163	281.864113
6	15:15:38	18.25	97.410	30.090	40356.000	9.000	97.467246	20.4193880	204.496846	153.385672	11.23736058	351.167518	35	19.3739612	8.93976765	279.367739
6	15:15:53	18.50	98.830	29.930	40336.000	9.000	98.865241	20.7122679	207.429991	155.585718	11.39854062	356.204394	35	19.3739612	9.06799279	283.374775
6	15:16:08	18.75	97.860	30.040	40415.000	9.000	97.901559	20.5103766	205.408083	154.069158	11.28743420	352.732319	35	19.3739612	8.97960321	280.612600
6	15:16:23	19.00	98.710	29.940	40320.000	9.000	98.777165	20.6938160	207.245198	155.447111	11.38838600	355.887063	35	19.3739612	9.05991438	283.122325
6	15:16:38	19.25	98.610	29.950	40372.000	9.000	98.689183	20.6753838	207.060602	155.308653	11.37824224	355.570070	35	19.3739612	9.05184462	282.870144
6	15:16:53	19.50	98.490	29.970	40372.000	9.000	98.513501	20.6385784	206.692002	155.032179	11.35798720	354.937100	35	19.3739612	9.03573093	282.366591
