12.07.17/2:21 PM SW ver:OXY10v3_33
Header Ch-8
Description: TBE3-9
IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 103779
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
12.07.17;2:21:14 PM;0.00;95.060;30.370;32582.000;9.000
12.07.17;2:21:26 PM;0.21;95.070;30.370;32583.000;9.000
12.07.17;2:21:41 PM;0.46;94.690;30.410;32576.000;9.000
12.07.17;2:21:56 PM;0.71;94.840;30.390;32584.000;9.000
12.07.17;2:22:12 PM;0.96;94.900;30.390;32574.000;9.000
12.07.17;2:22:26 PM;1.21;95.080;30.360;32556.000;9.000
12.07.17;2:22:41 PM;1.46;94.720;30.410;32578.000;9.000
12.07.17;2:22:56 PM;1.71;94.660;30.410;32582.000;9.000
12.07.17;2:23:11 PM;1.96;94.660;30.410;32578.000;9.000
12.07.17;2:23:27 PM;2.21;94.830;30.390;32559.000;9.000
12.07.17;2:23:41 PM;2.46;95.120;30.360;32570.000;9.000
12.07.17;2:23:57 PM;2.71;94.790;30.400;32577.000;9.000
12.07.17;2:24:11 PM;2.96;94.840;30.390;32555.000;9.000
12.07.17;2:24:26 PM;3.21;94.810;30.400;32553.000;9.000
12.07.17;2:24:41 PM;3.46;95.020;30.370;32549.000;9.000
12.07.17;2:24:56 PM;3.71;95.080;30.360;32548.000;9.000
12.07.17;2:25:12 PM;3.96;94.910;30.380;32533.000;9.000
12.07.17;2:25:26 PM;4.21;94.730;30.410;32551.000;9.000
12.07.17;2:25:42 PM;4.46;94.900;30.390;32559.000;9.000
12.07.17;2:25:56 PM;4.71;94.750;30.400;32553.000;9.000
12.07.17;2:26:11 PM;4.96;95.080;30.360;32540.000;9.000
12.07.17;2:26:27 PM;5.21;94.900;30.390;32543.000;9.000
12.07.17;2:26:41 PM;5.46;95.220;30.350;32555.000;9.000
12.07.17;2:26:56 PM;5.71;94.800;30.400;32525.000;9.000
12.07.17;2:27:11 PM;5.96;94.880;30.390;32532.000;9.000
12.07.17;2:27:26 PM;6.21;95.020;30.370;32521.000;9.000
12.07.17;2:27:41 PM;6.46;94.880;30.390;32534.000;9.000
12.07.17;2:27:57 PM;6.71;95.040;30.370;32533.000;9.000
12.07.17;2:28:11 PM;6.96;94.540;30.430;32530.000;9.000
12.07.17;2:28:26 PM;7.21;95.090;30.360;32541.000;9.000
12.07.17;2:28:41 PM;7.46;95.130;30.360;32545.000;9.000
12.07.17;2:28:56 PM;7.71;94.800;30.400;32550.000;9.000
12.07.17;2:29:11 PM;7.96;95.120;30.360;32522.000;9.000
12.07.17;2:29:26 PM;8.21;94.970;30.380;32534.000;9.000
12.07.17;2:29:42 PM;8.46;95.380;30.330;32531.000;9.000
12.07.17;2:29:56 PM;8.71;95.160;30.350;32536.000;9.000
12.07.17;2:30:11 PM;8.96;94.980;30.380;32534.000;9.000
12.07.17;2:30:26 PM;9.21;94.840;30.390;32513.000;9.000
12.07.17;2:30:41 PM;9.46;95.410;30.330;32505.000;9.000
12.07.17;2:30:56 PM;9.71;94.950;30.380;32504.000;9.000
12.07.17;2:31:11 PM;9.96;95.120;30.360;32505.000;9.000
