13.07.17/12:29 PM SW ver:OXY10v3_33
Header Ch-8
Description: TBN1-12
IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 103481
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
13.07.17;12:29:43 PM;0.00;95.880;29.660;31617.000;12.000
13.07.17;12:29:46 PM;0.05;96.330;29.610;31618.000;12.000
13.07.17;12:30:01 PM;0.30;96.410;29.600;31603.000;12.000
13.07.17;12:30:17 PM;0.55;96.450;29.590;31587.000;12.000
13.07.17;12:30:32 PM;0.80;95.670;29.690;31643.000;12.000
13.07.17;12:30:46 PM;1.05;95.950;29.650;31609.000;12.000
13.07.17;12:31:01 PM;1.30;96.010;29.650;31601.000;12.000
13.07.17;12:31:17 PM;1.55;95.820;29.670;31596.000;12.000
13.07.17;12:31:32 PM;1.80;96.810;29.550;31578.000;12.000
13.07.17;12:31:46 PM;2.05;96.310;29.610;31602.000;12.000
13.07.17;12:32:01 PM;2.30;96.140;29.630;31633.000;12.000
13.07.17;12:32:16 PM;2.55;95.470;29.710;31606.000;12.000
13.07.17;12:32:32 PM;2.80;95.650;29.690;31631.000;12.000
13.07.17;12:32:46 PM;3.05;96.590;29.580;31612.000;12.000
13.07.17;12:33:02 PM;3.30;96.230;29.620;31642.000;12.000
13.07.17;12:33:17 PM;3.55;96.170;29.630;31599.000;12.000
13.07.17;12:33:32 PM;3.80;96.500;29.590;31592.000;12.000
13.07.17;12:33:47 PM;4.05;95.790;29.670;31606.000;12.000
13.07.17;12:34:02 PM;4.30;95.830;29.670;31614.000;12.000
13.07.17;12:34:16 PM;4.55;95.920;29.660;31630.000;12.000
13.07.17;12:34:32 PM;4.80;95.660;29.690;31607.000;12.000
13.07.17;12:34:47 PM;5.05;96.100;29.630;31663.000;12.000
13.07.17;12:35:01 PM;5.30;95.870;29.660;31612.000;12.000
13.07.17;12:35:16 PM;5.55;96.380;29.600;31603.000;12.000
13.07.17;12:35:31 PM;5.80;96.410;29.600;31614.000;12.000
13.07.17;12:35:47 PM;6.05;95.390;29.720;31603.000;12.000
13.07.17;12:36:02 PM;6.30;96.420;29.600;31611.000;12.000
13.07.17;12:36:17 PM;6.55;96.550;29.580;31594.000;12.000
13.07.17;12:36:32 PM;6.80;95.810;29.670;31574.000;12.000
13.07.17;12:36:46 PM;7.05;96.390;29.600;31598.000;12.000
13.07.17;12:37:01 PM;7.30;96.430;29.600;31634.000;12.000
13.07.17;12:37:16 PM;7.55;95.920;29.660;31629.000;12.000
13.07.17;12:37:32 PM;7.80;96.130;29.630;31606.000;12.000
13.07.17;12:37:47 PM;8.05;96.480;29.590;31633.000;12.000
13.07.17;12:38:01 PM;8.30;96.870;29.550;31629.000;12.000
13.07.17;12:38:17 PM;8.55;95.660;29.690;31640.000;12.000
13.07.17;12:38:32 PM;8.80;96.610;29.580;31612.000;12.000
13.07.17;12:38:47 PM;9.05;96.550;29.580;31641.000;12.000
13.07.17;12:39:01 PM;9.30;96.860;29.550;31658.000;12.000
13.07.17;12:39:16 PM;9.55;96.330;29.610;31596.000;12.000
13.07.17;12:39:31 PM;9.80;96.330;29.610;31625.000;12.000
13.07.17;12:39:46 PM;10.05;96.130;29.630;31627.000;12.000
13.07.17;12:40:02 PM;10.30;96.250;29.620;31637.000;12.000
13.07.17;12:40:16 PM;10.55;95.680;29.680;31612.000;12.000
13.07.17;12:40:32 PM;10.80;96.170;29.630;31622.000;12.000
13.07.17;12:40:46 PM;11.05;95.850;29.660;31596.000;12.000
13.07.17;12:41:01 PM;11.30;96.420;29.600;31646.000;12.000
13.07.17;12:41:16 PM;11.55;95.800;29.670;31615.000;12.000
13.07.17;12:41:31 PM;11.80;96.390;29.600;31634.000;12.000
13.07.17;12:41:47 PM;12.05;96.230;29.620;31609.000;12.000
13.07.17;12:42:02 PM;12.30;96.610;29.580;31608.000;12.000
13.07.17;12:42:16 PM;12.55;95.900;29.660;31631.000;12.000
13.07.17;12:42:31 PM;12.80;95.670;29.680;31646.000;12.000
13.07.17;12:42:47 PM;13.05;95.930;29.650;31678.000;12.000
13.07.17;12:43:02 PM;13.30;96.040;29.640;31651.000;12.000
13.07.17;12:43:17 PM;13.55;95.540;29.700;31653.000;12.000
13.07.17;12:43:32 PM;13.80;95.310;29.730;31677.000;12.000
13.07.17;12:43:47 PM;14.05;95.920;29.660;31650.000;12.000
13.07.17;12:44:02 PM;14.30;95.760;29.670;31648.000;12.000
13.07.17;12:44:17 PM;14.55;96.180;29.630;31691.000;12.000
13.07.17;12:44:32 PM;14.80;96.020;29.640;31676.000;12.000
13.07.17;12:44:46 PM;15.05;95.390;29.720;31648.000;12.000
13.07.17;12:45:01 PM;15.30;95.460;29.710;31656.000;12.000
13.07.17;12:45:17 PM;15.55;96.380;29.600;31645.000;12.000
13.07.17;12:45:31 PM;15.80;96.310;29.610;31651.000;12.000
13.07.17;12:45:47 PM;16.05;95.890;29.660;31668.000;12.000
13.07.17;12:46:02 PM;16.30;96.230;29.620;31679.000;12.000
13.07.17;12:46:17 PM;16.55;96.340;29.610;31642.000;12.000
13.07.17;12:46:32 PM;16.80;96.520;29.590;31640.000;12.000
13.07.17;12:46:47 PM;17.05;96.470;29.590;31638.000;12.000
13.07.17;12:47:02 PM;17.30;96.200;29.620;31671.000;12.000
