13.07.17/11:56 AM SW ver:OXY10v3_33
Header Ch-5
Description: WWJ2-12
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 104935
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
13.07.17;11:56:41 AM;0.00;93.230;29.970;50070.000;12.000
13.07.17;11:56:56 AM;0.24;92.980;30.000;50071.000;12.000
13.07.17;11:57:11 AM;0.49;93.110;29.990;50067.000;12.000
13.07.17;11:57:26 AM;0.74;93.090;29.990;50120.000;12.000
13.07.17;11:57:41 AM;0.99;92.760;30.030;50058.000;12.000
13.07.17;11:57:56 AM;1.24;93.010;30.000;50104.000;12.000
13.07.17;11:58:11 AM;1.49;92.830;30.020;50083.000;12.000
13.07.17;11:58:26 AM;1.74;92.840;30.020;50068.000;12.000
13.07.17;11:58:41 AM;1.99;92.900;30.010;50106.000;12.000
13.07.17;11:58:56 AM;2.24;92.950;30.010;50098.000;12.000
13.07.17;11:59:11 AM;2.49;93.080;29.990;50098.000;12.000
13.07.17;11:59:26 AM;2.74;93.090;29.990;50099.000;12.000
13.07.17;11:59:41 AM;2.99;92.950;30.010;50129.000;12.000
13.07.17;11:59:56 AM;3.24;92.750;30.030;50130.000;12.000
