13.07.17/11:56 AM SW ver:OXY10v3_33
Header Ch-6
Description: WWD3-12
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 102065
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
13.07.17;11:56:43 AM;0.00;96.010;29.650;39979.000;12.000
13.07.17;11:56:58 AM;0.24;96.660;29.570;39977.000;12.000
13.07.17;11:57:13 AM;0.49;95.940;29.650;39992.000;12.000
13.07.17;11:57:28 AM;0.74;96.360;29.600;39987.000;12.000
13.07.17;11:57:43 AM;0.99;96.090;29.640;39953.000;12.000
13.07.17;11:57:58 AM;1.24;96.490;29.590;39989.000;12.000
13.07.17;11:58:13 AM;1.49;95.770;29.670;39968.000;12.000
13.07.17;11:58:28 AM;1.74;95.800;29.670;39970.000;12.000
13.07.17;11:58:43 AM;1.99;95.850;29.660;39967.000;12.000
13.07.17;11:58:58 AM;2.24;95.880;29.660;39948.000;12.000
13.07.17;11:59:13 AM;2.49;96.280;29.610;39926.000;12.000
13.07.17;11:59:28 AM;2.74;96.440;29.600;39937.000;12.000
13.07.17;11:59:43 AM;2.99;96.150;29.630;39980.000;12.000
13.07.17;11:59:58 AM;3.24;96.250;29.620;39928.000;12.000
