13.07.17/11:56 AM SW ver:OXY10v3_33
Header Ch-7
Description: TBI4-12
IDENTIFICATION
PHIboard number   : v1231479
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 07

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 97926
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 040800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 027000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
13.07.17;11:56:39 AM;0.00;93.790;29.910;35323.000;12.000
13.07.17;11:56:45 AM;0.09;94.290;29.850;35316.000;12.000
13.07.17;11:57:00 AM;0.34;93.390;29.960;35305.000;12.000
13.07.17;11:57:15 AM;0.59;93.530;29.940;35325.000;12.000
13.07.17;11:57:30 AM;0.84;94.000;29.880;35314.000;12.000
13.07.17;11:57:45 AM;1.09;93.940;29.890;35337.000;12.000
13.07.17;11:58:00 AM;1.34;93.880;29.900;35298.000;12.000
13.07.17;11:58:15 AM;1.59;93.800;29.910;35320.000;12.000
13.07.17;11:58:30 AM;1.84;93.940;29.890;35313.000;12.000
13.07.17;11:58:45 AM;2.09;94.260;29.850;35316.000;12.000
13.07.17;11:59:00 AM;2.34;94.390;29.840;35312.000;12.000
13.07.17;11:59:15 AM;2.59;94.000;29.880;35299.000;12.000
13.07.17;11:59:30 AM;2.84;93.690;29.920;35332.000;12.000
13.07.17;11:59:45 AM;3.09;93.950;29.890;35307.000;12.000
13.07.17;12:00:00 PM;3.34;94.230;29.850;35297.000;12.000
13.07.17;12:00:15 PM;3.59;93.700;29.920;35310.000;12.000
13.07.17;12:00:30 PM;3.84;93.930;29.890;35265.000;12.000
13.07.17;12:00:45 PM;4.09;93.950;29.890;35273.000;12.000
13.07.17;12:01:00 PM;4.34;93.830;29.900;35267.000;12.000
13.07.17;12:01:15 PM;4.59;93.790;29.910;35303.000;12.000
13.07.17;12:01:30 PM;4.84;93.590;29.930;35281.000;12.000
13.07.17;12:01:45 PM;5.09;94.150;29.860;35285.000;12.000
13.07.17;12:02:00 PM;5.34;94.050;29.880;35277.000;12.000
13.07.17;12:02:15 PM;5.59;93.510;29.940;35257.000;12.000
