13.07.17/10:39 AM SW ver:OXY10v3_33
Header Ch-10
Description: WBI2-15
IDENTIFICATION
PHIboard number   : v1231482
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 10

PARAMETERS
Signal LED current: 050
Ref LED current   : 068
Ref LED amplitude : 101543
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 045200
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
13.07.17;10:39:01 AM;0.00;96.400;29.010;44300.000;15.000
13.07.17;10:39:10 AM;0.14;96.310;29.020;44298.000;15.000
13.07.17;10:39:25 AM;0.39;96.270;29.030;44299.000;15.000
13.07.17;10:39:40 AM;0.65;96.490;29.000;44264.000;15.000
13.07.17;10:39:55 AM;0.89;96.210;29.030;44286.000;15.000
13.07.17;10:40:09 AM;1.14;96.470;29.000;44269.000;15.000
13.07.17;10:40:25 AM;1.40;95.980;29.060;44281.000;15.000
13.07.17;10:40:40 AM;1.64;96.850;28.960;44264.000;15.000
13.07.17;10:40:55 AM;1.89;96.050;29.050;44295.000;15.000
13.07.17;10:41:10 AM;2.14;96.540;29.000;44276.000;15.000
13.07.17;10:41:25 AM;2.39;96.140;29.040;44248.000;15.000
13.07.17;10:41:40 AM;2.65;96.100;29.050;44276.000;15.000
13.07.17;10:41:55 AM;2.89;96.910;28.950;44257.000;15.000
13.07.17;10:42:10 AM;3.14;96.180;29.040;44311.000;15.000
13.07.17;10:42:25 AM;3.39;96.600;28.990;44300.000;15.000
13.07.17;10:42:40 AM;3.65;96.140;29.040;44245.000;15.000
13.07.17;10:42:55 AM;3.90;96.470;29.000;44335.000;15.000
13.07.17;10:43:10 AM;4.14;96.110;29.040;44312.000;15.000
13.07.17;10:43:25 AM;4.39;96.080;29.050;44252.000;15.000
13.07.17;10:43:40 AM;4.65;96.440;29.010;44290.000;15.000
13.07.17;10:43:55 AM;4.90;96.040;29.050;44310.000;15.000
13.07.17;10:44:10 AM;5.14;95.940;29.060;44251.000;15.000
13.07.17;10:44:25 AM;5.39;95.890;29.070;44335.000;15.000
13.07.17;10:44:40 AM;5.65;95.790;29.080;44301.000;15.000
13.07.17;10:44:55 AM;5.89;96.100;29.050;44271.000;15.000
13.07.17;10:45:10 AM;6.14;96.830;28.960;44318.000;15.000
13.07.17;10:45:25 AM;6.39;96.350;29.020;44305.000;15.000
13.07.17;10:45:40 AM;6.65;96.460;29.000;44345.000;15.000
13.07.17;10:45:55 AM;6.89;96.340;29.020;44316.000;15.000
13.07.17;10:46:10 AM;7.14;96.500;29.000;44340.000;15.000
13.07.17;10:46:25 AM;7.40;96.000;29.060;44285.000;15.000
13.07.17;10:46:40 AM;7.64;95.960;29.060;44290.000;15.000
13.07.17;10:46:55 AM;7.90;96.260;29.030;44307.000;15.000
13.07.17;10:47:10 AM;8.14;95.640;29.100;44284.000;15.000
13.07.17;10:47:25 AM;8.39;95.890;29.070;44282.000;15.000
13.07.17;10:47:40 AM;8.65;96.160;29.040;44290.000;15.000
13.07.17;10:47:55 AM;8.89;96.500;29.000;44307.000;15.000
13.07.17;10:48:10 AM;9.15;95.980;29.060;44264.000;15.000
13.07.17;10:48:25 AM;9.40;95.550;29.110;44265.000;15.000
13.07.17;10:48:40 AM;9.64;96.030;29.050;44280.000;15.000
13.07.17;10:48:55 AM;9.89;95.710;29.090;44286.000;15.000
13.07.17;10:49:10 AM;10.15;95.980;29.060;44292.000;15.000
13.07.17;10:49:25 AM;10.39;96.060;29.050;44284.000;15.000
13.07.17;10:49:40 AM;10.64;96.050;29.050;44297.000;15.000
13.07.17;10:49:55 AM;10.90;96.220;29.030;44274.000;15.000
13.07.17;10:50:10 AM;11.15;95.950;29.060;44340.000;15.000
13.07.17;10:50:25 AM;11.40;96.050;29.050;44294.000;15.000
13.07.17;10:50:40 AM;11.64;96.370;29.010;44320.000;15.000
13.07.17;10:50:55 AM;11.90;96.240;29.030;44263.000;15.000
13.07.17;10:51:10 AM;12.14;96.000;29.060;44292.000;15.000
13.07.17;10:51:25 AM;12.40;96.330;29.020;44268.000;15.000
13.07.17;10:51:40 AM;12.64;96.120;29.040;44298.000;15.000
13.07.17;10:51:55 AM;12.89;96.030;29.050;44223.000;15.000
13.07.17;10:52:10 AM;13.14;96.680;28.980;44293.000;15.000
13.07.17;10:52:25 AM;13.40;96.420;29.010;44272.000;15.000
13.07.17;10:52:40 AM;13.64;96.290;29.020;44219.000;15.000
13.07.17;10:52:55 AM;13.90;96.420;29.010;44253.000;15.000
13.07.17;10:53:10 AM;14.15;95.790;29.080;44282.000;15.000
13.07.17;10:53:25 AM;14.39;96.330;29.020;44214.000;15.000
13.07.17;10:53:40 AM;14.64;96.210;29.030;44296.000;15.000
13.07.17;10:53:55 AM;14.89;96.210;29.030;44282.000;15.000
13.07.17;10:54:10 AM;15.15;96.490;29.000;44208.000;15.000
13.07.17;10:54:25 AM;15.40;96.070;29.050;44241.000;15.000
13.07.17;10:54:40 AM;15.64;96.030;29.050;44194.000;15.000
13.07.17;10:54:55 AM;15.89;96.330;29.020;44238.000;15.000
13.07.17;10:55:10 AM;16.14;95.950;29.060;44183.000;15.000
13.07.17;10:55:25 AM;16.39;96.400;29.010;44237.000;15.000
13.07.17;10:55:40 AM;16.64;95.960;29.060;44256.000;15.000
13.07.17;10:55:55 AM;16.90;96.210;29.030;44183.000;15.000
13.07.17;10:56:10 AM;17.14;96.180;29.040;44218.000;15.000
13.07.17;10:56:25 AM;17.39;96.190;29.040;44204.000;15.000
13.07.17;10:56:40 AM;17.64;96.330;29.020;44215.000;15.000
13.07.17;10:56:55 AM;17.90;96.050;29.050;44195.000;15.000
13.07.17;10:57:10 AM;18.15;96.250;29.030;44244.000;15.000
13.07.17;10:57:25 AM;18.39;96.250;29.030;44170.000;15.000
13.07.17;10:57:40 AM;18.65;96.700;28.980;44196.000;15.000
13.07.17;10:57:55 AM;18.89;96.070;29.050;44214.000;15.000
13.07.17;10:58:10 AM;19.15;96.430;29.010;44190.000;15.000
13.07.17;10:58:25 AM;19.39;96.550;28.990;44124.000;15.000
13.07.17;10:58:40 AM;19.65;96.260;29.030;44163.000;15.000
13.07.17;10:58:55 AM;19.90;96.000;29.060;44167.000;15.000
13.07.17;10:59:10 AM;20.15;96.210;29.030;44178.000;15.000
13.07.17;10:59:25 AM;20.40;96.540;29.000;44209.000;15.000
13.07.17;10:59:40 AM;20.64;96.630;28.980;44166.000;15.000
13.07.17;10:59:55 AM;20.90;96.370;29.010;44162.000;15.000
13.07.17;11:00:10 AM;21.15;96.940;28.950;44143.000;15.000
13.07.17;11:00:25 AM;21.40;96.510;29.000;44145.000;15.000
13.07.17;11:00:40 AM;21.64;96.470;29.000;44179.000;15.000
13.07.17;11:00:55 AM;21.90;96.690;28.980;44155.000;15.000
13.07.17;11:01:10 AM;22.15;96.720;28.970;44176.000;15.000
13.07.17;11:01:25 AM;22.39;96.640;28.980;44133.000;15.000
13.07.17;11:01:40 AM;22.64;96.390;29.010;44179.000;15.000
13.07.17;11:01:55 AM;22.89;96.120;29.040;44156.000;15.000
13.07.17;11:02:10 AM;23.15;96.730;28.970;44133.000;15.000
13.07.17;11:02:25 AM;23.40;96.520;29.000;44098.000;15.000
13.07.17;11:02:40 AM;23.64;97.070;28.930;44138.000;15.000
13.07.17;11:02:55 AM;23.90;96.480;29.000;44158.000;15.000
13.07.17;11:03:10 AM;24.15;96.790;28.970;44143.000;15.000
