13.07.17/10:38 AM SW ver:OXY10v3_33
Header Ch-5
Description: WWJ2-15
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 104935
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
13.07.17;10:38:56 AM;0.00;93.910;29.300;48853.000;15.000
13.07.17;10:39:00 AM;0.06;94.090;29.280;48835.000;15.000
13.07.17;10:39:15 AM;0.31;94.040;29.280;48865.000;15.000
13.07.17;10:39:30 AM;0.57;94.310;29.250;48868.000;15.000
13.07.17;10:39:45 AM;0.82;94.430;29.240;48883.000;15.000
13.07.17;10:40:00 AM;1.06;93.960;29.290;48907.000;15.000
13.07.17;10:40:15 AM;1.32;94.100;29.280;48899.000;15.000
13.07.17;10:40:30 AM;1.57;94.020;29.290;48889.000;15.000
13.07.17;10:40:45 AM;1.82;94.080;29.280;48915.000;15.000
13.07.17;10:41:00 AM;2.07;93.550;29.340;48933.000;15.000
13.07.17;10:41:15 AM;2.32;93.750;29.320;48944.000;15.000
13.07.17;10:41:30 AM;2.56;93.830;29.310;48959.000;15.000
13.07.17;10:41:45 AM;2.82;93.410;29.360;48992.000;15.000
13.07.17;10:42:00 AM;3.06;94.250;29.260;48964.000;15.000
