13.07.17/10:38 AM SW ver:OXY10v3_33
Header Ch-6
Description: WWD3-15
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 102065
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
13.07.17;10:38:58 AM;0.00;96.440;29.010;38741.000;15.000
13.07.17;10:39:02 AM;0.07;97.280;28.910;38703.000;15.000
13.07.17;10:39:17 AM;0.32;97.850;28.850;38732.000;15.000
13.07.17;10:39:32 AM;0.57;96.910;28.950;38695.000;15.000
13.07.17;10:39:47 AM;0.82;96.720;28.970;38716.000;15.000
13.07.17;10:40:02 AM;1.07;96.350;29.020;38660.000;15.000
13.07.17;10:40:17 AM;1.32;97.540;28.880;38759.000;15.000
13.07.17;10:40:32 AM;1.57;96.880;28.960;38714.000;15.000
13.07.17;10:40:47 AM;1.82;96.830;28.960;38787.000;15.000
13.07.17;10:41:02 AM;2.07;96.960;28.950;38761.000;15.000
13.07.17;10:41:17 AM;2.32;96.750;28.970;38720.000;15.000
13.07.17;10:41:32 AM;2.57;96.920;28.950;38715.000;15.000
13.07.17;10:41:47 AM;2.82;97.250;28.910;38756.000;15.000
13.07.17;10:42:02 AM;3.07;96.570;28.990;38732.000;15.000
13.07.17;10:42:17 AM;3.32;97.120;28.930;38803.000;15.000
13.07.17;10:42:32 AM;3.57;96.400;29.010;38780.000;15.000
13.07.17;10:42:47 AM;3.82;97.350;28.900;38787.000;15.000
13.07.17;10:43:02 AM;4.07;96.970;28.950;38752.000;15.000
13.07.17;10:43:17 AM;4.32;96.470;29.000;38773.000;15.000
13.07.17;10:43:32 AM;4.57;96.740;28.970;38793.000;15.000
13.07.17;10:43:47 AM;4.82;96.730;28.970;38775.000;15.000
13.07.17;10:44:02 AM;5.07;96.300;29.020;38749.000;15.000
13.07.17;10:44:17 AM;5.32;97.020;28.940;38812.000;15.000
13.07.17;10:44:32 AM;5.57;97.030;28.940;38841.000;15.000
13.07.17;10:44:47 AM;5.82;97.020;28.940;38859.000;15.000
13.07.17;10:45:02 AM;6.07;96.790;28.970;38824.000;15.000
13.07.17;10:45:17 AM;6.32;96.280;29.020;38799.000;15.000
13.07.17;10:45:32 AM;6.57;96.740;28.970;38874.000;15.000
13.07.17;10:45:47 AM;6.82;96.460;29.000;38814.000;15.000
13.07.17;10:46:02 AM;7.07;96.570;28.990;38862.000;15.000
13.07.17;10:46:17 AM;7.32;97.070;28.930;38847.000;15.000
13.07.17;10:46:32 AM;7.57;96.700;28.980;38919.000;15.000
13.07.17;10:46:47 AM;7.82;96.800;28.970;38923.000;15.000
13.07.17;10:47:02 AM;8.07;96.000;29.060;38932.000;15.000
13.07.17;10:47:17 AM;8.32;96.180;29.040;38927.000;15.000
13.07.17;10:47:32 AM;8.57;96.400;29.010;38898.000;15.000
13.07.17;10:47:47 AM;8.82;95.960;29.060;38947.000;15.000
13.07.17;10:48:02 AM;9.07;96.250;29.030;38937.000;15.000
13.07.17;10:48:17 AM;9.32;95.610;29.100;38907.000;15.000
13.07.17;10:48:32 AM;9.57;95.990;29.060;38953.000;15.000
13.07.17;10:48:47 AM;9.82;96.460;29.000;38933.000;15.000
13.07.17;10:49:02 AM;10.07;95.970;29.060;38943.000;15.000
13.07.17;10:49:17 AM;10.32;96.280;29.020;38984.000;15.000
13.07.17;10:49:32 AM;10.57;97.180;28.920;38997.000;15.000
