13.07.17/10:38 AM SW ver:OXY10v3_33
Header Ch-7
Description: TBI4-15
IDENTIFICATION
PHIboard number   : v1231479
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 07

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 97926
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 040800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 027000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
13.07.17;10:38:59 AM;0.00;95.180;29.150;34536.000;15.000
13.07.17;10:39:03 AM;0.08;95.050;29.170;34561.000;15.000
13.07.17;10:39:19 AM;0.33;94.810;29.190;34549.000;15.000
13.07.17;10:39:33 AM;0.58;95.360;29.130;34571.000;15.000
13.07.17;10:39:48 AM;0.83;94.780;29.200;34568.000;15.000
13.07.17;10:40:03 AM;1.08;94.630;29.220;34581.000;15.000
13.07.17;10:40:18 AM;1.33;94.800;29.200;34562.000;15.000
13.07.17;10:40:34 AM;1.58;94.670;29.210;34560.000;15.000
13.07.17;10:40:48 AM;1.83;94.810;29.190;34565.000;15.000
13.07.17;10:41:04 AM;2.08;94.760;29.200;34588.000;15.000
13.07.17;10:41:18 AM;2.33;95.240;29.140;34579.000;15.000
13.07.17;10:41:33 AM;2.58;94.220;29.260;34602.000;15.000
13.07.17;10:41:49 AM;2.83;94.910;29.180;34595.000;15.000
13.07.17;10:42:03 AM;3.08;94.410;29.240;34595.000;15.000
13.07.17;10:42:18 AM;3.33;95.070;29.160;34580.000;15.000
13.07.17;10:42:33 AM;3.58;94.430;29.240;34558.000;15.000
13.07.17;10:42:49 AM;3.83;94.840;29.190;34555.000;15.000
13.07.17;10:43:04 AM;4.08;94.530;29.230;34588.000;15.000
13.07.17;10:43:18 AM;4.33;94.540;29.230;34556.000;15.000
13.07.17;10:43:33 AM;4.58;95.010;29.170;34550.000;15.000
13.07.17;10:43:49 AM;4.83;95.160;29.150;34545.000;15.000
13.07.17;10:44:03 AM;5.08;94.700;29.210;34525.000;15.000
13.07.17;10:44:18 AM;5.33;94.780;29.200;34531.000;15.000
13.07.17;10:44:33 AM;5.58;94.720;29.200;34538.000;15.000
13.07.17;10:44:49 AM;5.83;94.470;29.230;34500.000;15.000
13.07.17;10:45:03 AM;6.08;94.660;29.210;34529.000;15.000
13.07.17;10:45:19 AM;6.33;95.020;29.170;34520.000;15.000
13.07.17;10:45:33 AM;6.58;94.390;29.240;34515.000;15.000
13.07.17;10:45:49 AM;6.83;94.730;29.200;34562.000;15.000
13.07.17;10:46:03 AM;7.08;94.640;29.210;34549.000;15.000
13.07.17;10:46:18 AM;7.33;94.560;29.220;34517.000;15.000
13.07.17;10:46:34 AM;7.58;94.910;29.180;34496.000;15.000
13.07.17;10:46:48 AM;7.83;94.930;29.180;34537.000;15.000
13.07.17;10:47:04 AM;8.08;94.300;29.250;34536.000;15.000
13.07.17;10:47:18 AM;8.33;94.590;29.220;34536.000;15.000
13.07.17;10:47:34 AM;8.58;94.590;29.220;34523.000;15.000
13.07.17;10:47:49 AM;8.83;94.650;29.210;34511.000;15.000
13.07.17;10:48:03 AM;9.08;94.820;29.190;34540.000;15.000
13.07.17;10:48:18 AM;9.33;94.490;29.230;34506.000;15.000
13.07.17;10:48:34 AM;9.58;94.810;29.190;34529.000;15.000
13.07.17;10:48:48 AM;9.83;94.630;29.220;34541.000;15.000
13.07.17;10:49:03 AM;10.08;94.270;29.260;34549.000;15.000
13.07.17;10:49:19 AM;10.33;94.130;29.270;34501.000;15.000
13.07.17;10:49:33 AM;10.58;94.950;29.180;34517.000;15.000
13.07.17;10:49:48 AM;10.83;94.210;29.260;34530.000;15.000
13.07.17;10:50:04 AM;11.08;94.610;29.220;34498.000;15.000
13.07.17;10:50:19 AM;11.33;94.850;29.190;34528.000;15.000
13.07.17;10:50:34 AM;11.58;94.550;29.220;34541.000;15.000
13.07.17;10:50:49 AM;11.83;94.930;29.180;34519.000;15.000
13.07.17;10:51:03 AM;12.08;94.960;29.180;34524.000;15.000
13.07.17;10:51:18 AM;12.33;94.140;29.270;34481.000;15.000
13.07.17;10:51:33 AM;12.58;94.880;29.190;34506.000;15.000
13.07.17;10:51:49 AM;12.83;94.780;29.200;34504.000;15.000
13.07.17;10:52:04 AM;13.08;94.760;29.200;34474.000;15.000
13.07.17;10:52:18 AM;13.33;95.070;29.160;34517.000;15.000
13.07.17;10:52:33 AM;13.58;94.960;29.180;34493.000;15.000
13.07.17;10:52:49 AM;13.83;94.450;29.240;34473.000;15.000
13.07.17;10:53:03 AM;14.08;94.470;29.230;34485.000;15.000
13.07.17;10:53:19 AM;14.33;94.270;29.260;34498.000;15.000
13.07.17;10:53:34 AM;14.58;94.950;29.180;34505.000;15.000
13.07.17;10:53:49 AM;14.83;95.030;29.170;34502.000;15.000
13.07.17;10:54:03 AM;15.08;94.560;29.220;34517.000;15.000
13.07.17;10:54:19 AM;15.33;94.960;29.180;34537.000;15.000
13.07.17;10:54:34 AM;15.58;94.840;29.190;34494.000;15.000
13.07.17;10:54:48 AM;15.83;95.050;29.170;34508.000;15.000
13.07.17;10:55:03 AM;16.08;94.790;29.200;34487.000;15.000
13.07.17;10:55:19 AM;16.33;94.800;29.200;34474.000;15.000
