13.07.17/10:38 AM SW ver:OXY10v3_33
Header Ch-8
Description: TBN1-15
IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 103481
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
13.07.17;10:38:59 AM;0.00;95.700;29.090;30959.000;15.000
13.07.17;10:39:05 AM;0.10;95.990;29.060;30929.000;15.000
13.07.17;10:39:20 AM;0.35;95.420;29.120;30930.000;15.000
13.07.17;10:39:35 AM;0.60;96.200;29.030;30893.000;15.000
13.07.17;10:39:50 AM;0.85;95.300;29.140;30954.000;15.000
13.07.17;10:40:05 AM;1.10;95.560;29.110;30960.000;15.000
13.07.17;10:40:20 AM;1.35;95.780;29.080;30933.000;15.000
13.07.17;10:40:35 AM;1.60;95.880;29.070;30939.000;15.000
13.07.17;10:40:50 AM;1.85;95.690;29.090;30918.000;15.000
13.07.17;10:41:05 AM;2.10;95.490;29.120;30955.000;15.000
13.07.17;10:41:20 AM;2.35;95.640;29.100;30955.000;15.000
13.07.17;10:41:35 AM;2.60;95.330;29.130;30958.000;15.000
13.07.17;10:41:50 AM;2.85;95.290;29.140;30985.000;15.000
13.07.17;10:42:05 AM;3.10;95.020;29.170;30969.000;15.000
13.07.17;10:42:20 AM;3.35;95.780;29.080;30973.000;15.000
13.07.17;10:42:35 AM;3.60;95.090;29.160;30958.000;15.000
13.07.17;10:42:50 AM;3.85;95.650;29.100;31006.000;15.000
13.07.17;10:43:05 AM;4.10;96.250;29.030;30989.000;15.000
13.07.17;10:43:20 AM;4.35;95.970;29.060;30947.000;15.000
13.07.17;10:43:35 AM;4.60;95.590;29.100;30973.000;15.000
13.07.17;10:43:50 AM;4.85;95.690;29.090;31003.000;15.000
13.07.17;10:44:05 AM;5.10;94.900;29.180;30995.000;15.000
13.07.17;10:44:20 AM;5.35;95.090;29.160;30977.000;15.000
13.07.17;10:44:35 AM;5.60;94.960;29.180;31015.000;15.000
13.07.17;10:44:50 AM;5.85;95.070;29.160;31009.000;15.000
13.07.17;10:45:05 AM;6.10;96.270;29.030;30989.000;15.000
13.07.17;10:45:20 AM;6.35;95.570;29.110;30979.000;15.000
13.07.17;10:45:35 AM;6.60;94.890;29.190;30975.000;15.000
13.07.17;10:45:50 AM;6.85;95.590;29.100;30986.000;15.000
13.07.17;10:46:05 AM;7.10;95.310;29.140;30971.000;15.000
13.07.17;10:46:20 AM;7.35;95.650;29.100;30993.000;15.000
13.07.17;10:46:35 AM;7.60;94.680;29.210;31021.000;15.000
13.07.17;10:46:50 AM;7.85;95.130;29.160;30958.000;15.000
13.07.17;10:47:05 AM;8.10;95.470;29.120;31005.000;15.000
13.07.17;10:47:20 AM;8.35;95.080;29.160;30993.000;15.000
13.07.17;10:47:35 AM;8.60;95.300;29.140;30993.000;15.000
13.07.17;10:47:50 AM;8.85;95.720;29.090;30992.000;15.000
13.07.17;10:48:05 AM;9.10;95.020;29.170;30989.000;15.000
13.07.17;10:48:20 AM;9.35;95.020;29.170;31045.000;15.000
13.07.17;10:48:35 AM;9.60;95.290;29.140;30987.000;15.000
13.07.17;10:48:50 AM;9.85;95.380;29.130;31046.000;15.000
13.07.17;10:49:05 AM;10.10;94.930;29.180;31054.000;15.000
13.07.17;10:49:20 AM;10.36;95.480;29.120;31048.000;15.000
13.07.17;10:49:35 AM;10.60;95.330;29.130;31012.000;15.000
13.07.17;10:49:50 AM;10.85;95.210;29.150;31024.000;15.000
13.07.17;10:50:05 AM;11.10;95.030;29.170;31052.000;15.000
13.07.17;10:50:20 AM;11.35;94.620;29.220;31017.000;15.000
13.07.17;10:50:35 AM;11.60;95.990;29.060;31018.000;15.000
13.07.17;10:50:50 AM;11.85;94.920;29.180;31010.000;15.000
13.07.17;10:51:05 AM;12.10;95.020;29.170;31027.000;15.000
13.07.17;10:51:20 AM;12.35;94.960;29.180;31014.000;15.000
13.07.17;10:51:35 AM;12.60;94.820;29.190;31038.000;15.000
13.07.17;10:51:50 AM;12.85;95.470;29.120;31001.000;15.000
13.07.17;10:52:05 AM;13.11;95.050;29.170;31079.000;15.000
13.07.17;10:52:20 AM;13.35;95.650;29.100;31066.000;15.000
13.07.17;10:52:35 AM;13.60;94.730;29.200;31063.000;15.000
13.07.17;10:52:50 AM;13.85;95.420;29.120;31057.000;15.000
13.07.17;10:53:05 AM;14.10;94.410;29.240;31058.000;15.000
13.07.17;10:53:20 AM;14.36;94.980;29.170;31064.000;15.000
13.07.17;10:53:35 AM;14.60;94.890;29.190;31007.000;15.000
13.07.17;10:53:50 AM;14.86;94.690;29.210;31036.000;15.000
13.07.17;10:54:05 AM;15.10;94.860;29.190;31035.000;15.000
13.07.17;10:54:20 AM;15.35;94.480;29.230;31083.000;15.000
13.07.17;10:54:35 AM;15.60;94.800;29.200;31083.000;15.000
13.07.17;10:54:50 AM;15.85;95.370;29.130;31070.000;15.000
13.07.17;10:55:05 AM;16.10;95.460;29.120;31073.000;15.000
13.07.17;10:55:20 AM;16.35;94.450;29.240;31047.000;15.000
13.07.17;10:55:35 AM;16.60;94.470;29.230;31063.000;15.000
13.07.17;10:55:50 AM;16.85;95.120;29.160;31090.000;15.000
13.07.17;10:56:05 AM;17.10;94.180;29.270;31085.000;15.000
13.07.17;10:56:20 AM;17.35;94.730;29.200;31063.000;15.000
13.07.17;10:56:35 AM;17.60;95.020;29.170;31077.000;15.000
13.07.17;10:56:50 AM;17.85;94.730;29.200;31080.000;15.000
13.07.17;10:57:05 AM;18.10;94.540;29.230;31106.000;15.000
13.07.17;10:57:20 AM;18.36;94.770;29.200;31108.000;15.000
13.07.17;10:57:35 AM;18.60;94.720;29.210;31102.000;15.000
13.07.17;10:57:50 AM;18.85;95.010;29.170;31093.000;15.000
13.07.17;10:58:05 AM;19.10;94.490;29.230;31095.000;15.000
13.07.17;10:58:20 AM;19.35;94.750;29.200;31085.000;15.000
13.07.17;10:58:35 AM;19.60;94.760;29.200;31115.000;15.000
13.07.17;10:58:50 AM;19.85;94.300;29.250;31091.000;15.000
13.07.17;10:59:05 AM;20.10;94.170;29.270;31127.000;15.000
13.07.17;10:59:20 AM;20.35;94.530;29.230;31090.000;15.000
13.07.17;10:59:35 AM;20.60;94.120;29.280;31101.000;15.000
13.07.17;10:59:50 AM;20.85;93.900;29.300;31112.000;15.000
13.07.17;11:00:05 AM;21.10;94.990;29.170;31092.000;15.000
13.07.17;11:00:20 AM;21.36;93.910;29.300;31084.000;15.000
13.07.17;11:00:35 AM;21.60;94.310;29.250;31111.000;15.000
13.07.17;11:00:50 AM;21.86;94.540;29.230;31132.000;15.000
13.07.17;11:01:05 AM;22.11;95.030;29.170;31140.000;15.000
13.07.17;11:01:20 AM;22.35;94.420;29.240;31130.000;15.000
13.07.17;11:01:35 AM;22.61;94.470;29.230;31122.000;15.000
13.07.17;11:01:50 AM;22.85;93.970;29.290;31118.000;15.000
13.07.17;11:02:05 AM;23.10;94.460;29.240;31155.000;15.000
13.07.17;11:02:20 AM;23.35;94.690;29.210;31138.000;15.000
13.07.17;11:02:35 AM;23.60;94.680;29.210;31113.000;15.000
13.07.17;11:02:50 AM;23.85;94.340;29.250;31147.000;15.000
13.07.17;11:03:05 AM;24.10;94.140;29.270;31109.000;15.000
13.07.17;11:03:20 AM;24.36;94.190;29.270;31178.000;15.000
