13.07.17/9:01 AM SW ver:OXY10v3_33
Header Ch-4
Description: TWJ3-18
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 99521
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
13.07.17;9:01:58 AM;0.00;95.360;28.560;27543.000;18.000
13.07.17;9:02:02 AM;0.13;95.060;28.590;27537.000;18.000
13.07.17;9:02:17 AM;0.37;94.700;28.630;27515.000;18.000
13.07.17;9:02:32 AM;0.62;94.770;28.630;27551.000;18.000
13.07.17;9:02:47 AM;0.87;94.670;28.640;27582.000;18.000
13.07.17;9:03:02 AM;1.12;94.650;28.640;27550.000;18.000
13.07.17;9:03:17 AM;1.37;94.070;28.710;27580.000;18.000
13.07.17;9:03:32 AM;1.62;94.380;28.670;27573.000;18.000
13.07.17;9:03:47 AM;1.87;94.680;28.640;27567.000;18.000
13.07.17;9:04:02 AM;2.12;94.030;28.710;27606.000;18.000
13.07.17;9:04:17 AM;2.37;93.080;28.820;27620.000;18.000
13.07.17;9:04:32 AM;2.62;93.040;28.830;27596.000;18.000
13.07.17;9:04:47 AM;2.87;94.170;28.700;27618.000;18.000
13.07.17;9:05:02 AM;3.12;93.960;28.720;27594.000;18.000
13.07.17;9:05:17 AM;3.37;93.140;28.820;27676.000;18.000
13.07.17;9:05:32 AM;3.62;93.090;28.820;27625.000;18.000
13.07.17;9:05:47 AM;3.87;93.430;28.780;27632.000;18.000
13.07.17;9:06:02 AM;4.12;93.710;28.750;27613.000;18.000
13.07.17;9:06:17 AM;4.37;93.600;28.760;27630.000;18.000
13.07.17;9:06:32 AM;4.62;93.560;28.770;27650.000;18.000
13.07.17;9:06:47 AM;4.87;93.610;28.760;27648.000;18.000
13.07.17;9:07:02 AM;5.12;93.420;28.780;27674.000;18.000
13.07.17;9:07:17 AM;5.37;93.030;28.830;27684.000;18.000
13.07.17;9:07:32 AM;5.62;93.210;28.810;27715.000;18.000
13.07.17;9:07:47 AM;5.87;93.520;28.770;27652.000;18.000
13.07.17;9:08:02 AM;6.12;92.810;28.850;27716.000;18.000
13.07.17;9:08:17 AM;6.37;93.450;28.780;27689.000;18.000
13.07.17;9:08:32 AM;6.62;92.800;28.860;27699.000;18.000
13.07.17;9:08:47 AM;6.87;93.390;28.790;27767.000;18.000
13.07.17;9:09:02 AM;7.12;93.430;28.780;27705.000;18.000
13.07.17;9:09:17 AM;7.37;93.500;28.770;27741.000;18.000
13.07.17;9:09:32 AM;7.62;93.020;28.830;27709.000;18.000
13.07.17;9:09:47 AM;7.87;92.450;28.900;27711.000;18.000
13.07.17;9:10:02 AM;8.12;93.020;28.830;27750.000;18.000
13.07.17;9:10:17 AM;8.37;93.330;28.790;27740.000;18.000
13.07.17;9:10:32 AM;8.62;92.380;28.910;27710.000;18.000
13.07.17;9:10:47 AM;8.87;92.640;28.870;27767.000;18.000
13.07.17;9:11:02 AM;9.12;92.320;28.910;27790.000;18.000
13.07.17;9:11:17 AM;9.37;93.130;28.820;27756.000;18.000
13.07.17;9:11:32 AM;9.62;92.970;28.840;27748.000;18.000
13.07.17;9:11:47 AM;9.87;92.870;28.850;27762.000;18.000
13.07.17;9:12:02 AM;10.12;92.330;28.910;27755.000;18.000
13.07.17;9:12:17 AM;10.37;92.100;28.940;27803.000;18.000
13.07.17;9:12:32 AM;10.62;92.460;28.900;27801.000;18.000
13.07.17;9:12:47 AM;10.87;92.870;28.850;27766.000;18.000
13.07.17;9:13:02 AM;11.12;92.320;28.910;27793.000;18.000
13.07.17;9:13:17 AM;11.37;92.510;28.890;27799.000;18.000
13.07.17;9:13:32 AM;11.62;92.660;28.870;27816.000;18.000
13.07.17;9:13:47 AM;11.87;93.040;28.830;27803.000;18.000
13.07.17;9:14:02 AM;12.12;92.750;28.860;27826.000;18.000
13.07.17;9:14:17 AM;12.37;92.690;28.870;27804.000;18.000
13.07.17;9:14:32 AM;12.62;92.590;28.880;27787.000;18.000
13.07.17;9:14:47 AM;12.87;92.240;28.920;27861.000;18.000
13.07.17;9:15:02 AM;13.12;91.360;29.030;27835.000;18.000
13.07.17;9:15:17 AM;13.37;92.180;28.930;27853.000;18.000
13.07.17;9:15:32 AM;13.62;92.110;28.940;27891.000;18.000
13.07.17;9:15:47 AM;13.87;92.160;28.930;27869.000;18.000
13.07.17;9:16:02 AM;14.12;92.090;28.940;27906.000;18.000
13.07.17;9:16:17 AM;14.37;92.220;28.920;27841.000;18.000
13.07.17;9:16:32 AM;14.62;91.360;29.030;27849.000;18.000
13.07.17;9:16:47 AM;14.87;91.310;29.030;27877.000;18.000
13.07.17;9:17:02 AM;15.12;91.740;28.980;27855.000;18.000
13.07.17;9:17:17 AM;15.37;91.350;29.030;27900.000;18.000
13.07.17;9:17:32 AM;15.62;92.200;28.930;27930.000;18.000
13.07.17;9:17:47 AM;15.87;91.720;28.980;27900.000;18.000
13.07.17;9:18:02 AM;16.12;91.840;28.970;27862.000;18.000
13.07.17;9:18:17 AM;16.37;91.420;29.020;27939.000;18.000
13.07.17;9:18:32 AM;16.62;92.200;28.930;27948.000;18.000
13.07.17;9:18:47 AM;16.87;91.410;29.020;27964.000;18.000
13.07.17;9:19:02 AM;17.12;91.580;29.000;27959.000;18.000
13.07.17;9:19:17 AM;17.37;91.210;29.050;27916.000;18.000
13.07.17;9:19:32 AM;17.62;91.540;29.010;27904.000;18.000
13.07.17;9:19:47 AM;17.87;90.900;29.080;27960.000;18.000
13.07.17;9:20:02 AM;18.12;91.960;28.960;27950.000;18.000
