13.07.17/9:02 AM SW ver:OXY10v3_33
Header Ch-9
Description: TWK4-18
IDENTIFICATION
PHIboard number   : v1231481
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 09

PARAMETERS
Signal LED current: 050
Ref LED current   : 072
Ref LED amplitude : 103848
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 034700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 023000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
13.07.17;9:02:10 AM;0.00;94.940;28.610;33746.000;18.000
13.07.17;9:02:14 AM;0.08;95.200;28.580;33715.000;18.000
13.07.17;9:02:29 AM;0.33;95.100;28.590;33759.000;18.000
13.07.17;9:02:44 AM;0.58;95.270;28.570;33753.000;18.000
13.07.17;9:02:59 AM;0.83;94.680;28.640;33736.000;18.000
13.07.17;9:03:14 AM;1.08;95.140;28.580;33756.000;18.000
13.07.17;9:03:29 AM;1.33;94.510;28.660;33791.000;18.000
13.07.17;9:03:44 AM;1.58;94.570;28.650;33742.000;18.000
13.07.17;9:03:59 AM;1.83;94.300;28.680;33783.000;18.000
13.07.17;9:04:14 AM;2.08;94.830;28.620;33790.000;18.000
13.07.17;9:04:29 AM;2.33;94.640;28.640;33758.000;18.000
13.07.17;9:04:44 AM;2.58;94.870;28.610;33782.000;18.000
13.07.17;9:04:59 AM;2.83;94.720;28.630;33770.000;18.000
13.07.17;9:05:14 AM;3.08;94.410;28.670;33802.000;18.000
13.07.17;9:05:29 AM;3.33;94.770;28.630;33807.000;18.000
13.07.17;9:05:44 AM;3.58;94.470;28.660;33823.000;18.000
13.07.17;9:05:59 AM;3.83;94.310;28.680;33826.000;18.000
13.07.17;9:06:14 AM;4.08;94.850;28.620;33824.000;18.000
13.07.17;9:06:29 AM;4.33;94.750;28.630;33802.000;18.000
13.07.17;9:06:44 AM;4.58;94.700;28.630;33816.000;18.000
13.07.17;9:06:59 AM;4.83;94.200;28.690;33846.000;18.000
13.07.17;9:07:14 AM;5.08;94.630;28.640;33838.000;18.000
13.07.17;9:07:29 AM;5.33;94.140;28.700;33838.000;18.000
13.07.17;9:07:44 AM;5.58;94.430;28.670;33893.000;18.000
13.07.17;9:07:59 AM;5.83;94.360;28.670;33871.000;18.000
13.07.17;9:08:14 AM;6.08;94.300;28.680;33864.000;18.000
13.07.17;9:08:29 AM;6.33;94.320;28.680;33876.000;18.000
13.07.17;9:08:44 AM;6.58;94.650;28.640;33909.000;18.000
13.07.17;9:08:59 AM;6.83;93.800;28.740;33889.000;18.000
13.07.17;9:09:14 AM;7.08;93.640;28.760;33869.000;18.000
13.07.17;9:09:29 AM;7.33;94.120;28.700;33891.000;18.000
13.07.17;9:09:44 AM;7.58;94.750;28.630;33874.000;18.000
13.07.17;9:09:59 AM;7.83;94.300;28.680;33931.000;18.000
13.07.17;9:10:14 AM;8.08;94.060;28.710;33895.000;18.000
13.07.17;9:10:29 AM;8.33;93.990;28.720;33955.000;18.000
13.07.17;9:10:44 AM;8.58;94.120;28.700;33933.000;18.000
13.07.17;9:10:59 AM;8.83;94.100;28.700;33914.000;18.000
13.07.17;9:11:14 AM;9.08;93.980;28.720;33969.000;18.000
13.07.17;9:11:29 AM;9.33;93.930;28.720;33983.000;18.000
13.07.17;9:11:44 AM;9.58;93.780;28.740;33939.000;18.000
13.07.17;9:11:59 AM;9.83;94.010;28.710;33928.000;18.000
13.07.17;9:12:14 AM;10.08;93.530;28.770;34010.000;18.000
13.07.17;9:12:29 AM;10.33;94.200;28.690;33988.000;18.000
13.07.17;9:12:44 AM;10.58;93.600;28.760;33992.000;18.000
13.07.17;9:12:59 AM;10.83;93.310;28.800;34044.000;18.000
13.07.17;9:13:14 AM;11.08;93.760;28.740;33983.000;18.000
13.07.17;9:13:29 AM;11.33;93.650;28.760;33999.000;18.000
13.07.17;9:13:44 AM;11.58;93.760;28.740;33997.000;18.000
13.07.17;9:13:59 AM;11.83;93.910;28.730;34009.000;18.000
13.07.17;9:14:14 AM;12.08;93.620;28.760;34043.000;18.000
13.07.17;9:14:29 AM;12.33;93.960;28.720;34023.000;18.000
13.07.17;9:14:44 AM;12.58;93.590;28.760;34017.000;18.000
13.07.17;9:14:59 AM;12.83;94.210;28.690;34046.000;18.000
13.07.17;9:15:14 AM;13.08;93.790;28.740;34041.000;18.000
13.07.17;9:15:29 AM;13.33;93.490;28.770;34046.000;18.000
13.07.17;9:15:44 AM;13.58;93.190;28.810;34074.000;18.000
13.07.17;9:15:59 AM;13.83;93.310;28.800;34089.000;18.000
13.07.17;9:16:14 AM;14.08;93.130;28.820;34089.000;18.000
13.07.17;9:16:29 AM;14.33;93.620;28.760;34095.000;18.000
13.07.17;9:16:44 AM;14.58;93.290;28.800;34069.000;18.000
13.07.17;9:16:59 AM;14.83;93.330;28.790;34062.000;18.000
13.07.17;9:17:14 AM;15.08;93.190;28.810;34098.000;18.000
13.07.17;9:17:29 AM;15.33;93.110;28.820;34064.000;18.000
13.07.17;9:17:44 AM;15.58;93.500;28.770;34116.000;18.000
13.07.17;9:17:59 AM;15.83;92.800;28.860;34117.000;18.000
13.07.17;9:18:14 AM;16.08;93.080;28.820;34069.000;18.000
13.07.17;9:18:29 AM;16.33;93.360;28.790;34158.000;18.000
13.07.17;9:18:44 AM;16.58;92.970;28.840;34139.000;18.000
13.07.17;9:18:59 AM;16.83;93.500;28.770;34139.000;18.000
13.07.17;9:19:14 AM;17.08;93.030;28.830;34163.000;18.000
13.07.17;9:19:29 AM;17.33;92.950;28.840;34148.000;18.000
13.07.17;9:19:44 AM;17.58;92.990;28.830;34158.000;18.000
13.07.17;9:19:59 AM;17.83;92.890;28.850;34208.000;18.000
