13.07.17/8:21 AM SW ver:OXY10v3_33
Header Ch-10
Description: WBI2-18
IDENTIFICATION
PHIboard number   : v1231482
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 10

PARAMETERS
Signal LED current: 050
Ref LED current   : 068
Ref LED amplitude : 101543
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 045200
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
13.07.17;8:21:34 AM;0.00;95.730;28.520;43882.000;18.000
13.07.17;8:21:35 AM;0.02;96.200;28.460;43861.000;18.000
13.07.17;8:21:46 AM;0.21;96.090;28.480;43911.000;18.000
13.07.17;8:22:01 AM;0.46;95.950;28.490;43881.000;18.000
13.07.17;8:22:16 AM;0.71;96.050;28.480;43872.000;18.000
13.07.17;8:22:31 AM;0.96;95.900;28.500;43921.000;18.000
13.07.17;8:22:46 AM;1.21;96.100;28.470;43902.000;18.000
13.07.17;8:23:01 AM;1.46;96.130;28.470;43900.000;18.000
13.07.17;8:23:16 AM;1.71;95.770;28.510;43912.000;18.000
13.07.17;8:23:31 AM;1.96;95.990;28.490;43937.000;18.000
13.07.17;8:23:46 AM;2.21;96.050;28.480;43909.000;18.000
13.07.17;8:24:01 AM;2.46;95.920;28.490;43924.000;18.000
13.07.17;8:24:16 AM;2.71;95.640;28.530;43888.000;18.000
13.07.17;8:24:31 AM;2.96;95.750;28.510;43956.000;18.000
13.07.17;8:24:46 AM;3.21;95.570;28.530;43918.000;18.000
13.07.17;8:25:01 AM;3.46;95.600;28.530;43942.000;18.000
13.07.17;8:25:16 AM;3.71;95.400;28.550;43925.000;18.000
13.07.17;8:25:31 AM;3.96;95.530;28.540;43922.000;18.000
13.07.17;8:25:46 AM;4.21;95.830;28.500;43904.000;18.000
13.07.17;8:26:01 AM;4.46;95.760;28.510;43915.000;18.000
13.07.17;8:26:16 AM;4.71;95.270;28.570;43932.000;18.000
13.07.17;8:26:31 AM;4.96;95.690;28.520;43939.000;18.000
13.07.17;8:26:46 AM;5.21;95.730;28.520;43939.000;18.000
13.07.17;8:27:01 AM;5.46;95.630;28.530;43940.000;18.000
13.07.17;8:27:16 AM;5.71;95.290;28.570;43929.000;18.000
13.07.17;8:27:31 AM;5.96;95.360;28.560;43941.000;18.000
13.07.17;8:27:46 AM;6.21;95.590;28.530;43935.000;18.000
13.07.17;8:28:01 AM;6.46;95.830;28.500;43908.000;18.000
13.07.17;8:28:16 AM;6.71;95.450;28.550;43911.000;18.000
