13.07.17/8:21 AM SW ver:OXY10v3_33
Header Ch-8
Description: TBN1-18
IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 103481
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
13.07.17;8:21:32 AM;0.00;95.510;28.540;30883.000;18.000
13.07.17;8:21:33 AM;0.02;95.600;28.530;30875.000;18.000
13.07.17;8:21:42 AM;0.17;95.150;28.580;30868.000;18.000
13.07.17;8:21:57 AM;0.42;95.060;28.590;30884.000;18.000
13.07.17;8:22:12 AM;0.67;95.680;28.520;30867.000;18.000
13.07.17;8:22:27 AM;0.92;95.460;28.550;30867.000;18.000
13.07.17;8:22:42 AM;1.17;95.300;28.570;30865.000;18.000
13.07.17;8:22:57 AM;1.42;95.320;28.560;30893.000;18.000
13.07.17;8:23:12 AM;1.67;95.110;28.590;30873.000;18.000
13.07.17;8:23:27 AM;1.92;94.800;28.620;30886.000;18.000
13.07.17;8:23:42 AM;2.17;95.590;28.530;30875.000;18.000
13.07.17;8:23:57 AM;2.42;95.220;28.570;30884.000;18.000
13.07.17;8:24:12 AM;2.67;94.940;28.610;30903.000;18.000
13.07.17;8:24:27 AM;2.92;94.670;28.640;30895.000;18.000
13.07.17;8:24:42 AM;3.17;95.140;28.580;30892.000;18.000
13.07.17;8:24:57 AM;3.42;94.920;28.610;30887.000;18.000
13.07.17;8:25:12 AM;3.67;95.260;28.570;30897.000;18.000
13.07.17;8:25:27 AM;3.92;94.790;28.620;30896.000;18.000
13.07.17;8:25:42 AM;4.17;95.050;28.590;30891.000;18.000
13.07.17;8:25:57 AM;4.42;94.750;28.630;30891.000;18.000
13.07.17;8:26:12 AM;4.67;94.640;28.640;30902.000;18.000
13.07.17;8:26:27 AM;4.92;94.650;28.640;30907.000;18.000
13.07.17;8:26:42 AM;5.17;94.650;28.640;30915.000;18.000
13.07.17;8:26:57 AM;5.42;94.450;28.660;30918.000;18.000
13.07.17;8:27:12 AM;5.67;94.710;28.630;30934.000;18.000
13.07.17;8:27:27 AM;5.92;94.330;28.680;30939.000;18.000
13.07.17;8:27:42 AM;6.17;94.460;28.660;30921.000;18.000
13.07.17;8:27:57 AM;6.42;94.550;28.650;30919.000;18.000
13.07.17;8:28:12 AM;6.67;94.920;28.610;30938.000;18.000
13.07.17;8:28:27 AM;6.92;94.380;28.670;30922.000;18.000
13.07.17;8:28:42 AM;7.17;94.720;28.630;30927.000;18.000
13.07.17;8:28:57 AM;7.42;94.910;28.610;30942.000;18.000
13.07.17;8:29:12 AM;7.67;94.910;28.610;30903.000;18.000
13.07.17;8:29:27 AM;7.92;94.060;28.710;30925.000;18.000
13.07.17;8:29:42 AM;8.17;94.350;28.670;30941.000;18.000
13.07.17;8:29:57 AM;8.42;94.340;28.680;30938.000;18.000
13.07.17;8:30:12 AM;8.67;94.180;28.690;30975.000;18.000
13.07.17;8:30:27 AM;8.92;94.120;28.700;30937.000;18.000
13.07.17;8:30:42 AM;9.17;94.030;28.710;30974.000;18.000
13.07.17;8:30:57 AM;9.42;93.760;28.740;30963.000;18.000
13.07.17;8:31:12 AM;9.67;94.090;28.700;30956.000;18.000
13.07.17;8:31:27 AM;9.92;93.850;28.730;30981.000;18.000
13.07.17;8:31:42 AM;10.17;94.000;28.720;30961.000;18.000
13.07.17;8:31:57 AM;10.42;94.030;28.710;30966.000;18.000
13.07.17;8:32:12 AM;10.67;94.110;28.700;30981.000;18.000
13.07.17;8:32:27 AM;10.92;94.170;28.700;30982.000;18.000
13.07.17;8:32:42 AM;11.17;93.770;28.740;31018.000;18.000
13.07.17;8:32:57 AM;11.42;93.770;28.740;31005.000;18.000
13.07.17;8:33:12 AM;11.67;93.720;28.750;31015.000;18.000
13.07.17;8:33:27 AM;11.92;93.680;28.750;31007.000;18.000
13.07.17;8:33:42 AM;12.17;93.420;28.780;31005.000;18.000
13.07.17;8:33:57 AM;12.42;93.500;28.770;30983.000;18.000
13.07.17;8:34:12 AM;12.67;93.680;28.750;30978.000;18.000
13.07.17;8:34:27 AM;12.92;93.690;28.750;31012.000;18.000
13.07.17;8:34:42 AM;13.17;93.360;28.790;31011.000;18.000
13.07.17;8:34:57 AM;13.42;93.890;28.730;31019.000;18.000
13.07.17;8:35:12 AM;13.67;93.770;28.740;31013.000;18.000
13.07.17;8:35:27 AM;13.92;93.480;28.780;31039.000;18.000
13.07.17;8:35:42 AM;14.17;93.310;28.800;31032.000;18.000
13.07.17;8:35:57 AM;14.42;93.310;28.800;31004.000;18.000
13.07.17;8:36:12 AM;14.67;93.480;28.780;31020.000;18.000
13.07.17;8:36:27 AM;14.92;92.940;28.840;31032.000;18.000
13.07.17;8:36:42 AM;15.17;93.300;28.800;31034.000;18.000
13.07.17;8:36:57 AM;15.42;93.170;28.810;31048.000;18.000
13.07.17;8:37:12 AM;15.67;93.260;28.800;31062.000;18.000
13.07.17;8:37:27 AM;15.92;93.420;28.780;31048.000;18.000
13.07.17;8:37:42 AM;16.17;93.180;28.810;31048.000;18.000
13.07.17;8:37:57 AM;16.42;92.770;28.860;31059.000;18.000
13.07.17;8:38:12 AM;16.67;92.880;28.850;31087.000;18.000
13.07.17;8:38:27 AM;16.92;93.160;28.810;31073.000;18.000
13.07.17;8:38:42 AM;17.17;93.030;28.830;31076.000;18.000
13.07.17;8:38:57 AM;17.42;93.150;28.810;31053.000;18.000
13.07.17;8:39:12 AM;17.67;92.950;28.840;31087.000;18.000
13.07.17;8:39:27 AM;17.92;92.700;28.870;31110.000;18.000
13.07.17;8:39:42 AM;18.17;92.510;28.890;31072.000;18.000
13.07.17;8:39:57 AM;18.42;92.840;28.850;31099.000;18.000
13.07.17;8:40:12 AM;18.67;92.860;28.850;31095.000;18.000
13.07.17;8:40:27 AM;18.92;92.770;28.860;31146.000;18.000
13.07.17;8:40:42 AM;19.17;92.100;28.940;31134.000;18.000
13.07.17;8:40:57 AM;19.42;92.490;28.890;31127.000;18.000
