13.07.17/8:21 AM SW ver:OXY10v3_33
Header Ch-9
Description: TWK4-18
IDENTIFICATION
PHIboard number   : v1231481
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 09

PARAMETERS
Signal LED current: 050
Ref LED current   : 072
Ref LED amplitude : 103848
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 034700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 023000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
13.07.17;8:21:33 AM;0.00;95.880;28.500;33536.000;18.000
13.07.17;8:21:34 AM;0.02;96.140;28.470;33546.000;18.000
13.07.17;8:21:44 AM;0.18;96.210;28.460;33527.000;18.000
13.07.17;8:21:59 AM;0.43;96.260;28.460;33562.000;18.000
13.07.17;8:22:14 AM;0.68;96.020;28.480;33560.000;18.000
13.07.17;8:22:29 AM;0.93;96.070;28.480;33533.000;18.000
13.07.17;8:22:44 AM;1.18;96.470;28.430;33524.000;18.000
13.07.17;8:22:59 AM;1.43;96.280;28.450;33534.000;18.000
13.07.17;8:23:14 AM;1.68;96.030;28.480;33548.000;18.000
13.07.17;8:23:29 AM;1.93;96.060;28.480;33545.000;18.000
13.07.17;8:23:44 AM;2.18;96.250;28.460;33526.000;18.000
13.07.17;8:23:59 AM;2.43;95.820;28.510;33557.000;18.000
13.07.17;8:24:14 AM;2.68;96.050;28.480;33548.000;18.000
13.07.17;8:24:29 AM;2.93;95.800;28.510;33558.000;18.000
13.07.17;8:24:44 AM;3.18;95.880;28.500;33546.000;18.000
13.07.17;8:24:59 AM;3.43;96.150;28.470;33544.000;18.000
13.07.17;8:25:14 AM;3.68;95.890;28.500;33541.000;18.000
13.07.17;8:25:29 AM;3.93;95.950;28.490;33561.000;18.000
13.07.17;8:25:44 AM;4.18;95.720;28.520;33561.000;18.000
13.07.17;8:25:59 AM;4.43;96.040;28.480;33561.000;18.000
13.07.17;8:26:14 AM;4.68;95.860;28.500;33543.000;18.000
13.07.17;8:26:29 AM;4.93;96.210;28.460;33585.000;18.000
13.07.17;8:26:44 AM;5.18;95.690;28.520;33584.000;18.000
13.07.17;8:26:59 AM;5.43;95.650;28.530;33558.000;18.000
13.07.17;8:27:14 AM;5.68;95.990;28.490;33579.000;18.000
13.07.17;8:27:29 AM;5.93;96.010;28.480;33567.000;18.000
13.07.17;8:27:44 AM;6.18;95.670;28.520;33600.000;18.000
13.07.17;8:27:59 AM;6.43;95.660;28.520;33602.000;18.000
13.07.17;8:28:14 AM;6.68;95.490;28.540;33615.000;18.000
13.07.17;8:28:29 AM;6.93;95.420;28.550;33607.000;18.000
13.07.17;8:28:44 AM;7.18;95.240;28.570;33634.000;18.000
13.07.17;8:28:59 AM;7.43;95.120;28.590;33619.000;18.000
13.07.17;8:29:14 AM;7.68;95.400;28.550;33654.000;18.000
13.07.17;8:29:29 AM;7.93;95.700;28.520;33634.000;18.000
13.07.17;8:29:44 AM;8.18;95.340;28.560;33659.000;18.000
13.07.17;8:29:59 AM;8.43;95.160;28.580;33650.000;18.000
13.07.17;8:30:14 AM;8.68;95.480;28.540;33652.000;18.000
13.07.17;8:30:29 AM;8.93;95.380;28.560;33667.000;18.000
13.07.17;8:30:44 AM;9.18;95.290;28.570;33687.000;18.000
13.07.17;8:30:59 AM;9.43;95.330;28.560;33692.000;18.000
13.07.17;8:31:14 AM;9.68;94.900;28.610;33701.000;18.000
13.07.17;8:31:29 AM;9.93;95.220;28.570;33688.000;18.000
13.07.17;8:31:44 AM;10.18;94.960;28.600;33706.000;18.000
13.07.17;8:31:59 AM;10.43;94.990;28.600;33722.000;18.000
13.07.17;8:32:14 AM;10.68;94.820;28.620;33730.000;18.000
13.07.17;8:32:29 AM;10.93;95.310;28.560;33750.000;18.000
13.07.17;8:32:44 AM;11.18;95.280;28.570;33740.000;18.000
13.07.17;8:32:59 AM;11.43;94.930;28.610;33762.000;18.000
13.07.17;8:33:14 AM;11.68;94.920;28.610;33774.000;18.000
13.07.17;8:33:29 AM;11.93;95.210;28.580;33778.000;18.000
13.07.17;8:33:44 AM;12.18;94.780;28.620;33791.000;18.000
13.07.17;8:33:59 AM;12.43;94.540;28.650;33822.000;18.000
13.07.17;8:34:14 AM;12.68;94.470;28.660;33819.000;18.000
13.07.17;8:34:29 AM;12.93;94.840;28.620;33847.000;18.000
13.07.17;8:34:44 AM;13.18;94.460;28.660;33832.000;18.000
13.07.17;8:34:59 AM;13.43;94.690;28.640;33844.000;18.000
13.07.17;8:35:14 AM;13.68;94.260;28.690;33861.000;18.000
13.07.17;8:35:29 AM;13.93;94.310;28.680;33857.000;18.000
13.07.17;8:35:44 AM;14.18;94.360;28.670;33882.000;18.000
13.07.17;8:35:59 AM;14.43;94.310;28.680;33884.000;18.000
13.07.17;8:36:14 AM;14.68;94.370;28.670;33895.000;18.000
13.07.17;8:36:29 AM;14.93;94.550;28.650;33919.000;18.000
13.07.17;8:36:44 AM;15.18;94.430;28.670;33911.000;18.000
13.07.17;8:36:59 AM;15.43;94.380;28.670;33922.000;18.000
13.07.17;8:37:14 AM;15.68;94.300;28.680;33923.000;18.000
13.07.17;8:37:29 AM;15.93;94.070;28.710;33959.000;18.000
13.07.17;8:37:44 AM;16.18;94.380;28.670;33954.000;18.000
13.07.17;8:37:59 AM;16.43;94.210;28.690;33974.000;18.000
13.07.17;8:38:14 AM;16.68;93.950;28.720;33952.000;18.000
13.07.17;8:38:29 AM;16.93;93.630;28.760;33970.000;18.000
13.07.17;8:38:44 AM;17.18;93.910;28.730;33992.000;18.000
13.07.17;8:38:59 AM;17.43;94.070;28.710;33977.000;18.000
13.07.17;8:39:14 AM;17.68;93.710;28.750;33979.000;18.000
13.07.17;8:39:29 AM;17.93;94.160;28.700;34023.000;18.000
13.07.17;8:39:44 AM;18.18;93.680;28.750;33989.000;18.000
13.07.17;8:39:59 AM;18.43;93.760;28.740;34019.000;18.000
13.07.17;8:40:14 AM;18.68;93.640;28.760;34030.000;18.000
13.07.17;8:40:29 AM;18.93;93.770;28.740;34028.000;18.000
13.07.17;8:40:44 AM;19.18;93.870;28.730;34016.000;18.000
13.07.17;8:40:59 AM;19.43;93.660;28.750;34027.000;18.000
