13.07.17/4:08 PM SW ver:OXY10v3_33
Header Ch-10
Description: WBI2-6
IDENTIFICATION
PHIboard number   : v1231482
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 10

PARAMETERS
Signal LED current: 050
Ref LED current   : 068
Ref LED amplitude : 101543
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 045200
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
13.07.17;4:08:45 PM;0.00;97.050;30.760;47328.000;6.000
13.07.17;4:09:00 PM;0.25;97.270;30.740;47323.000;6.000
13.07.17;4:09:15 PM;0.50;96.880;30.780;47327.000;6.000
13.07.17;4:09:30 PM;0.74;97.170;30.750;47326.000;6.000
13.07.17;4:09:45 PM;1.00;97.440;30.720;47344.000;6.000
13.07.17;4:10:00 PM;1.25;97.410;30.720;47334.000;6.000
13.07.17;4:10:15 PM;1.50;97.100;30.760;47356.000;6.000
13.07.17;4:10:30 PM;1.75;96.740;30.800;47351.000;6.000
13.07.17;4:10:45 PM;2.00;97.220;30.740;47360.000;6.000
13.07.17;4:11:00 PM;2.25;97.370;30.720;47323.000;6.000
13.07.17;4:11:15 PM;2.50;97.070;30.760;47366.000;6.000
13.07.17;4:11:30 PM;2.75;96.950;30.770;47339.000;6.000
13.07.17;4:11:45 PM;3.00;96.800;30.790;47352.000;6.000
13.07.17;4:12:00 PM;3.25;96.830;30.790;47339.000;6.000
13.07.17;4:12:15 PM;3.50;97.230;30.740;47359.000;6.000
13.07.17;4:12:30 PM;3.75;97.010;30.770;47306.000;6.000
13.07.17;4:12:45 PM;4.00;97.160;30.750;47359.000;6.000
13.07.17;4:13:00 PM;4.25;96.750;30.800;47344.000;6.000
13.07.17;4:13:15 PM;4.50;97.090;30.760;47315.000;6.000
13.07.17;4:13:30 PM;4.74;97.210;30.740;47344.000;6.000
13.07.17;4:13:45 PM;5.00;96.950;30.770;47350.000;6.000
13.07.17;4:14:00 PM;5.25;97.070;30.760;47340.000;6.000
13.07.17;4:14:15 PM;5.50;97.020;30.760;47351.000;6.000
13.07.17;4:14:30 PM;5.75;96.780;30.790;47338.000;6.000
13.07.17;4:14:45 PM;6.00;97.170;30.750;47302.000;6.000
13.07.17;4:15:00 PM;6.25;96.560;30.820;47330.000;6.000
13.07.17;4:15:15 PM;6.49;96.560;30.820;47360.000;6.000
13.07.17;4:15:30 PM;6.75;96.880;30.780;47358.000;6.000
13.07.17;4:15:45 PM;7.00;97.230;30.740;47327.000;6.000
13.07.17;4:16:00 PM;7.25;97.060;30.760;47335.000;6.000
13.07.17;4:16:15 PM;7.50;96.990;30.770;47346.000;6.000
13.07.17;4:16:30 PM;7.75;97.320;30.730;47371.000;6.000
13.07.17;4:16:45 PM;8.00;97.510;30.710;47296.000;6.000
13.07.17;4:17:00 PM;8.25;97.460;30.710;47338.000;6.000
13.07.17;4:17:15 PM;8.50;96.940;30.770;47309.000;6.000
13.07.17;4:17:30 PM;8.75;96.740;30.800;47328.000;6.000
13.07.17;4:17:45 PM;9.00;96.630;30.810;47327.000;6.000
13.07.17;4:18:00 PM;9.25;96.840;30.790;47308.000;6.000
13.07.17;4:18:15 PM;9.50;97.420;30.720;47368.000;6.000
13.07.17;4:18:30 PM;9.75;97.370;30.720;47344.000;6.000
13.07.17;4:18:45 PM;10.00;97.300;30.730;47334.000;6.000
13.07.17;4:19:00 PM;10.24;97.140;30.750;47398.000;6.000
13.07.17;4:19:15 PM;10.50;96.760;30.800;47266.000;6.000
13.07.17;4:19:30 PM;10.75;97.080;30.760;47358.000;6.000
13.07.17;4:19:45 PM;11.00;97.020;30.760;47334.000;6.000
13.07.17;4:20:00 PM;11.25;97.040;30.760;47333.000;6.000
13.07.17;4:20:15 PM;11.50;97.070;30.760;47376.000;6.000
13.07.17;4:20:30 PM;11.75;96.620;30.810;47339.000;6.000
13.07.17;4:20:45 PM;12.00;97.040;30.760;47389.000;6.000
13.07.17;4:21:00 PM;12.25;97.170;30.750;47353.000;6.000
13.07.17;4:21:15 PM;12.49;97.240;30.740;47347.000;6.000
13.07.17;4:21:30 PM;12.75;96.700;30.800;47352.000;6.000
13.07.17;4:21:45 PM;13.00;96.880;30.780;47345.000;6.000
13.07.17;4:22:00 PM;13.25;97.300;30.730;47331.000;6.000
13.07.17;4:22:15 PM;13.50;96.710;30.800;47334.000;6.000
13.07.17;4:22:30 PM;13.74;97.820;30.670;47366.000;6.000
13.07.17;4:22:45 PM;14.00;97.050;30.760;47350.000;6.000
13.07.17;4:23:00 PM;14.25;96.890;30.780;47345.000;6.000
13.07.17;4:23:15 PM;14.50;96.760;30.800;47365.000;6.000
13.07.17;4:23:30 PM;14.75;97.090;30.760;47352.000;6.000
13.07.17;4:23:45 PM;15.00;97.690;30.690;47383.000;6.000
13.07.17;4:24:00 PM;15.24;97.020;30.760;47375.000;6.000
13.07.17;4:24:15 PM;15.50;96.990;30.770;47363.000;6.000
13.07.17;4:24:30 PM;15.75;96.940;30.770;47375.000;6.000
13.07.17;4:24:45 PM;16.00;96.830;30.790;47340.000;6.000
13.07.17;4:25:00 PM;16.25;97.240;30.740;47393.000;6.000
13.07.17;4:25:15 PM;16.50;97.610;30.700;47347.000;6.000
13.07.17;4:25:30 PM;16.75;97.450;30.710;47418.000;6.000
13.07.17;4:25:45 PM;17.00;96.970;30.770;47369.000;6.000
13.07.17;4:26:00 PM;17.25;96.860;30.780;47381.000;6.000
13.07.17;4:26:15 PM;17.50;96.580;30.820;47368.000;6.000
13.07.17;4:26:30 PM;17.75;96.730;30.800;47380.000;6.000
13.07.17;4:26:45 PM;18.00;96.950;30.770;47358.000;6.000
13.07.17;4:27:00 PM;18.25;96.660;30.810;47344.000;6.000
13.07.17;4:27:15 PM;18.50;97.080;30.760;47297.000;6.000
13.07.17;4:27:30 PM;18.75;97.030;30.760;47314.000;6.000
13.07.17;4:27:45 PM;19.00;97.070;30.760;47335.000;6.000
13.07.17;4:28:00 PM;19.25;96.440;30.830;47331.000;6.000
