13.07.17/3:32 PM SW ver:OXY10v3_33
Header Ch-9
Description: TWK4-6
IDENTIFICATION
PHIboard number   : v1231481
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 09

PARAMETERS
Signal LED current: 050
Ref LED current   : 072
Ref LED amplitude : 103848
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 034700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 023000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
13.07.17;3:32:28 PM;0.00;96.890;30.780;37227.000;6.000
13.07.17;3:32:43 PM;0.25;96.450;30.830;37267.000;6.000
13.07.17;3:32:58 PM;0.50;96.440;30.830;37243.000;6.000
13.07.17;3:33:13 PM;0.75;96.440;30.830;37234.000;6.000
13.07.17;3:33:28 PM;1.00;96.710;30.800;37250.000;6.000
13.07.17;3:33:43 PM;1.25;96.410;30.840;37258.000;6.000
13.07.17;3:33:58 PM;1.50;96.330;30.850;37230.000;6.000
13.07.17;3:34:13 PM;1.75;96.670;30.810;37231.000;6.000
13.07.17;3:34:28 PM;2.00;96.860;30.780;37237.000;6.000
13.07.17;3:34:43 PM;2.25;96.970;30.770;37217.000;6.000
13.07.17;3:34:58 PM;2.50;96.760;30.800;37223.000;6.000
13.07.17;3:35:13 PM;2.75;96.750;30.800;37233.000;6.000
13.07.17;3:35:28 PM;3.00;96.290;30.850;37228.000;6.000
13.07.17;3:35:43 PM;3.25;97.000;30.770;37236.000;6.000
13.07.17;3:35:58 PM;3.50;96.810;30.790;37212.000;6.000
13.07.17;3:36:13 PM;3.75;96.700;30.800;37228.000;6.000
13.07.17;3:36:28 PM;4.00;96.900;30.780;37258.000;6.000
13.07.17;3:36:43 PM;4.25;96.950;30.770;37210.000;6.000
13.07.17;3:36:58 PM;4.50;96.740;30.800;37198.000;6.000
13.07.17;3:37:13 PM;4.75;96.810;30.790;37196.000;6.000
13.07.17;3:37:28 PM;5.00;96.690;30.800;37193.000;6.000
13.07.17;3:37:43 PM;5.25;96.950;30.770;37183.000;6.000
13.07.17;3:37:58 PM;5.50;96.800;30.790;37211.000;6.000
13.07.17;3:38:13 PM;5.75;96.850;30.780;37190.000;6.000
13.07.17;3:38:28 PM;6.00;97.020;30.760;37174.000;6.000
13.07.17;3:38:43 PM;6.25;96.660;30.810;37184.000;6.000
13.07.17;3:38:58 PM;6.50;96.770;30.790;37195.000;6.000
13.07.17;3:39:13 PM;6.75;96.990;30.770;37201.000;6.000
13.07.17;3:39:28 PM;7.00;96.560;30.820;37191.000;6.000
13.07.17;3:39:43 PM;7.25;96.860;30.780;37192.000;6.000
13.07.17;3:39:58 PM;7.50;96.680;30.800;37154.000;6.000
13.07.17;3:40:13 PM;7.75;96.760;30.800;37180.000;6.000
13.07.17;3:40:28 PM;8.00;96.670;30.810;37149.000;6.000
13.07.17;3:40:43 PM;8.25;96.850;30.780;37158.000;6.000
13.07.17;3:40:58 PM;8.50;96.820;30.790;37160.000;6.000
13.07.17;3:41:13 PM;8.75;96.820;30.790;37170.000;6.000
13.07.17;3:41:28 PM;9.00;96.780;30.790;37159.000;6.000
13.07.17;3:41:43 PM;9.25;97.360;30.730;37183.000;6.000
13.07.17;3:41:58 PM;9.50;97.280;30.730;37191.000;6.000
13.07.17;3:42:13 PM;9.75;97.020;30.760;37197.000;6.000
13.07.17;3:42:28 PM;10.00;97.140;30.750;37142.000;6.000
13.07.17;3:42:43 PM;10.25;96.760;30.800;37152.000;6.000
13.07.17;3:42:58 PM;10.50;97.070;30.760;37157.000;6.000
13.07.17;3:43:13 PM;10.75;97.270;30.740;37170.000;6.000
13.07.17;3:43:28 PM;11.00;96.620;30.810;37166.000;6.000
13.07.17;3:43:43 PM;11.25;96.960;30.770;37153.000;6.000
13.07.17;3:43:58 PM;11.50;96.660;30.810;37141.000;6.000
13.07.17;3:44:13 PM;11.75;97.010;30.770;37153.000;6.000
13.07.17;3:44:28 PM;12.00;96.840;30.790;37140.000;6.000
13.07.17;3:44:43 PM;12.25;96.950;30.770;37144.000;6.000
13.07.17;3:44:58 PM;12.50;96.770;30.790;37131.000;6.000
13.07.17;3:45:13 PM;12.75;97.010;30.770;37168.000;6.000
13.07.17;3:45:28 PM;13.00;96.570;30.820;37138.000;6.000
13.07.17;3:45:43 PM;13.25;96.540;30.820;37161.000;6.000
13.07.17;3:45:58 PM;13.50;97.000;30.770;37151.000;6.000
13.07.17;3:46:13 PM;13.75;96.680;30.800;37157.000;6.000
13.07.17;3:46:28 PM;14.00;96.720;30.800;37154.000;6.000
13.07.17;3:46:43 PM;14.25;96.960;30.770;37147.000;6.000
13.07.17;3:46:58 PM;14.50;97.340;30.730;37138.000;6.000
13.07.17;3:47:13 PM;14.75;96.650;30.810;37168.000;6.000
13.07.17;3:47:28 PM;15.00;97.130;30.750;37164.000;6.000
13.07.17;3:47:43 PM;15.25;96.760;30.800;37160.000;6.000
13.07.17;3:47:58 PM;15.50;96.760;30.800;37157.000;6.000
13.07.17;3:48:13 PM;15.75;97.060;30.760;37146.000;6.000
13.07.17;3:48:28 PM;16.00;97.210;30.740;37146.000;6.000
13.07.17;3:48:43 PM;16.25;96.910;30.780;37140.000;6.000
13.07.17;3:48:58 PM;16.50;96.750;30.800;37135.000;6.000
13.07.17;3:49:13 PM;16.75;96.360;30.840;37151.000;6.000
13.07.17;3:49:28 PM;17.00;96.740;30.800;37134.000;6.000
13.07.17;3:49:43 PM;17.25;96.840;30.790;37142.000;6.000
13.07.17;3:49:58 PM;17.50;97.300;30.730;37126.000;6.000
13.07.17;3:50:13 PM;17.75;96.610;30.810;37160.000;6.000
13.07.17;3:50:28 PM;18.00;97.000;30.770;37150.000;6.000
13.07.17;3:50:43 PM;18.25;96.860;30.780;37117.000;6.000
13.07.17;3:50:58 PM;18.50;97.260;30.740;37103.000;6.000
13.07.17;3:51:13 PM;18.75;97.070;30.760;37121.000;6.000
13.07.17;3:51:28 PM;19.00;97.160;30.750;37096.000;6.000
13.07.17;3:51:43 PM;19.25;96.900;30.780;37111.000;6.000
13.07.17;3:51:58 PM;19.50;96.880;30.780;37133.000;6.000
13.07.17;3:52:13 PM;19.75;96.940;30.770;37128.000;6.000
