13.07.17/2:14 PM SW ver:OXY10v3_33
Header Ch-9
Description: TWK4-9
IDENTIFICATION
PHIboard number   : v1231481
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 09

PARAMETERS
Signal LED current: 050
Ref LED current   : 072
Ref LED amplitude : 103848
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 034700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 023000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
13.07.17;2:14:45 PM;0.00;96.750;30.170;36385.000;9.000
13.07.17;2:14:51 PM;0.11;97.010;30.140;36395.000;9.000
13.07.17;2:15:06 PM;0.36;95.910;30.270;36382.000;9.000
13.07.17;2:15:21 PM;0.61;96.580;30.190;36407.000;9.000
13.07.17;2:15:36 PM;0.86;96.420;30.210;36390.000;9.000
13.07.17;2:15:51 PM;1.11;96.510;30.200;36414.000;9.000
13.07.17;2:16:06 PM;1.36;96.250;30.230;36369.000;9.000
13.07.17;2:16:21 PM;1.61;96.460;30.200;36431.000;9.000
13.07.17;2:16:36 PM;1.86;95.970;30.260;36376.000;9.000
13.07.17;2:16:51 PM;2.11;96.380;30.210;36359.000;9.000
13.07.17;2:17:06 PM;2.36;96.050;30.250;36351.000;9.000
13.07.17;2:17:21 PM;2.61;96.550;30.190;36396.000;9.000
13.07.17;2:17:36 PM;2.86;96.920;30.150;36362.000;9.000
13.07.17;2:17:51 PM;3.11;96.160;30.240;36398.000;9.000
13.07.17;2:18:06 PM;3.36;96.210;30.230;36427.000;9.000
13.07.17;2:18:21 PM;3.61;97.380;30.090;36385.000;9.000
13.07.17;2:18:36 PM;3.86;96.770;30.170;36371.000;9.000
13.07.17;2:18:51 PM;4.11;96.230;30.230;36421.000;9.000
13.07.17;2:19:06 PM;4.36;96.740;30.170;36370.000;9.000
13.07.17;2:19:21 PM;4.61;96.380;30.210;36383.000;9.000
13.07.17;2:19:36 PM;4.86;96.680;30.180;36392.000;9.000
13.07.17;2:19:51 PM;5.11;95.960;30.260;36407.000;9.000
13.07.17;2:20:06 PM;5.36;96.410;30.210;36377.000;9.000
13.07.17;2:20:21 PM;5.61;96.120;30.240;36375.000;9.000
13.07.17;2:20:36 PM;5.86;97.110;30.130;36363.000;9.000
13.07.17;2:20:51 PM;6.11;96.080;30.250;36367.000;9.000
