13.07.17/1:40 PM SW ver:OXY10v3_33
Header Ch-7
Description: TBI4-9
IDENTIFICATION
PHIboard number   : v1231479
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 07

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 97926
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 040800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 027000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
13.07.17;1:40:19 PM;0.00;94.930;30.380;35868.000;9.000
13.07.17;1:40:32 PM;0.21;95.150;30.360;35910.000;9.000
13.07.17;1:40:47 PM;0.46;95.030;30.370;35927.000;9.000
13.07.17;1:41:02 PM;0.72;94.970;30.380;35931.000;9.000
13.07.17;1:41:17 PM;0.96;95.230;30.350;35884.000;9.000
13.07.17;1:41:32 PM;1.22;94.970;30.380;35913.000;9.000
13.07.17;1:41:47 PM;1.46;94.790;30.400;35898.000;9.000
13.07.17;1:42:02 PM;1.72;94.800;30.400;35894.000;9.000
13.07.17;1:42:17 PM;1.97;94.820;30.400;35922.000;9.000
13.07.17;1:42:32 PM;2.22;95.290;30.340;35932.000;9.000
13.07.17;1:42:47 PM;2.47;95.520;30.310;35922.000;9.000
13.07.17;1:43:02 PM;2.72;95.110;30.360;35915.000;9.000
13.07.17;1:43:17 PM;2.97;94.970;30.380;35882.000;9.000
13.07.17;1:43:32 PM;3.21;94.690;30.410;35906.000;9.000
13.07.17;1:43:47 PM;3.47;95.010;30.370;35898.000;9.000
13.07.17;1:44:02 PM;3.72;95.360;30.330;35915.000;9.000
13.07.17;1:44:17 PM;3.96;94.860;30.390;35909.000;9.000
13.07.17;1:44:32 PM;4.22;95.010;30.370;35950.000;9.000
13.07.17;1:44:47 PM;4.47;95.090;30.360;35904.000;9.000
13.07.17;1:45:02 PM;4.71;94.850;30.390;35893.000;9.000
13.07.17;1:45:17 PM;4.97;94.910;30.380;35924.000;9.000
13.07.17;1:45:32 PM;5.21;94.640;30.420;35935.000;9.000
13.07.17;1:45:47 PM;5.46;95.120;30.360;35936.000;9.000
13.07.17;1:46:02 PM;5.72;95.010;30.370;35923.000;9.000
13.07.17;1:46:17 PM;5.97;94.600;30.420;35904.000;9.000
13.07.17;1:46:32 PM;6.22;94.800;30.400;35931.000;9.000
13.07.17;1:46:47 PM;6.47;94.870;30.390;35913.000;9.000
13.07.17;1:47:02 PM;6.71;94.920;30.380;35917.000;9.000
13.07.17;1:47:17 PM;6.97;94.920;30.380;35946.000;9.000
13.07.17;1:47:32 PM;7.22;94.720;30.410;35929.000;9.000
13.07.17;1:47:47 PM;7.47;94.410;30.440;35933.000;9.000
13.07.17;1:48:02 PM;7.72;94.920;30.380;35930.000;9.000
13.07.17;1:48:17 PM;7.97;94.900;30.390;35917.000;9.000
13.07.17;1:48:32 PM;8.22;95.020;30.370;35922.000;9.000
13.07.17;1:48:47 PM;8.47;94.830;30.390;35929.000;9.000
13.07.17;1:49:02 PM;8.72;94.660;30.410;35942.000;9.000
13.07.17;1:49:17 PM;8.97;94.560;30.430;35955.000;9.000
13.07.17;1:49:32 PM;9.22;94.800;30.400;35950.000;9.000
13.07.17;1:49:47 PM;9.47;94.690;30.410;35916.000;9.000
13.07.17;1:50:02 PM;9.72;94.630;30.420;35938.000;9.000
13.07.17;1:50:17 PM;9.97;95.010;30.370;35937.000;9.000
13.07.17;1:50:32 PM;10.22;94.540;30.430;35955.000;9.000
13.07.17;1:50:47 PM;10.47;94.390;30.450;35943.000;9.000
13.07.17;1:51:02 PM;10.72;94.640;30.420;35969.000;9.000
13.07.17;1:51:17 PM;10.97;94.560;30.430;35959.000;9.000
13.07.17;1:51:32 PM;11.22;94.520;30.430;35925.000;9.000
13.07.17;1:51:47 PM;11.47;94.890;30.390;35949.000;9.000
13.07.17;1:52:02 PM;11.72;94.920;30.380;35977.000;9.000
13.07.17;1:52:17 PM;11.96;94.340;30.450;35972.000;9.000
13.07.17;1:52:32 PM;12.22;94.680;30.410;35975.000;9.000
13.07.17;1:52:47 PM;12.47;94.800;30.400;35982.000;9.000
13.07.17;1:53:02 PM;12.72;94.270;30.460;35978.000;9.000
13.07.17;1:53:17 PM;12.97;94.830;30.390;35980.000;9.000
13.07.17;1:53:32 PM;13.22;94.600;30.420;35999.000;9.000
13.07.17;1:53:47 PM;13.46;94.420;30.440;35960.000;9.000
13.07.17;1:54:02 PM;13.72;94.340;30.450;35981.000;9.000
13.07.17;1:54:17 PM;13.97;94.370;30.450;36006.000;9.000
13.07.17;1:54:32 PM;14.22;94.660;30.410;35998.000;9.000
13.07.17;1:54:47 PM;14.47;94.680;30.410;35997.000;9.000
13.07.17;1:55:02 PM;14.72;94.600;30.420;36005.000;9.000
13.07.17;1:55:17 PM;14.97;94.670;30.410;35998.000;9.000
13.07.17;1:55:32 PM;15.21;94.460;30.440;36038.000;9.000
13.07.17;1:55:47 PM;15.47;94.260;30.460;36034.000;9.000
