13.07.17/1:40 PM SW ver:OXY10v3_33
Header Ch-8
Description: TBN1-9
IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 103481
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
13.07.17;1:40:20 PM;0.00;96.120;30.240;32257.000;9.000
13.07.17;1:40:34 PM;0.24;96.050;30.250;32262.000;9.000
13.07.17;1:40:49 PM;0.49;96.150;30.240;32264.000;9.000
13.07.17;1:41:04 PM;0.74;96.090;30.250;32238.000;9.000
13.07.17;1:41:19 PM;0.99;95.810;30.280;32249.000;9.000
13.07.17;1:41:34 PM;1.24;95.600;30.300;32253.000;9.000
13.07.17;1:41:49 PM;1.49;96.010;30.250;32273.000;9.000
13.07.17;1:42:04 PM;1.74;96.050;30.250;32271.000;9.000
13.07.17;1:42:19 PM;1.99;96.010;30.250;32279.000;9.000
13.07.17;1:42:34 PM;2.24;95.710;30.290;32262.000;9.000
13.07.17;1:42:49 PM;2.49;95.940;30.260;32250.000;9.000
13.07.17;1:43:04 PM;2.74;95.710;30.290;32273.000;9.000
13.07.17;1:43:19 PM;2.99;95.690;30.290;32263.000;9.000
13.07.17;1:43:34 PM;3.24;95.880;30.270;32254.000;9.000
13.07.17;1:43:49 PM;3.49;95.980;30.260;32264.000;9.000
13.07.17;1:44:04 PM;3.74;96.060;30.250;32281.000;9.000
13.07.17;1:44:19 PM;3.99;95.870;30.270;32254.000;9.000
13.07.17;1:44:34 PM;4.24;95.710;30.290;32238.000;9.000
13.07.17;1:44:49 PM;4.49;95.940;30.260;32276.000;9.000
13.07.17;1:45:04 PM;4.74;95.880;30.270;32250.000;9.000
13.07.17;1:45:19 PM;4.99;95.590;30.300;32297.000;9.000
13.07.17;1:45:34 PM;5.24;95.770;30.280;32246.000;9.000
13.07.17;1:45:49 PM;5.49;95.930;30.260;32264.000;9.000
13.07.17;1:46:04 PM;5.74;95.740;30.290;32281.000;9.000
13.07.17;1:46:19 PM;5.99;95.990;30.260;32281.000;9.000
13.07.17;1:46:34 PM;6.24;95.990;30.260;32281.000;9.000
13.07.17;1:46:49 PM;6.49;95.490;30.320;32284.000;9.000
13.07.17;1:47:04 PM;6.74;95.580;30.310;32300.000;9.000
13.07.17;1:47:19 PM;6.99;95.680;30.290;32262.000;9.000
13.07.17;1:47:34 PM;7.24;95.800;30.280;32306.000;9.000
13.07.17;1:47:49 PM;7.49;95.780;30.280;32300.000;9.000
13.07.17;1:48:04 PM;7.74;95.990;30.260;32301.000;9.000
13.07.17;1:48:19 PM;7.99;95.880;30.270;32298.000;9.000
13.07.17;1:48:34 PM;8.24;95.630;30.300;32319.000;9.000
13.07.17;1:48:49 PM;8.49;95.600;30.300;32313.000;9.000
13.07.17;1:49:04 PM;8.74;95.820;30.280;32304.000;9.000
13.07.17;1:49:19 PM;8.99;95.490;30.320;32299.000;9.000
13.07.17;1:49:34 PM;9.24;95.530;30.310;32291.000;9.000
13.07.17;1:49:49 PM;9.49;95.700;30.290;32280.000;9.000
13.07.17;1:50:04 PM;9.74;95.410;30.330;32276.000;9.000
13.07.17;1:50:19 PM;9.99;95.710;30.290;32286.000;9.000
13.07.17;1:50:34 PM;10.24;95.520;30.310;32311.000;9.000
13.07.17;1:50:49 PM;10.49;95.490;30.320;32300.000;9.000
13.07.17;1:51:04 PM;10.74;95.170;30.350;32336.000;9.000
13.07.17;1:51:19 PM;10.99;95.480;30.320;32306.000;9.000
13.07.17;1:51:34 PM;11.24;95.790;30.280;32325.000;9.000
13.07.17;1:51:49 PM;11.49;95.390;30.330;32317.000;9.000
13.07.17;1:52:04 PM;11.74;95.430;30.320;32338.000;9.000
13.07.17;1:52:19 PM;11.99;95.420;30.320;32309.000;9.000
13.07.17;1:52:34 PM;12.24;95.540;30.310;32288.000;9.000
13.07.17;1:52:49 PM;12.49;95.420;30.320;32314.000;9.000
13.07.17;1:53:04 PM;12.74;95.490;30.320;32297.000;9.000
13.07.17;1:53:19 PM;12.99;95.260;30.340;32311.000;9.000
13.07.17;1:53:34 PM;13.24;95.380;30.330;32336.000;9.000
13.07.17;1:53:49 PM;13.49;95.450;30.320;32319.000;9.000
13.07.17;1:54:04 PM;13.74;95.900;30.270;32324.000;9.000
13.07.17;1:54:19 PM;13.99;95.490;30.320;32347.000;9.000
13.07.17;1:54:34 PM;14.24;95.710;30.290;32341.000;9.000
13.07.17;1:54:49 PM;14.49;95.490;30.320;32344.000;9.000
13.07.17;1:55:04 PM;14.74;95.470;30.320;32340.000;9.000
