14.07.17/12:25 PM SW ver:OXY10v3_33
Header Ch-8
Description: TWM2-12
IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 103456
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
14.07.17;12:25:01 PM;0.00;96.310;29.610;31383.000;12.000
14.07.17;12:25:07 PM;0.10;96.260;29.620;31412.000;12.000
14.07.17;12:25:22 PM;0.35;95.820;29.670;31396.000;12.000
14.07.17;12:25:37 PM;0.60;95.490;29.710;31419.000;12.000
14.07.17;12:25:52 PM;0.85;95.920;29.660;31424.000;12.000
14.07.17;12:26:07 PM;1.10;96.570;29.580;31373.000;12.000
14.07.17;12:26:22 PM;1.35;95.240;29.740;31434.000;12.000
14.07.17;12:26:37 PM;1.60;96.020;29.640;31388.000;12.000
14.07.17;12:26:52 PM;1.85;95.740;29.680;31427.000;12.000
14.07.17;12:27:07 PM;2.10;96.030;29.640;31440.000;12.000
14.07.17;12:27:22 PM;2.35;95.520;29.700;31389.000;12.000
14.07.17;12:27:37 PM;2.60;96.070;29.640;31398.000;12.000
14.07.17;12:27:52 PM;2.85;95.240;29.740;31417.000;12.000
14.07.17;12:28:07 PM;3.10;95.980;29.650;31398.000;12.000
14.07.17;12:28:22 PM;3.35;95.120;29.750;31400.000;12.000
14.07.17;12:28:37 PM;3.60;95.600;29.690;31367.000;12.000
14.07.17;12:28:52 PM;3.85;95.580;29.700;31405.000;12.000
14.07.17;12:29:07 PM;4.10;95.720;29.680;31445.000;12.000
14.07.17;12:29:22 PM;4.35;95.420;29.710;31391.000;12.000
14.07.17;12:29:37 PM;4.60;95.380;29.720;31424.000;12.000
14.07.17;12:29:52 PM;4.85;95.710;29.680;31426.000;12.000
14.07.17;12:30:07 PM;5.10;95.420;29.710;31414.000;12.000
14.07.17;12:30:22 PM;5.35;95.910;29.660;31439.000;12.000
14.07.17;12:30:37 PM;5.60;96.480;29.590;31438.000;12.000
14.07.17;12:30:52 PM;5.85;95.670;29.680;31450.000;12.000
14.07.17;12:31:07 PM;6.10;95.490;29.710;31423.000;12.000
14.07.17;12:31:22 PM;6.35;95.550;29.700;31465.000;12.000
14.07.17;12:31:37 PM;6.60;95.750;29.680;31434.000;12.000
14.07.17;12:31:52 PM;6.85;95.400;29.720;31464.000;12.000
14.07.17;12:32:07 PM;7.10;95.430;29.710;31414.000;12.000
14.07.17;12:32:22 PM;7.35;95.590;29.690;31407.000;12.000
14.07.17;12:32:37 PM;7.60;95.380;29.720;31440.000;12.000
14.07.17;12:32:52 PM;7.85;95.020;29.760;31469.000;12.000
14.07.17;12:33:07 PM;8.10;95.430;29.710;31437.000;12.000
14.07.17;12:33:22 PM;8.35;95.180;29.740;31433.000;12.000
14.07.17;12:33:37 PM;8.60;95.350;29.720;31470.000;12.000
14.07.17;12:33:52 PM;8.85;94.710;29.800;31447.000;12.000
14.07.17;12:34:07 PM;9.10;94.480;29.830;31457.000;12.000
14.07.17;12:34:22 PM;9.35;95.440;29.710;31445.000;12.000
14.07.17;12:34:37 PM;9.60;95.170;29.740;31490.000;12.000
14.07.17;12:34:52 PM;9.85;94.750;29.790;31467.000;12.000
14.07.17;12:35:07 PM;10.10;95.280;29.730;31446.000;12.000
14.07.17;12:35:22 PM;10.35;94.870;29.780;31440.000;12.000
14.07.17;12:35:37 PM;10.60;96.180;29.630;31490.000;12.000
14.07.17;12:35:52 PM;10.85;95.480;29.710;31457.000;12.000
14.07.17;12:36:07 PM;11.10;95.430;29.710;31463.000;12.000
14.07.17;12:36:22 PM;11.35;95.140;29.750;31474.000;12.000
14.07.17;12:36:37 PM;11.60;95.720;29.680;31476.000;12.000
14.07.17;12:36:52 PM;11.85;94.540;29.820;31479.000;12.000
14.07.17;12:37:07 PM;12.10;95.350;29.720;31506.000;12.000
14.07.17;12:37:22 PM;12.35;94.700;29.800;31476.000;12.000
14.07.17;12:37:37 PM;12.60;95.610;29.690;31469.000;12.000
14.07.17;12:37:52 PM;12.85;94.990;29.760;31483.000;12.000
14.07.17;12:38:07 PM;13.10;95.620;29.690;31508.000;12.000
14.07.17;12:38:22 PM;13.35;95.810;29.670;31508.000;12.000
14.07.17;12:38:37 PM;13.60;94.780;29.790;31488.000;12.000
14.07.17;12:38:52 PM;13.85;94.360;29.840;31471.000;12.000
14.07.17;12:39:07 PM;14.10;95.500;29.700;31489.000;12.000
14.07.17;12:39:22 PM;14.35;95.020;29.760;31459.000;12.000
14.07.17;12:39:37 PM;14.60;95.080;29.750;31529.000;12.000
14.07.17;12:39:52 PM;14.85;95.420;29.710;31487.000;12.000
14.07.17;12:40:07 PM;15.10;94.810;29.790;31510.000;12.000
14.07.17;12:40:22 PM;15.35;95.200;29.740;31515.000;12.000
14.07.17;12:40:37 PM;15.60;94.710;29.800;31519.000;12.000
14.07.17;12:40:52 PM;15.85;94.690;29.800;31536.000;12.000
14.07.17;12:41:07 PM;16.10;94.620;29.810;31502.000;12.000
14.07.17;12:41:22 PM;16.35;95.280;29.730;31513.000;12.000
14.07.17;12:41:37 PM;16.60;95.230;29.740;31523.000;12.000
14.07.17;12:41:52 PM;16.85;95.090;29.750;31479.000;12.000
14.07.17;12:42:07 PM;17.10;94.980;29.770;31497.000;12.000
14.07.17;12:42:22 PM;17.35;94.550;29.820;31520.000;12.000
14.07.17;12:42:37 PM;17.60;95.360;29.720;31543.000;12.000
14.07.17;12:42:52 PM;17.85;94.920;29.770;31468.000;12.000
14.07.17;12:43:07 PM;18.10;94.920;29.770;31506.000;12.000
14.07.17;12:43:22 PM;18.35;94.890;29.780;31555.000;12.000
14.07.17;12:43:37 PM;18.60;94.650;29.800;31509.000;12.000
14.07.17;12:43:52 PM;18.85;95.870;29.660;31576.000;12.000
14.07.17;12:44:07 PM;19.10;95.380;29.720;31567.000;12.000
14.07.17;12:44:22 PM;19.35;94.630;29.810;31531.000;12.000
