14.07.17/12:25 PM SW ver:OXY10v3_33
Header Ch-9
Description: TWI2-12
IDENTIFICATION
PHIboard number   : v1231481
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 09

PARAMETERS
Signal LED current: 050
Ref LED current   : 072
Ref LED amplitude : 103875
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 034700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 023000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
14.07.17;12:25:02 PM;0.00;96.750;29.560;36066.000;12.000
14.07.17;12:25:09 PM;0.11;96.860;29.550;36083.000;12.000
14.07.17;12:25:24 PM;0.36;96.680;29.570;36080.000;12.000
14.07.17;12:25:39 PM;0.61;95.990;29.650;36088.000;12.000
14.07.17;12:25:53 PM;0.86;96.410;29.600;36106.000;12.000
14.07.17;12:26:09 PM;1.11;96.730;29.560;36114.000;12.000
14.07.17;12:26:24 PM;1.36;96.260;29.620;36100.000;12.000
14.07.17;12:26:39 PM;1.61;96.440;29.600;36136.000;12.000
14.07.17;12:26:54 PM;1.86;96.750;29.560;36125.000;12.000
14.07.17;12:27:09 PM;2.11;96.020;29.640;36127.000;12.000
14.07.17;12:27:24 PM;2.36;96.330;29.610;36098.000;12.000
14.07.17;12:27:39 PM;2.61;96.120;29.630;36131.000;12.000
14.07.17;12:27:54 PM;2.86;96.610;29.580;36150.000;12.000
14.07.17;12:28:09 PM;3.11;96.100;29.640;36049.000;12.000
14.07.17;12:28:24 PM;3.36;96.660;29.570;36122.000;12.000
14.07.17;12:28:39 PM;3.61;96.120;29.630;36079.000;12.000
14.07.17;12:28:53 PM;3.86;96.170;29.630;36124.000;12.000
14.07.17;12:29:08 PM;4.11;96.420;29.600;36146.000;12.000
14.07.17;12:29:24 PM;4.36;96.110;29.630;36158.000;12.000
14.07.17;12:29:38 PM;4.61;96.240;29.620;36137.000;12.000
14.07.17;12:29:54 PM;4.86;97.150;29.510;36136.000;12.000
14.07.17;12:30:09 PM;5.11;96.560;29.580;36146.000;12.000
14.07.17;12:30:23 PM;5.36;96.600;29.580;36101.000;12.000
14.07.17;12:30:38 PM;5.61;96.240;29.620;36137.000;12.000
14.07.17;12:30:54 PM;5.86;95.720;29.680;36143.000;12.000
14.07.17;12:31:09 PM;6.11;95.930;29.650;36172.000;12.000
