14.07.17/11:51 AM SW ver:OXY10v3_33
Header Ch-10
Description: WWK2-12
IDENTIFICATION
PHIboard number   : v1231482
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 10

PARAMETERS
Signal LED current: 050
Ref LED current   : 068
Ref LED amplitude : 101531
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 045200
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
14.07.17;11:51:43 AM;0.00;95.850;29.660;45511.000;12.000
14.07.17;11:51:56 AM;0.21;95.600;29.690;45536.000;12.000
14.07.17;11:52:11 AM;0.46;95.920;29.660;45517.000;12.000
14.07.17;11:52:26 AM;0.71;95.970;29.650;45521.000;12.000
14.07.17;11:52:41 AM;0.96;95.710;29.680;45511.000;12.000
14.07.17;11:52:56 AM;1.21;95.910;29.660;45487.000;12.000
14.07.17;11:53:11 AM;1.46;95.790;29.670;45496.000;12.000
14.07.17;11:53:26 AM;1.71;95.670;29.680;45475.000;12.000
14.07.17;11:53:41 AM;1.96;95.780;29.670;45479.000;12.000
14.07.17;11:53:56 AM;2.21;95.720;29.680;45486.000;12.000
14.07.17;11:54:11 AM;2.46;95.710;29.680;45460.000;12.000
14.07.17;11:54:26 AM;2.71;95.900;29.660;45479.000;12.000
14.07.17;11:54:41 AM;2.96;95.930;29.650;45486.000;12.000
14.07.17;11:54:56 AM;3.21;95.660;29.690;45487.000;12.000
14.07.17;11:55:11 AM;3.46;96.300;29.610;45493.000;12.000
14.07.17;11:55:26 AM;3.71;95.920;29.660;45491.000;12.000
14.07.17;11:55:41 AM;3.96;96.060;29.640;45492.000;12.000
14.07.17;11:55:56 AM;4.21;95.930;29.650;45471.000;12.000
14.07.17;11:56:11 AM;4.46;95.760;29.670;45444.000;12.000
14.07.17;11:56:26 AM;4.71;95.880;29.660;45481.000;12.000
