14.07.17/11:51 AM SW ver:OXY10v3_33
Header Ch-2
Description: DRIFT-12
IDENTIFICATION
PHIboard number   : v1231474
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 075
Ref LED amplitude : 102737
Frequency         : 006
Sending interval  : 0001
Averaging         : 5
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 029100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 029400
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
14.07.17;11:51:40 AM;0.00;96.650;29.570;17281.000;12.000
14.07.17;11:51:55 AM;0.24;95.840;29.670;17302.000;12.000
14.07.17;11:52:10 AM;0.50;95.750;29.680;17280.000;12.000
14.07.17;11:52:25 AM;0.75;96.340;29.610;17286.000;12.000
14.07.17;11:52:40 AM;1.00;96.300;29.610;17283.000;12.000
14.07.17;11:52:55 AM;1.25;96.280;29.610;17266.000;12.000
14.07.17;11:53:10 AM;1.49;96.570;29.580;17253.000;12.000
14.07.17;11:53:25 AM;1.74;96.680;29.570;17258.000;12.000
14.07.17;11:53:40 AM;1.99;96.420;29.600;17278.000;12.000
14.07.17;11:53:55 AM;2.24;96.450;29.590;17257.000;12.000
14.07.17;11:54:10 AM;2.50;96.110;29.630;17244.000;12.000
14.07.17;11:54:25 AM;2.75;96.880;29.540;17254.000;12.000
14.07.17;11:54:40 AM;3.00;96.360;29.600;17255.000;12.000
14.07.17;11:54:55 AM;3.24;96.340;29.610;17298.000;12.000
14.07.17;11:55:10 AM;3.50;96.090;29.640;17253.000;12.000
14.07.17;11:55:25 AM;3.75;97.430;29.480;17250.000;12.000
14.07.17;11:55:40 AM;3.99;95.860;29.660;17237.000;12.000
14.07.17;11:55:55 AM;4.25;97.110;29.520;17243.000;12.000
14.07.17;11:56:10 AM;4.49;97.160;29.510;17237.000;12.000
14.07.17;11:56:25 AM;4.74;97.230;29.500;17231.000;12.000
14.07.17;11:56:40 AM;4.99;96.120;29.630;17238.000;12.000
14.07.17;11:56:55 AM;5.24;96.660;29.570;17235.000;12.000
14.07.17;11:57:10 AM;5.49;96.250;29.620;17248.000;12.000
14.07.17;11:57:25 AM;5.75;96.050;29.640;17224.000;12.000
14.07.17;11:57:40 AM;5.99;96.280;29.610;17265.000;12.000
14.07.17;11:57:55 AM;6.24;96.740;29.560;17216.000;12.000
14.07.17;11:58:10 AM;6.50;96.420;29.600;17264.000;12.000
14.07.17;11:58:25 AM;6.75;97.050;29.530;17229.000;12.000
14.07.17;11:58:40 AM;7.00;95.980;29.650;17221.000;12.000
14.07.17;11:58:55 AM;7.25;96.610;29.580;17258.000;12.000
14.07.17;11:59:10 AM;7.50;96.270;29.620;17245.000;12.000
14.07.17;11:59:25 AM;7.75;96.130;29.630;17231.000;12.000
14.07.17;11:59:40 AM;8.00;96.570;29.580;17223.000;12.000
14.07.17;11:59:55 AM;8.24;96.220;29.620;17242.000;12.000
14.07.17;12:00:10 PM;8.49;95.910;29.660;17237.000;12.000
14.07.17;12:00:25 PM;8.75;96.290;29.610;17252.000;12.000
14.07.17;12:00:40 PM;9.00;96.190;29.620;17237.000;12.000
14.07.17;12:00:55 PM;9.25;97.020;29.530;17249.000;12.000
14.07.17;12:01:10 PM;9.50;96.550;29.580;17231.000;12.000
14.07.17;12:01:25 PM;9.75;96.550;29.580;17230.000;12.000
14.07.17;12:01:40 PM;10.00;96.440;29.600;17245.000;12.000
14.07.17;12:01:55 PM;10.24;96.470;29.590;17251.000;12.000
14.07.17;12:02:10 PM;10.50;95.930;29.650;17251.000;12.000
