14.07.17/11:51 AM SW ver:OXY10v3_33
Header Ch-8
Description: TWM2-12
IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 103456
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
14.07.17;11:51:41 AM;0.00;95.260;29.730;31537.000;12.000
14.07.17;11:51:52 AM;0.17;95.360;29.720;31553.000;12.000
14.07.17;11:52:07 AM;0.42;95.440;29.710;31555.000;12.000
14.07.17;11:52:22 AM;0.67;96.710;29.560;31532.000;12.000
14.07.17;11:52:37 AM;0.92;95.390;29.720;31533.000;12.000
14.07.17;11:52:52 AM;1.17;95.870;29.660;31526.000;12.000
14.07.17;11:53:07 AM;1.42;95.740;29.680;31520.000;12.000
14.07.17;11:53:22 AM;1.67;95.760;29.670;31531.000;12.000
14.07.17;11:53:37 AM;1.92;95.440;29.710;31527.000;12.000
14.07.17;11:53:52 AM;2.17;95.490;29.710;31531.000;12.000
14.07.17;11:54:07 AM;2.42;95.810;29.670;31530.000;12.000
14.07.17;11:54:22 AM;2.67;95.780;29.670;31513.000;12.000
14.07.17;11:54:37 AM;2.92;95.340;29.720;31544.000;12.000
14.07.17;11:54:52 AM;3.17;95.550;29.700;31501.000;12.000
14.07.17;11:55:07 AM;3.42;95.630;29.690;31540.000;12.000
14.07.17;11:55:22 AM;3.67;95.790;29.670;31530.000;12.000
14.07.17;11:55:37 AM;3.92;95.000;29.760;31519.000;12.000
14.07.17;11:55:52 AM;4.17;95.460;29.710;31527.000;12.000
14.07.17;11:56:07 AM;4.42;95.520;29.700;31528.000;12.000
14.07.17;11:56:22 AM;4.67;95.780;29.670;31520.000;12.000
14.07.17;11:56:37 AM;4.92;95.120;29.750;31526.000;12.000
14.07.17;11:56:52 AM;5.17;95.250;29.730;31521.000;12.000
14.07.17;11:57:07 AM;5.42;95.520;29.700;31516.000;12.000
14.07.17;11:57:22 AM;5.67;95.700;29.680;31534.000;12.000
14.07.17;11:57:37 AM;5.92;95.540;29.700;31527.000;12.000
14.07.17;11:57:52 AM;6.17;95.320;29.730;31556.000;12.000
14.07.17;11:58:07 AM;6.42;95.380;29.720;31531.000;12.000
14.07.17;11:58:22 AM;6.67;95.490;29.710;31519.000;12.000
14.07.17;11:58:37 AM;6.92;95.160;29.740;31549.000;12.000
14.07.17;11:58:52 AM;7.17;95.610;29.690;31521.000;12.000
14.07.17;11:59:07 AM;7.42;95.490;29.710;31524.000;12.000
14.07.17;11:59:22 AM;7.67;95.580;29.700;31529.000;12.000
14.07.17;11:59:37 AM;7.92;95.620;29.690;31559.000;12.000
14.07.17;11:59:52 AM;8.17;95.880;29.660;31530.000;12.000
14.07.17;12:00:07 PM;8.42;95.440;29.710;31533.000;12.000
14.07.17;12:00:22 PM;8.67;95.940;29.650;31550.000;12.000
14.07.17;12:00:37 PM;8.92;95.230;29.740;31553.000;12.000
14.07.17;12:00:52 PM;9.17;95.030;29.760;31542.000;12.000
14.07.17;12:01:07 PM;9.42;95.470;29.710;31545.000;12.000
14.07.17;12:01:22 PM;9.67;95.150;29.750;31564.000;12.000
14.07.17;12:01:37 PM;9.92;95.280;29.730;31528.000;12.000
14.07.17;12:01:52 PM;10.17;95.050;29.760;31542.000;12.000
14.07.17;12:02:07 PM;10.42;95.300;29.730;31552.000;12.000
14.07.17;12:02:22 PM;10.67;95.360;29.720;31558.000;12.000
14.07.17;12:02:37 PM;10.92;95.260;29.730;31552.000;12.000
14.07.17;12:02:52 PM;11.17;95.110;29.750;31581.000;12.000
14.07.17;12:03:07 PM;11.42;95.380;29.720;31556.000;12.000
14.07.17;12:03:22 PM;11.67;95.210;29.740;31552.000;12.000
14.07.17;12:03:37 PM;11.92;95.610;29.690;31559.000;12.000
14.07.17;12:03:52 PM;12.17;95.680;29.680;31557.000;12.000
14.07.17;12:04:07 PM;12.42;95.090;29.750;31566.000;12.000
14.07.17;12:04:22 PM;12.67;95.380;29.720;31552.000;12.000
14.07.17;12:04:37 PM;12.92;95.350;29.720;31581.000;12.000
14.07.17;12:04:52 PM;13.17;95.000;29.760;31577.000;12.000
14.07.17;12:05:07 PM;13.42;95.090;29.750;31576.000;12.000
14.07.17;12:05:22 PM;13.67;95.310;29.730;31588.000;12.000
14.07.17;12:05:37 PM;13.92;95.460;29.710;31577.000;12.000
14.07.17;12:05:52 PM;14.17;95.280;29.730;31582.000;12.000
14.07.17;12:06:07 PM;14.42;95.440;29.710;31616.000;12.000
14.07.17;12:06:22 PM;14.67;95.080;29.750;31595.000;12.000
14.07.17;12:06:37 PM;14.92;95.410;29.720;31584.000;12.000
14.07.17;12:06:52 PM;15.17;95.420;29.710;31589.000;12.000
14.07.17;12:07:07 PM;15.42;95.480;29.710;31608.000;12.000
