14.07.17/10:43 AM SW ver:OXY10v3_33
Header Ch-2
Description: DRIFT-15
IDENTIFICATION
PHIboard number   : v1231474
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 075
Ref LED amplitude : 102737
Frequency         : 006
Sending interval  : 0001
Averaging         : 5
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 029100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 029400
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
14.07.17;10:43:08 AM;0.00;98.090;28.820;16869.000;15.000
14.07.17;10:43:16 AM;0.14;95.520;29.110;16842.000;15.000
14.07.17;10:43:31 AM;0.39;95.930;29.060;16781.000;15.000
14.07.17;10:43:46 AM;0.64;97.580;28.880;16737.000;15.000
14.07.17;10:44:01 AM;0.89;96.360;29.020;16760.000;15.000
14.07.17;10:44:16 AM;1.14;96.320;29.020;16704.000;15.000
14.07.17;10:44:31 AM;1.39;96.270;29.030;16692.000;15.000
14.07.17;10:44:46 AM;1.64;96.070;29.050;16672.000;15.000
14.07.17;10:45:01 AM;1.89;96.400;29.010;16644.000;15.000
14.07.17;10:45:16 AM;2.14;96.260;29.030;16622.000;15.000
14.07.17;10:45:31 AM;2.39;95.560;29.110;16658.000;15.000
14.07.17;10:45:46 AM;2.64;96.890;28.960;16599.000;15.000
14.07.17;10:46:01 AM;2.89;95.980;29.060;16674.000;15.000
14.07.17;10:46:16 AM;3.14;95.550;29.110;16586.000;15.000
14.07.17;10:46:31 AM;3.39;96.090;29.050;16593.000;15.000
14.07.17;10:46:46 AM;3.64;97.720;28.860;16633.000;15.000
14.07.17;10:47:01 AM;3.89;97.080;28.930;16630.000;15.000
14.07.17;10:47:16 AM;4.14;97.290;28.910;16612.000;15.000
14.07.17;10:47:31 AM;4.39;96.350;29.020;16601.000;15.000
14.07.17;10:47:46 AM;4.64;96.460;29.000;16601.000;15.000
14.07.17;10:48:01 AM;4.89;96.230;29.030;16600.000;15.000
14.07.17;10:48:16 AM;5.14;97.360;28.900;16575.000;15.000
14.07.17;10:48:31 AM;5.39;96.570;28.990;16618.000;15.000
14.07.17;10:48:46 AM;5.64;96.270;29.030;16572.000;15.000
14.07.17;10:49:01 AM;5.89;96.510;29.000;16575.000;15.000
14.07.17;10:49:16 AM;6.14;96.410;29.010;16598.000;15.000
14.07.17;10:49:31 AM;6.39;96.600;28.990;16595.000;15.000
14.07.17;10:49:46 AM;6.64;96.330;29.020;16579.000;15.000
14.07.17;10:50:01 AM;6.89;96.390;29.010;16570.000;15.000
14.07.17;10:50:16 AM;7.14;96.260;29.030;16597.000;15.000
14.07.17;10:50:31 AM;7.39;95.890;29.070;16631.000;15.000
14.07.17;10:50:46 AM;7.64;96.870;28.960;16633.000;15.000
14.07.17;10:51:01 AM;7.89;96.930;28.950;16611.000;15.000
14.07.17;10:51:16 AM;8.14;96.400;29.010;16589.000;15.000
14.07.17;10:51:31 AM;8.39;97.010;28.940;16593.000;15.000
14.07.17;10:51:46 AM;8.64;96.360;29.020;16569.000;15.000
14.07.17;10:52:01 AM;8.89;96.710;28.980;16563.000;15.000
14.07.17;10:52:16 AM;9.14;97.010;28.940;16586.000;15.000
14.07.17;10:52:31 AM;9.39;96.950;28.950;16594.000;15.000
14.07.17;10:52:46 AM;9.64;96.610;28.990;16611.000;15.000
14.07.17;10:53:01 AM;9.89;96.190;29.040;16570.000;15.000
14.07.17;10:53:16 AM;10.14;95.780;29.080;16600.000;15.000
14.07.17;10:53:31 AM;10.39;96.980;28.940;16583.000;15.000
14.07.17;10:53:46 AM;10.64;96.830;28.960;16554.000;15.000
14.07.17;10:54:01 AM;10.89;96.200;29.030;16561.000;15.000
14.07.17;10:54:16 AM;11.14;95.690;29.090;16565.000;15.000
14.07.17;10:54:31 AM;11.39;95.000;29.170;16614.000;15.000
14.07.17;10:54:46 AM;11.64;96.810;28.960;16609.000;15.000
14.07.17;10:55:01 AM;11.89;95.680;29.090;16556.000;15.000
14.07.17;10:55:16 AM;12.14;96.610;28.990;16592.000;15.000
14.07.17;10:55:31 AM;12.39;97.830;28.850;16541.000;15.000
14.07.17;10:55:46 AM;12.64;97.270;28.910;16582.000;15.000
14.07.17;10:56:01 AM;12.89;96.750;28.970;16570.000;15.000
14.07.17;10:56:16 AM;13.14;96.500;29.000;16630.000;15.000
14.07.17;10:56:31 AM;13.39;95.580;29.110;16579.000;15.000
14.07.17;10:56:46 AM;13.64;95.730;29.090;16538.000;15.000
14.07.17;10:57:01 AM;13.89;95.910;29.070;16571.000;15.000
14.07.17;10:57:16 AM;14.14;96.470;29.000;16595.000;15.000
14.07.17;10:57:31 AM;14.39;96.800;28.970;16580.000;15.000
14.07.17;10:57:46 AM;14.64;96.060;29.050;16574.000;15.000
14.07.17;10:58:01 AM;14.89;96.000;29.060;16536.000;15.000
14.07.17;10:58:16 AM;15.14;96.110;29.040;16601.000;15.000
14.07.17;10:58:31 AM;15.39;96.690;28.980;16573.000;15.000
14.07.17;10:58:46 AM;15.64;95.110;29.160;16606.000;15.000
14.07.17;10:59:01 AM;15.89;97.090;28.930;16541.000;15.000
14.07.17;10:59:16 AM;16.14;95.860;29.070;16552.000;15.000
14.07.17;10:59:31 AM;16.39;97.930;28.840;16552.000;15.000
14.07.17;10:59:46 AM;16.64;95.820;29.080;16600.000;15.000
14.07.17;11:00:01 AM;16.89;95.680;29.090;16630.000;15.000
14.07.17;11:00:16 AM;17.14;96.650;28.980;16569.000;15.000
14.07.17;11:00:31 AM;17.39;95.610;29.100;16614.000;15.000
14.07.17;11:00:46 AM;17.64;96.620;28.990;16592.000;15.000
14.07.17;11:01:01 AM;17.89;95.790;29.080;16570.000;15.000
14.07.17;11:01:16 AM;18.14;95.860;29.070;16571.000;15.000
14.07.17;11:01:31 AM;18.39;96.060;29.050;16597.000;15.000
14.07.17;11:01:46 AM;18.64;96.260;29.030;16591.000;15.000
14.07.17;11:02:01 AM;18.89;96.790;28.970;16591.000;15.000
14.07.17;11:02:16 AM;19.14;95.390;29.130;16595.000;15.000
14.07.17;11:02:31 AM;19.39;95.860;29.070;16596.000;15.000
14.07.17;11:02:46 AM;19.64;95.740;29.090;16573.000;15.000
14.07.17;11:03:01 AM;19.89;97.270;28.910;16571.000;15.000
14.07.17;11:03:16 AM;20.14;95.460;29.120;16599.000;15.000
14.07.17;11:03:31 AM;20.39;96.260;29.030;16545.000;15.000
