14.07.17/8:26 AM SW ver:OXY10v3_33
Header Ch-9
Description: TWI2-18
IDENTIFICATION
PHIboard number   : v1231481
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 09

PARAMETERS
Signal LED current: 050
Ref LED current   : 072
Ref LED amplitude : 103875
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 034700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 023000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
14.07.17;8:26:25 AM;0.00;95.800;28.510;34348.000;18.000
14.07.17;8:26:27 AM;0.03;95.490;28.540;34353.000;18.000
14.07.17;8:26:29 AM;0.06;95.650;28.530;34343.000;18.000
14.07.17;8:26:30 AM;0.08;95.590;28.530;34331.000;18.000
14.07.17;8:26:45 AM;0.33;95.650;28.530;34342.000;18.000
14.07.17;8:27:00 AM;0.58;95.660;28.520;34362.000;18.000
14.07.17;8:27:15 AM;0.83;95.490;28.540;34363.000;18.000
14.07.17;8:27:30 AM;1.08;95.200;28.580;34398.000;18.000
14.07.17;8:27:45 AM;1.33;95.560;28.540;34388.000;18.000
14.07.17;8:28:00 AM;1.58;95.220;28.570;34403.000;18.000
14.07.17;8:28:15 AM;1.83;95.310;28.560;34424.000;18.000
14.07.17;8:28:30 AM;2.08;95.570;28.530;34418.000;18.000
14.07.17;8:28:45 AM;2.33;95.650;28.530;34441.000;18.000
14.07.17;8:29:00 AM;2.58;95.290;28.570;34445.000;18.000
14.07.17;8:29:15 AM;2.83;95.300;28.570;34430.000;18.000
14.07.17;8:29:30 AM;3.08;95.030;28.600;34448.000;18.000
14.07.17;8:29:45 AM;3.33;95.540;28.540;34428.000;18.000
14.07.17;8:30:00 AM;3.58;94.970;28.600;34472.000;18.000
14.07.17;8:30:15 AM;3.83;95.020;28.600;34457.000;18.000
14.07.17;8:30:30 AM;4.08;95.100;28.590;34503.000;18.000
14.07.17;8:30:45 AM;4.33;95.270;28.570;34504.000;18.000
14.07.17;8:31:00 AM;4.58;95.150;28.580;34502.000;18.000
14.07.17;8:31:15 AM;4.83;95.340;28.560;34498.000;18.000
14.07.17;8:31:30 AM;5.08;94.640;28.640;34531.000;18.000
14.07.17;8:31:45 AM;5.33;94.900;28.610;34532.000;18.000
14.07.17;8:32:00 AM;5.58;94.770;28.630;34523.000;18.000
14.07.17;8:32:15 AM;5.83;95.160;28.580;34592.000;18.000
14.07.17;8:32:30 AM;6.08;94.540;28.650;34571.000;18.000
14.07.17;8:32:45 AM;6.33;94.240;28.690;34581.000;18.000
14.07.17;8:33:00 AM;6.58;94.870;28.610;34602.000;18.000
14.07.17;8:33:15 AM;6.83;94.570;28.650;34593.000;18.000
14.07.17;8:33:30 AM;7.08;95.050;28.590;34603.000;18.000
14.07.17;8:33:45 AM;7.33;94.500;28.660;34618.000;18.000
14.07.17;8:34:00 AM;7.58;94.580;28.650;34625.000;18.000
14.07.17;8:34:15 AM;7.83;94.150;28.700;34653.000;18.000
14.07.17;8:34:30 AM;8.08;94.260;28.690;34654.000;18.000
14.07.17;8:34:45 AM;8.33;94.470;28.660;34637.000;18.000
14.07.17;8:35:00 AM;8.58;94.260;28.680;34674.000;18.000
14.07.17;8:35:15 AM;8.83;94.380;28.670;34693.000;18.000
14.07.17;8:35:30 AM;9.08;94.590;28.650;34705.000;18.000
14.07.17;8:35:45 AM;9.33;94.320;28.680;34702.000;18.000
14.07.17;8:36:00 AM;9.58;94.450;28.660;34717.000;18.000
14.07.17;8:36:15 AM;9.83;94.070;28.710;34718.000;18.000
14.07.17;8:36:30 AM;10.08;93.960;28.720;34752.000;18.000
14.07.17;8:36:45 AM;10.33;93.600;28.760;34740.000;18.000
14.07.17;8:37:00 AM;10.58;94.140;28.700;34743.000;18.000
14.07.17;8:37:15 AM;10.83;93.750;28.740;34745.000;18.000
