14.07.17/4:05 PM SW ver:OXY10v3_33
Header Ch-3
Description: TBL2-6
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 106153
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 030000
100.00%a.s.phase 2: 27.68 at 020.0°C amp 033000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
14.07.17;4:05:12 PM;0.00;95.060;31.000;29614.000;6.000
14.07.17;4:05:19 PM;0.11;95.190;30.980;29572.000;6.000
14.07.17;4:05:34 PM;0.36;94.520;31.060;29622.000;6.000
14.07.17;4:05:49 PM;0.61;94.940;31.010;29631.000;6.000
14.07.17;4:06:04 PM;0.86;94.800;31.030;29610.000;6.000
14.07.17;4:06:19 PM;1.11;95.170;30.980;29621.000;6.000
14.07.17;4:06:34 PM;1.36;95.220;30.980;29563.000;6.000
14.07.17;4:06:49 PM;1.61;94.760;31.030;29566.000;6.000
14.07.17;4:07:04 PM;1.86;95.590;30.930;29564.000;6.000
14.07.17;4:07:19 PM;2.11;95.000;31.010;29623.000;6.000
14.07.17;4:07:34 PM;2.36;95.540;30.940;29587.000;6.000
14.07.17;4:07:49 PM;2.61;94.860;31.020;29667.000;6.000
14.07.17;4:08:04 PM;2.86;95.140;30.990;29637.000;6.000
14.07.17;4:08:19 PM;3.11;95.300;30.970;29642.000;6.000
14.07.17;4:08:34 PM;3.36;94.710;31.040;29602.000;6.000
14.07.17;4:08:49 PM;3.61;95.050;31.000;29610.000;6.000
14.07.17;4:09:04 PM;3.86;95.620;30.930;29612.000;6.000
14.07.17;4:09:19 PM;4.11;94.700;31.040;29647.000;6.000
14.07.17;4:09:34 PM;4.36;94.570;31.060;29623.000;6.000
14.07.17;4:09:49 PM;4.61;94.900;31.020;29605.000;6.000
14.07.17;4:10:04 PM;4.86;94.780;31.030;29596.000;6.000
14.07.17;4:10:19 PM;5.11;95.230;30.980;29641.000;6.000
14.07.17;4:10:34 PM;5.36;94.470;31.070;29636.000;6.000
14.07.17;4:10:49 PM;5.61;95.150;30.990;29636.000;6.000
14.07.17;4:11:04 PM;5.86;94.910;31.020;29612.000;6.000
14.07.17;4:11:19 PM;6.11;94.850;31.020;29609.000;6.000
14.07.17;4:11:34 PM;6.36;94.910;31.020;29639.000;6.000
14.07.17;4:11:49 PM;6.61;94.960;31.010;29623.000;6.000
14.07.17;4:12:04 PM;6.86;95.220;30.980;29606.000;6.000
14.07.17;4:12:19 PM;7.11;95.910;30.900;29635.000;6.000
14.07.17;4:12:34 PM;7.36;95.270;30.970;29610.000;6.000
14.07.17;4:12:49 PM;7.61;95.050;31.000;29604.000;6.000
14.07.17;4:13:04 PM;7.86;94.790;31.030;29649.000;6.000
14.07.17;4:13:19 PM;8.11;95.380;30.960;29636.000;6.000
14.07.17;4:13:34 PM;8.36;95.430;30.950;29654.000;6.000
14.07.17;4:13:49 PM;8.61;94.950;31.010;29633.000;6.000
14.07.17;4:14:04 PM;8.86;95.550;30.940;29665.000;6.000
14.07.17;4:14:19 PM;9.11;94.750;31.030;29643.000;6.000
14.07.17;4:14:34 PM;9.36;95.420;30.950;29622.000;6.000
14.07.17;4:14:49 PM;9.61;94.800;31.030;29628.000;6.000
14.07.17;4:15:04 PM;9.86;94.860;31.020;29665.000;6.000
14.07.17;4:15:19 PM;10.11;95.040;31.000;29629.000;6.000
14.07.17;4:15:34 PM;10.36;94.550;31.060;29630.000;6.000
14.07.17;4:15:49 PM;10.61;94.880;31.020;29650.000;6.000
14.07.17;4:16:04 PM;10.86;95.240;30.980;29629.000;6.000
14.07.17;4:16:19 PM;11.11;94.570;31.060;29604.000;6.000
14.07.17;4:16:34 PM;11.36;95.560;30.940;29619.000;6.000
14.07.17;4:16:49 PM;11.61;95.080;31.000;29636.000;6.000
14.07.17;4:17:04 PM;11.86;95.180;30.980;29597.000;6.000
14.07.17;4:17:19 PM;12.11;95.170;30.980;29633.000;6.000
14.07.17;4:17:34 PM;12.36;94.610;31.050;29645.000;6.000
14.07.17;4:17:49 PM;12.61;95.110;30.990;29650.000;6.000
14.07.17;4:18:04 PM;12.86;94.860;31.020;29631.000;6.000
14.07.17;4:18:19 PM;13.11;95.320;30.970;29611.000;6.000
14.07.17;4:18:34 PM;13.36;94.750;31.040;29615.000;6.000
14.07.17;4:18:49 PM;13.61;94.840;31.020;29686.000;6.000
14.07.17;4:19:04 PM;13.86;94.940;31.010;29631.000;6.000
14.07.17;4:19:19 PM;14.11;94.510;31.060;29644.000;6.000
14.07.17;4:19:34 PM;14.36;94.560;31.060;29649.000;6.000
14.07.17;4:19:49 PM;14.61;94.850;31.020;29657.000;6.000
14.07.17;4:20:04 PM;14.86;95.450;30.950;29686.000;6.000
14.07.17;4:20:19 PM;15.11;94.670;31.040;29618.000;6.000
14.07.17;4:20:34 PM;15.36;94.410;31.080;29655.000;6.000
14.07.17;4:20:49 PM;15.61;95.770;30.910;29648.000;6.000
14.07.17;4:21:04 PM;15.86;94.560;31.060;29625.000;6.000
14.07.17;4:21:19 PM;16.11;95.000;31.010;29658.000;6.000
14.07.17;4:21:34 PM;16.36;95.600;30.930;29711.000;6.000
14.07.17;4:21:49 PM;16.61;94.700;31.040;29697.000;6.000
14.07.17;4:22:04 PM;16.86;94.750;31.030;29717.000;6.000
14.07.17;4:22:19 PM;17.11;94.360;31.080;29733.000;6.000
14.07.17;4:22:34 PM;17.36;95.110;30.990;29704.000;6.000
14.07.17;4:22:49 PM;17.61;94.590;31.050;29690.000;6.000
14.07.17;4:23:04 PM;17.86;94.850;31.020;29698.000;6.000
14.07.17;4:23:19 PM;18.11;95.460;30.950;29710.000;6.000
14.07.17;4:23:34 PM;18.36;95.040;31.000;29731.000;6.000
14.07.17;4:23:49 PM;18.61;94.860;31.020;29686.000;6.000
14.07.17;4:24:04 PM;18.86;95.430;30.950;29724.000;6.000
14.07.17;4:24:19 PM;19.11;94.840;31.020;29655.000;6.000
14.07.17;4:24:34 PM;19.36;94.260;31.090;29670.000;6.000
14.07.17;4:24:49 PM;19.61;95.050;31.000;29676.000;6.000
14.07.17;4:25:04 PM;19.86;94.600;31.050;29657.000;6.000
14.07.17;4:25:19 PM;20.11;94.820;31.030;29711.000;6.000
14.07.17;4:25:34 PM;20.36;94.610;31.050;29682.000;6.000
14.07.17;4:25:49 PM;20.61;94.740;31.040;29642.000;6.000
