14.07.17/2:09 PM SW ver:OXY10v3_33
Header Ch-10
Description: WWK2-9
IDENTIFICATION
PHIboard number   : v1231482
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 10

PARAMETERS
Signal LED current: 050
Ref LED current   : 068
Ref LED amplitude : 101531
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 045200
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
14.07.17;2:09:52 PM;0.00;96.910;30.150;46200.000;9.000
14.07.17;2:10:01 PM;0.16;97.060;30.130;46189.000;9.000
14.07.17;2:10:16 PM;0.40;97.120;30.130;46204.000;9.000
14.07.17;2:10:31 PM;0.65;97.130;30.120;46194.000;9.000
14.07.17;2:10:46 PM;0.90;97.060;30.130;46206.000;9.000
14.07.17;2:11:01 PM;1.15;96.870;30.150;46195.000;9.000
14.07.17;2:11:16 PM;1.40;97.060;30.130;46196.000;9.000
14.07.17;2:11:31 PM;1.65;97.250;30.110;46176.000;9.000
14.07.17;2:11:46 PM;1.90;97.060;30.130;46190.000;9.000
14.07.17;2:12:01 PM;2.15;96.950;30.140;46243.000;9.000
14.07.17;2:12:16 PM;2.40;96.880;30.150;46182.000;9.000
14.07.17;2:12:31 PM;2.65;96.560;30.190;46237.000;9.000
14.07.17;2:12:46 PM;2.90;97.160;30.120;46266.000;9.000
14.07.17;2:13:01 PM;3.15;97.280;30.110;46228.000;9.000
14.07.17;2:13:16 PM;3.40;96.880;30.150;46221.000;9.000
14.07.17;2:13:31 PM;3.65;96.800;30.160;46229.000;9.000
14.07.17;2:13:46 PM;3.91;97.120;30.130;46171.000;9.000
14.07.17;2:14:01 PM;4.15;97.190;30.120;46233.000;9.000
14.07.17;2:14:16 PM;4.40;96.990;30.140;46220.000;9.000
14.07.17;2:14:31 PM;4.65;97.110;30.130;46235.000;9.000
14.07.17;2:14:46 PM;4.90;97.170;30.120;46205.000;9.000
14.07.17;2:15:01 PM;5.15;97.060;30.130;46207.000;9.000
14.07.17;2:15:16 PM;5.40;97.370;30.100;46238.000;9.000
14.07.17;2:15:31 PM;5.65;96.930;30.150;46228.000;9.000
14.07.17;2:15:46 PM;5.90;97.030;30.140;46226.000;9.000
14.07.17;2:16:01 PM;6.15;96.690;30.170;46188.000;9.000
14.07.17;2:16:16 PM;6.40;97.060;30.130;46230.000;9.000
14.07.17;2:16:31 PM;6.65;96.800;30.160;46252.000;9.000
14.07.17;2:16:46 PM;6.90;96.820;30.160;46244.000;9.000
14.07.17;2:17:01 PM;7.15;97.040;30.130;46223.000;9.000
14.07.17;2:17:16 PM;7.40;97.000;30.140;46217.000;9.000
14.07.17;2:17:31 PM;7.65;96.650;30.180;46218.000;9.000
14.07.17;2:17:46 PM;7.90;96.690;30.170;46238.000;9.000
14.07.17;2:18:01 PM;8.15;97.400;30.090;46239.000;9.000
14.07.17;2:18:16 PM;8.40;97.060;30.130;46261.000;9.000
14.07.17;2:18:31 PM;8.65;96.910;30.150;46273.000;9.000
14.07.17;2:18:46 PM;8.90;96.820;30.160;46268.000;9.000
14.07.17;2:19:01 PM;9.15;96.540;30.190;46289.000;9.000
14.07.17;2:19:16 PM;9.40;97.030;30.140;46312.000;9.000
14.07.17;2:19:31 PM;9.65;96.950;30.140;46292.000;9.000
14.07.17;2:19:46 PM;9.90;96.870;30.150;46282.000;9.000
14.07.17;2:20:01 PM;10.15;97.030;30.140;46274.000;9.000
14.07.17;2:20:16 PM;10.40;96.190;30.230;46300.000;9.000
14.07.17;2:20:31 PM;10.65;96.740;30.170;46298.000;9.000
14.07.17;2:20:46 PM;10.90;96.600;30.190;46288.000;9.000
14.07.17;2:21:01 PM;11.15;96.460;30.200;46320.000;9.000
14.07.17;2:21:16 PM;11.40;96.440;30.200;46305.000;9.000
14.07.17;2:21:31 PM;11.65;96.750;30.170;46330.000;9.000
14.07.17;2:21:46 PM;11.90;96.340;30.220;46311.000;9.000
14.07.17;2:22:01 PM;12.15;96.630;30.180;46300.000;9.000
14.07.17;2:22:16 PM;12.40;96.540;30.190;46342.000;9.000
14.07.17;2:22:31 PM;12.65;96.160;30.240;46343.000;9.000
14.07.17;2:22:46 PM;12.91;96.720;30.170;46356.000;9.000
14.07.17;2:23:01 PM;13.15;96.480;30.200;46368.000;9.000
14.07.17;2:23:16 PM;13.40;96.350;30.210;46354.000;9.000
14.07.17;2:23:31 PM;13.65;96.620;30.180;46318.000;9.000
14.07.17;2:23:46 PM;13.90;96.350;30.210;46352.000;9.000
14.07.17;2:24:01 PM;14.16;96.230;30.230;46386.000;9.000
