14.07.17/1:35 PM SW ver:OXY10v3_33
Header Ch-5
Description: WBC3-9
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 105012
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
14.07.17;1:35:36 PM;0.00;94.700;30.410;49310.000;9.000
14.07.17;1:35:51 PM;0.25;94.490;30.430;49329.000;9.000
14.07.17;1:36:06 PM;0.50;94.750;30.400;49331.000;9.000
14.07.17;1:36:21 PM;0.75;94.770;30.400;49329.000;9.000
14.07.17;1:36:36 PM;1.00;94.580;30.420;49320.000;9.000
14.07.17;1:36:51 PM;1.25;94.550;30.430;49320.000;9.000
14.07.17;1:37:06 PM;1.50;94.560;30.430;49314.000;9.000
14.07.17;1:37:21 PM;1.75;94.550;30.430;49297.000;9.000
14.07.17;1:37:36 PM;2.00;94.650;30.420;49332.000;9.000
14.07.17;1:37:51 PM;2.25;94.640;30.420;49348.000;9.000
14.07.17;1:38:06 PM;2.50;94.710;30.410;49302.000;9.000
14.07.17;1:38:21 PM;2.75;94.650;30.420;49311.000;9.000
14.07.17;1:38:36 PM;3.00;94.740;30.410;49298.000;9.000
14.07.17;1:38:51 PM;3.25;94.800;30.400;49317.000;9.000
14.07.17;1:39:06 PM;3.50;94.750;30.400;49329.000;9.000
14.07.17;1:39:21 PM;3.75;94.650;30.420;49323.000;9.000
14.07.17;1:39:36 PM;4.00;94.730;30.410;49354.000;9.000
14.07.17;1:39:51 PM;4.25;94.590;30.420;49321.000;9.000
14.07.17;1:40:06 PM;4.50;94.560;30.430;49357.000;9.000
14.07.17;1:40:21 PM;4.75;94.640;30.420;49342.000;9.000
14.07.17;1:40:36 PM;5.00;94.790;30.400;49333.000;9.000
14.07.17;1:40:51 PM;5.25;94.660;30.410;49336.000;9.000
14.07.17;1:41:06 PM;5.50;94.590;30.420;49371.000;9.000
14.07.17;1:41:21 PM;5.75;94.680;30.410;49347.000;9.000
14.07.17;1:41:36 PM;6.00;94.620;30.420;49355.000;9.000
14.07.17;1:41:51 PM;6.25;94.950;30.380;49356.000;9.000
14.07.17;1:42:06 PM;6.50;95.030;30.370;49357.000;9.000
14.07.17;1:42:21 PM;6.75;94.590;30.420;49344.000;9.000
14.07.17;1:42:36 PM;7.00;94.750;30.400;49361.000;9.000
