14.07.17/1:35 PM SW ver:OXY10v3_33
Header Ch-6
Description: TBF7-9
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 102226
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
14.07.17;1:35:32 PM;0.00;97.360;30.100;40452.000;9.000
14.07.17;1:35:38 PM;0.10;97.000;30.140;40480.000;9.000
14.07.17;1:35:53 PM;0.35;97.820;30.040;40453.000;9.000
14.07.17;1:36:08 PM;0.60;96.850;30.160;40459.000;9.000
14.07.17;1:36:23 PM;0.85;96.740;30.170;40479.000;9.000
14.07.17;1:36:38 PM;1.10;97.360;30.100;40442.000;9.000
14.07.17;1:36:53 PM;1.35;97.000;30.140;40431.000;9.000
14.07.17;1:37:08 PM;1.60;96.820;30.160;40382.000;9.000
14.07.17;1:37:23 PM;1.85;97.250;30.110;40405.000;9.000
14.07.17;1:37:38 PM;2.10;97.970;30.030;40386.000;9.000
14.07.17;1:37:53 PM;2.35;97.010;30.140;40447.000;9.000
14.07.17;1:38:08 PM;2.60;97.150;30.120;40435.000;9.000
14.07.17;1:38:23 PM;2.85;97.830;30.040;40402.000;9.000
14.07.17;1:38:38 PM;3.10;97.190;30.120;40412.000;9.000
14.07.17;1:38:53 PM;3.35;97.310;30.100;40411.000;9.000
14.07.17;1:39:08 PM;3.60;97.440;30.090;40418.000;9.000
14.07.17;1:39:23 PM;3.85;97.610;30.070;40408.000;9.000
14.07.17;1:39:38 PM;4.10;98.180;30.000;40395.000;9.000
14.07.17;1:39:53 PM;4.35;97.440;30.090;40406.000;9.000
14.07.17;1:40:08 PM;4.60;97.180;30.120;40429.000;9.000
14.07.17;1:40:23 PM;4.85;97.980;30.030;40390.000;9.000
14.07.17;1:40:38 PM;5.10;97.530;30.080;40425.000;9.000
14.07.17;1:40:53 PM;5.35;97.270;30.110;40448.000;9.000
14.07.17;1:41:08 PM;5.60;96.800;30.160;40407.000;9.000
14.07.17;1:41:23 PM;5.85;97.380;30.090;40399.000;9.000
14.07.17;1:41:38 PM;6.10;97.320;30.100;40433.000;9.000
14.07.17;1:41:53 PM;6.35;97.370;30.100;40412.000;9.000
14.07.17;1:42:08 PM;6.60;97.310;30.100;40436.000;9.000
14.07.17;1:42:23 PM;6.85;97.400;30.090;40420.000;9.000
14.07.17;1:42:38 PM;7.10;97.680;30.060;40443.000;9.000
