16.07.17/1:09 PM SW ver:OXY10v3_33
Header Ch-2
Description: DRIFT-12
IDENTIFICATION
PHIboard number   : v1231474
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 075
Ref LED amplitude : 96393
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 029100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 029400
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
16.07.17;1:09:56 PM;0.00;97.500;29.470;16585.000;12.000
16.07.17;1:10:03 PM;0.12;97.430;29.480;16580.000;12.000
16.07.17;1:10:18 PM;0.37;95.690;29.680;16562.000;12.000
16.07.17;1:10:33 PM;0.62;95.890;29.660;16575.000;12.000
16.07.17;1:10:48 PM;0.87;97.400;29.490;16584.000;12.000
16.07.17;1:11:03 PM;1.12;97.340;29.490;16617.000;12.000
16.07.17;1:11:18 PM;1.37;97.590;29.460;16552.000;12.000
16.07.17;1:11:33 PM;1.62;97.080;29.520;16558.000;12.000
16.07.17;1:11:48 PM;1.87;97.170;29.510;16567.000;12.000
16.07.17;1:12:03 PM;2.12;96.810;29.550;16574.000;12.000
16.07.17;1:12:18 PM;2.37;97.070;29.520;16550.000;12.000
16.07.17;1:12:33 PM;2.62;97.630;29.460;16545.000;12.000
16.07.17;1:12:48 PM;2.87;97.050;29.530;16568.000;12.000
16.07.17;1:13:03 PM;3.12;96.000;29.650;16580.000;12.000
16.07.17;1:13:18 PM;3.37;96.610;29.580;16573.000;12.000
16.07.17;1:13:33 PM;3.62;96.680;29.570;16562.000;12.000
16.07.17;1:13:48 PM;3.87;96.150;29.630;16598.000;12.000
16.07.17;1:14:03 PM;4.12;98.260;29.390;16557.000;12.000
16.07.17;1:14:18 PM;4.37;97.230;29.500;16547.000;12.000
16.07.17;1:14:33 PM;4.62;97.010;29.530;16543.000;12.000
16.07.17;1:14:48 PM;4.87;96.550;29.580;16592.000;12.000
16.07.17;1:15:03 PM;5.12;95.960;29.650;16546.000;12.000
16.07.17;1:15:18 PM;5.37;97.150;29.510;16544.000;12.000
16.07.17;1:15:33 PM;5.62;97.980;29.420;16556.000;12.000
16.07.17;1:15:48 PM;5.87;97.640;29.460;16556.000;12.000
16.07.17;1:16:03 PM;6.12;97.370;29.490;16569.000;12.000
16.07.17;1:16:18 PM;6.37;96.790;29.560;16555.000;12.000
16.07.17;1:16:33 PM;6.62;96.120;29.630;16560.000;12.000
16.07.17;1:16:48 PM;6.87;96.910;29.540;16559.000;12.000
16.07.17;1:17:03 PM;7.12;95.440;29.710;16558.000;12.000
16.07.17;1:17:18 PM;7.37;97.300;29.500;16586.000;12.000
16.07.17;1:17:33 PM;7.62;97.680;29.450;16596.000;12.000
16.07.17;1:17:48 PM;7.87;96.610;29.580;16550.000;12.000
16.07.17;1:18:03 PM;8.12;97.540;29.470;16554.000;12.000
16.07.17;1:18:18 PM;8.37;97.710;29.450;16563.000;12.000
16.07.17;1:18:33 PM;8.62;96.740;29.560;16538.000;12.000
16.07.17;1:18:48 PM;8.87;96.810;29.550;16559.000;12.000
16.07.17;1:19:03 PM;9.12;97.140;29.520;16559.000;12.000
16.07.17;1:19:18 PM;9.37;96.260;29.620;16560.000;12.000
16.07.17;1:19:33 PM;9.62;98.090;29.410;16536.000;12.000
16.07.17;1:19:48 PM;9.87;95.960;29.650;16580.000;12.000
16.07.17;1:20:03 PM;10.12;98.110;29.400;16568.000;12.000
