16.07.17/1:09 PM SW ver:OXY10v3_33
Header Ch-7
Description: TBM2-12
IDENTIFICATION
PHIboard number   : v1231479
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 07

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 92553
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 040800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 027000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
16.07.17;1:09:58 PM;0.00;95.460;29.710;33874.000;12.000
16.07.17;1:10:13 PM;0.25;95.510;29.700;33850.000;12.000
16.07.17;1:10:28 PM;0.50;95.490;29.710;33861.000;12.000
16.07.17;1:10:43 PM;0.75;95.150;29.750;33884.000;12.000
16.07.17;1:10:58 PM;1.00;95.540;29.700;33874.000;12.000
16.07.17;1:11:13 PM;1.25;95.190;29.740;33892.000;12.000
16.07.17;1:11:28 PM;1.50;95.160;29.740;33873.000;12.000
16.07.17;1:11:43 PM;1.75;95.030;29.760;33894.000;12.000
16.07.17;1:11:58 PM;2.00;95.430;29.710;33871.000;12.000
16.07.17;1:12:13 PM;2.25;95.090;29.750;33878.000;12.000
16.07.17;1:12:28 PM;2.50;95.360;29.720;33893.000;12.000
16.07.17;1:12:43 PM;2.75;95.600;29.690;33878.000;12.000
16.07.17;1:12:58 PM;3.00;95.050;29.760;33841.000;12.000
16.07.17;1:13:13 PM;3.25;95.260;29.730;33864.000;12.000
16.07.17;1:13:28 PM;3.50;95.010;29.760;33856.000;12.000
16.07.17;1:13:43 PM;3.75;95.250;29.730;33865.000;12.000
16.07.17;1:13:58 PM;4.00;94.990;29.760;33896.000;12.000
16.07.17;1:14:13 PM;4.25;95.080;29.750;33886.000;12.000
